Variants,Redewendung,Bedeutung,Beispiele
"['eine schlechte Partie machen']","eine Partnerschaft mit einer unvermögenden Person eingehen","[]"
"['eine schlechte Partie liefern']","schlecht spielen","['Der Verteidiger hatte in der ersten Halbzeit keine gute Partie geliefert und wurde ausgewechselt.']"
"['eine gute Partie liefern']","gut spielen","['Vor zehntausend enttäuschten Zuschauern lieferten beide Mannschaften eine sehr mäßige Partie.']"
['mit von der Partie sein'],mit von der Partie sein,"bei etwas mitmachen, sich an etwas beteiligen",['So sind mit den Kubanern so gut wie alle Medaillengewinner der letzten Olympischen Spiele von London mit von der Partie.']
['Party machen'],Party machen,"sich mit anderen zusammen ausgelassen amüsieren, feiern","['Das Problem ist, wenn Clubs außerhalb liegen, geht das junge Publikum zwar dorthin, weil die Party machen wollen, aber die Älteren machen diesen Schritt nicht mit', 'Bevor das Semester wieder seinen gewohnten Gang nimmt, sollte man sich noch mal austoben und fett Party machen']"
['jemandem die Pässe zustellen'],jemandem die Pässe zustellen,(der diplomatischen Vertretung eines Staates) das Agre´ment entziehen,['Der irakischen diplomatischen Vertretung in London wurden bei Ausbruch des Golfkrieges die Pässe zugestellt.']
['das könnte jemandem so passen'],das könnte jemandem so passen,das hätte jemand wohl gern,"['Das könnte dir so passen, mich mit den Kindern allein lassen und in die Kneipe gehen – das kommt nicht infrage!']"
['passen wie die Faust aufs Auge'],passen wie die Faust aufs Auge,überhaupt nicht passen,['Das karierte Halstuch zu der gepunkteten Jacke – das passt wie die Faust aufs Auge.']
['passen wie die Faust aufs Auge'],passen wie die Faust aufs Auge,"sehr gut, ganz genau passen","['Das neue Ventil passt wie die Faust aufs Auge.', 'Der Beamte vertritt die Meinung, dass die zwei Straftäter zueinander passen wie die Faust aufs Auge.']"
['passen wie Faust aufs Gretchen'],passen wie Faust aufs Gretchen,"sehr gut, ganz genau passen",['Wir sind am Tag vor eurem Ankunftsdatum aus dem Urlaub zurück; das passt also wie Faust aufs Gretchen!']
['passt schon!'],passt schon!,schon in Ordnung! Ich bin zufrieden,"['Passt schon. Komm, setz di her zu uns']"
['die ganze Pastete'],die ganze Pastete,"alles, was da ist; das alles","['Packen Sie die ganze Pastete in eine Kiste, und stellen Sie sie in den Keller!']"
"['nun haben wir die Pastete!', 'jetzt haben wir die Pastete!']",nun/jetzt haben wir die Pastete!,"ärgerlicher Kommentar, wenn eine befürchtete, unangenehme Situation eingetreten ist; jetzt haben wir die Bescherung!",['Ihr wolltet ja keinen Schirm mitnehmen– jetzt haben wir die Pastete! Nun haben wir die Pastete – der letzte Bus ist abgefahren!']
"['unter uns Pastorentöchtern', 'unter uns Pfarrerstöchtern']",unter uns Pastorentöchtern/Pfarrerstöchtern,in unserem Kreis von Gleichgesinnten; im Vertrauen,"['und deshalb musste diese Anschaffung sein, und unter uns Pfarrerstöchtern, ich würde es immer wieder tun', 'Jetzt mal unter uns Pastorentöchtern, woher beziehen Sie denn die Informationen für Ihre Texte?']"
['bei etwas Pate stehen'],bei etwas Pate stehen,"durch sein Wirken, Vorhandensein auf etwas entscheidenden Einfluss nehmen, etwas anregen, hervorrufen","['Bis dahin habe die Mannschaft eine grottenschlechte Leistung geboten und bei allen drei Gegentoren Pate gestanden', 'Der 77-Jährige hatte dagegen protestiert, dass der Name seiner Eltern für ein gewerbliches Projekt Pate stehe']"
['jemandem aus der Patsche helfen'],jemandem aus der Patsche helfen,"jemanden aus einer Notlage, Verlegenheit befreien","['Einmal war es unser väterlicher Freund, der uns etwas Geld zukommen ließ, das nächste Mal half uns ein Zeitungsredakteur aus der Patsche.']"
"['in der Patsche sitzen', 'in der Patsche stecken']",in der Patsche sitzen/stecken,"in einer Notlage, in Verlegenheit sein","['Wenn der Wagen jetzt nicht mehr anspringt, sitzen wir ganz schön in der Patsche. Wenn diese Meldung ans Kriegsgericht geht, sitzen Sie in der Patsche.']"
['jemanden in die Patsche reiten'],jemanden in die Patsche reiten,"jemanden in eine unangenehme, schlimme Lage bringen","['Er sagte höflich, natürlich sei es nicht angenehm, jemand mit einem guten Rat in die Patsche zu reiten.]"
['die Patschen anziehen'],die Patschen anziehen,sich mit dem Erreichten zufrieden geben,"['Von einer steilen Karriere, bei der einem keine Zeit mehr für Hobbys bleibt, hält sie nichts, sie hat sich die Patschen angezogen und genießt als schwarzes Schaf der Familie das Leben.']"
"['die Patschen aufstellen', 'die Patschen strecken', 'die Patschen beuteln']",die Patschen aufstellen/strecken/beuteln,zusammenbrechen und sich nicht wieder erholen; sterben,"['Eine Möglichkeit, um ganz starke Tabake rauchbar zu machen, ohne dass die Lunge sofort die Patschen streckt', 'nachzufragen, wer denn die Patschen gebeutelt habe']"
['auf die Pauke hauen'],auf die Pauke hauen,ausgelassen feiern,"['Es ist ein Geburtstag, bei dem die Mecklenburger und Vorpommern mal so richtig auf die Pauke hauen können Die älteste Universität im Ostseeraum wird 600 Jahre alt.']"
['auf die Pauke hauen'],auf die Pauke hauen,"angeben, großsprecherisch sein","['Ich bin kein Mensch, der lautstark auf die Pauke haut.']"
['mit Pauken und Trompeten'],mit Pauken und Trompeten,"ganz und gar, hoffnungslos","['Im Rückspiel haben die Kickers mit Pauken und Trompeten verloren.', 'Die Kritik wurde immer härter, die Sendung immer schlechter. Die letzte Folge fiel mit Pauken und Trompeten durch.']"
['mit Pauken und Trompeten'],mit Pauken und Trompeten,mit großen Ehren,['Die Delegation aus dem Nachbarland wurde mit Pauken und Trompeten empfangen.']
"['Pause haben', 'Sendepause haben']",Pause/Sendepause haben,schweigen müssen,"['Red nicht dauernd dazwischen – wenn wir uns hier unterhalten, dann hast du Pause, verstanden! Jetzt rede ich, und solange hast du Sendepause! Kuchen.']"
"['Pech an der Hose haben', 'Pech am Hintern haben', 'Pech am Arsch haben']",Pech an der Hose/am Hintern/am Arsch haben,"als Gast den richtigen Zeitpunkt zum Aufbrechen versäumen, zu lange bleiben","['Die haben vielleicht Pech am Hintern, kommen um acht hereingeschneit und sind kurz vor Mitternacht immer noch da. zusammenhalten.']"
"['den Pegasus besteigen', 'den Pegasus reiten']",den Pegasus besteigen/reiten,sich als Dichter versuchen,"['Nach einigen Gläschen Wein konnte niemand mehr den Gastgeber daran hindern, den Pegasus zu besteigen und einen Vierzeiler zu improvisieren.']"
['keine Peilung haben'],keine Peilung haben,"keine Ahnung, keine Vorstellung haben","['ein absoluter Laie, der keine Peilung hat, wie die ganzen Tools genau funktionieren', 'Dann kommt man in den Beruf, muss mit anderen zusammenarbeiten und hat keine Peilung!']"
['die Peitsche geben'],die Peitsche geben,(ein Pferd) mit der Peitsche antreiben,"['In der Zielgeraden gab er seinem Pferd die Peitsche, aber er wurde trotzdem nur Vierter. Ruhnau gab dem Gaul die Peitsche, und der trabte an. Zuckerbrot.']"
['jemandem auf die Pelle rücken'],jemandem auf die Pelle rücken,zu dicht an jemanden heranrücken und ihn dadurch einengen,"['Rück mir nicht so auf die Pelle, ich sitz doch schon auf der Kante!']"
['jemandem auf die Pelle rücken'],jemandem auf die Pelle rücken,"jemanden mit Forderungen, Beschwerden bedrängen",['seitdem ihm letzten Winter das Finanzamt auf die Pelle gerückt ist von wegen Schwarzarbeit.']
['jemandem auf die Pelle rücken'],jemandem auf die Pelle rücken,"jemanden angreifen, jemandem gegenüber handgreiflich werden",['Auch heuer zeigte sich der führerscheinlose Fahrer nicht friedlicher und rückte den Beamten mit dem Beil auf die Pelle.']
"['jemandem auf der Pelle liegen', 'jemandem auf der Pelle sitzen', 'jemandem nicht von der Pelle gehen']",jemandem auf der Pelle liegen/sitzen; jemandem nicht von der Pelle gehen,"jemanden nicht in Ruhe lassen, mit seiner dauernden Anwesenheit lästig fallen","['Ich kann nicht mit ihr fahren und ihr auf der Pelle liegen', 'beide lebten in einem windigen Dorf Die saßen sich sozusagen auf der Pelle', 'Und seit der Sache mit dem Wandbild gingen ihm die Kinder nicht mehr von der Pelle!']"
"['jemandem eins auf den Pelz brennen', 'jemandem eine Kugel auf den Pelz brennen']",jemandem eins/eine Kugel auf den Pelz brennen,auf jemanden schießen; jemanden mit einem Schuss treffen,"['Der Jäger versuchte, dem Fuchs eins auf den Pelz zu brennen. Er wollte dem Halunken eine Kugel auf den Pelz brennen, wenn er noch einmal sein Grundstück beträte.']"
['jemandem auf den Pelz rücken'],jemandem auf den Pelz rücken,"jemanden mit einem Anliegen, einer Forderung, Drohung sehr bedrängen","['Nicht wenigen Gästen war Amalie schon auf den Pelz gerückt mit der Anpreisung Gustls als Lehrling', 'Er erinnerte sich an die große Angst, der Tod rücke ihm nun auf den Pelz']"
['jemandem eins auf den Pelz geben'],jemandem eins auf den Pelz geben,jemanden verprügeln,"['Wir werden euch eins auf den Pelz geben, wenn ihr nicht gleich verschwindet!']"
['jemandem den Pelz waschen'],jemandem den Pelz waschen,sich jemanden gehörig vornehmen,"['Nichts als Fußball im Kopf und die Zensuren werden immer schlechter! Dem Burschen muss mal der Pelz gewaschen werden. Laus, waschen.']"
"['in Pension gehen', 'in Pension sein']",in Pension gehen/sein,"pensioniert werden, sein","['Seit sie in Pension ist, hat sie ihr altes Hobby wieder aufgenommen und malt. im Vertrag ist vorgesehen, dass Sie später auch Meister werden, wenn der dortige in Pension geht.']"
['jemanden in Pension schicken'],jemanden in Pension schicken,jemanden pensionieren,['Man hat ihn mit einem goldenen Handschlag frühzeitig in Pension geschickt.']
['Perlen vor die Säue'],Perlen vor die Säue,"etwas Wertvolles jemandem anbieten, geben, der es nicht zu schätzen, zu würdigen weiß",['Dir Kaviar zu servieren heißt wirklich Perlen vor die Säue zu werfen!']
['in Permanenz'],in Permanenz,"ständig, ununterbrochen, auf Dauer","['ihre Miene erschien mir wie ein stumm gewordenes Erschrecktsein in Permanenz', 'in unserer vom allgemeinen Jugendwahn in Permanenz berauschten Gesellschaft']"
['ich für meine Person'],ich für meine Person,"was mich betrifft, ich...",['Ich für meine Person möchte lieber ans Meer fahren als in die Berge. Da kann ich für meine Person nur zustimmen.']
['etwas in Person'],etwas in Person,die Verkörperung von etwas,"['Sonst die Ruhe und Liebenswürdigkeit in Person, war er an diesem Tag reizbar und nervös', 'Sie sah entzückend aus, dabei die Vernunft in Person']"
['in Person'],in Person,"selbst, persönlich","['Der Minister kam in höchsteigener Person zu der Einweihung.', 'Der Vorsitzende des Tribunals, Dumas, wohnt in Person einem Teil des Verhörs bei.']"
['zur Person'],zur Person,"über die betreffende Person selbst, ihren Namen, Wohnort, ihr Geburtsdatum","['Die junge Frau – genauere Angaben zur Person machten die Ermittler nicht – sitzt in U-Haft', 'Bewerber können sich mit aussagekräftigen Unterlagen zur Person und einem Konzept für den Betrieb der Strandbar melden']"
['persönlich werden'],persönlich werden,auf jemandes Person zielende Anspielungen machen; unsachlich und anzüglich werden,['indessen habe ich nach heutigen Manifestationen einer schweizerischen Geistesgröße gefragt. Darauf wird mein Verteidiger geradezu persönlich.']
['jemandem die Pest an den Hals wünschen'],jemandem die Pest an den Hals wünschen,jemandem alles nur erdenkliche Schlechte wünschen,"['Jeder in der Stadt wünschte dem alten Geizkragen die Pest an den Hals. meiden, stinken, Wahl.']"
"['jemandem ist die Petersilie verhagelt', 'etwas hat jemandem die Petersilie verhagelt', 'jemand hat jemandem die Petersilie verhagelt']","jemandem ist die Petersilie verhagelt/etwas hat jemandem die Petersilie verhagelt/jemand hat jemandem die Petersilie verhagelt","jemand ist aufgrund einer Enttäuschung sehr missgestimmt/etwas hat jemanden sehr missgestimmt/jemand hat jemanden sehr missgestimmt","['Die letzte Absage, die hat ihm schon die Petersilie verhagelt.', 'Ein Mann, der ständig aussieht, als wäre ihm die Petersilie verhagelt.']"
['Petrus meint es gut'],Petrus meint es gut,es ist schönes Wetter,"['Petrus meint es heute gut mit uns, wir können im Garten frühstücken.']"
['bei Petrus anklopfen'],bei Petrus anklopfen,sterben,['Viele unseres Jahrgangs haben schon längst bei Petrus angeklopft.']
['die ausgetretenen Pfade verlassen'],die ausgetretenen Pfade verlassen,vom üblichen Schema abweichen,['Lassen Sie uns an dieser Stelle einmal die ausgetretenen Pfade verlassen und auf die übliche Tagesordnung verzichten.']
"['krumme Pfade wandeln', 'auf krummen Pfaden wandeln']",krumme Pfade/auf krummen Pfaden wandeln,etwas Unrechtes tun,"['Es bekümmerte ihn sehr, dass seine Tochter auf krummen Pfaden wandelte.']"
['auf ausgetretenen Pfaden wandeln'],auf ausgetretenen Pfaden wandeln,"immer in derselben Weise vorgehen, keine Neuerungen riskieren","['Auch die Verantwortlichen in der Schulbehörde sollten nicht nur auf ausgetretenen Pfaden wandeln, sondern wenigstens einmal über die neuen Vorschläge nachdenken.']"
['auf dem Pfad der Tugend wandeln'],auf dem Pfad der Tugend wandeln,ein tugendhaftes Leben führen,"['Dem Laster frönen? Das ist Vergangenheit, mein Lieber, seitdem ich verheiratet bin, wandle ich auf dem Pfad der Tugend.']"
"['vom Pfad der Tugend abweichen', 'den Pfad der Tugend verlassen']",vom Pfad der Tugend abweichen/den Pfad der Tugend verlassen,etwas Unrechtes tun,"['Wer den Verlockungen des Geldes oder des Ruhmes ausgesetzt ist, verlässt leicht den Pfad der Tugend. dornig, schwarz.']"
"['ein Pfahl in jemandes Fleisch', 'ein Pfahl in jemandes Fleische']",ein Pfahl in jemandes Fleisch/im Fleische,"etwas Peinigendes, was jemanden nicht zur Ruhe kommen lässt","['Der Hund seines Nachbarn war ihm seit jeher ein Pfahl im Fleische. Sie wusste sehr gut, dass ihr Streben nach Unabhängigkeit ein Pfahl in seinem Fleische war.']"
['nach dem Pfandhaus gehen'],nach dem Pfandhaus gehen,falsch gehen,['Deine Uhr geht ja nach dem Pfandhaus!']
['etwas auf der Pfanne haben'],etwas auf der Pfanne haben,etwas in Bereitschaft haben,"['Er hat immer einen flotten Spruch auf der Pfanne.', 'Aber nun steht der Termin, und nun müssen die Aussteller zeigen, was sie auf der Pfanne haben.']"
['einen auf der Pfanne haben'],einen auf der Pfanne haben,"den Drang verspüren, eine Blähung abgehen zu lassen","['Lasst mich mal raus, ich glaube, ich habe einen auf der Pfanne!']"
['jemanden in die Pfanne hauen'],jemanden in die Pfanne hauen,jemanden vernichtend kritisieren oder rücksichtslos behandeln,"['Das Publikum war begeistert, aber die Kritiker haben den Dirigenten in die Pfanne gehauen. Die Bonzen regieren, und wir kleinen Schweine werden in die Pfanne gehauen.']"
['jemanden in die Pfanne hauen'],jemanden in die Pfanne hauen,jemanden verprügeln,['Die Hooligans hauten die Ordner in die Pfanne.']
['nicht alle auf der Pfanne haben'],nicht alle auf der Pfanne haben,nicht recht bei Verstand sein,"['ihr, die ihr glaubt, wer sechs Kinder zeugt, hat sie automatisch nicht alle auf der Pfanne. Hund.']"
['der Pfarrer predigt nur einmal'],der Pfarrer predigt nur einmal,"Ausspruch, wenn man etwas bereits Gesagtes nicht noch einmal für jemanden extra wiederholen will","['Auch der Pfarrer predigt nur einmal – selbst für die, die es nicht blicken, wiederholt er das nicht', 'Auch der Pfarrer, so Beck, predigt nur einmal. Und zum Thema Linkspartei habe er alles Notwendige gesagt']"
"['jemand kann bleiben, wo der Pfeffer wächst', 'jemand soll bleiben, wo der Pfeffer wächst']","jemand kann/soll bleiben, wo der Pfeffer wächst","jemand ist nicht erwünscht, soll nicht kommen","['Mit diesem falschen Fuffziger will ich nichts mehr zu schaffen haben, der soll bleiben, wo der Pfeffer wächst!']"
"['jemand kann hingehen, wo der Pfeffer wächst', 'jemand soll hingehen, wo der Pfeffer wächst']","jemand kann/soll hingehen, wo der Pfeffer wächst","jemand ist nicht erwünscht, soll verschwinden","['Karl, der Kerl kommt mir nicht ins Haus, der soll hingehen, wo der Pfeffer wächst.']"
"['Pfeffer im Hintern haben', 'Pfeffer im Arsch haben']",Pfeffer im Hintern/Arsch haben,"lebhaft, zappelig sein, nicht still sitzen können","['Die Kleine saust dauernd irgendwo rum, die hat wirklich Pfeffer im Hintern!', 'Damals hatte ich Pfeffer im Hintern und Feuer in den Augen, trug den klassischen Trenchcoat und fuchtelte mit einer Reiseschreibmaschine als Fähnlein herum.']"
['jemandem Pfeffer in den Arsch blasen'],jemandem Pfeffer in den Arsch blasen,jemanden gehörig antreiben,['Der Chef hat der Versandabteilung ein bisschen Pfeffer in den Arsch geblasen.']
['jemandem eine pfeffern'],jemandem eine pfeffern,jemandem eine kräftige Ohrfeige geben,"['Sie hat ihm eine gepfeffert, dass ihm Hören und Sehen verging.']"
['eine gepfeffert kriegen'],eine gepfeffert kriegen,eine kräftige Ohrfeige versetzt bekommen,"['Sieh dich vor, mein Bürschchen, oder du kriegst eine gepfeffert, dass du die Engel im Himmel pfeifen hörst!']"
['jemanden in der Pfeife rauchen'],jemanden in der Pfeife rauchen,mit jemandem leicht fertigwerden,"['Das ist doch kein Gegner für mich, das Bürschchen rauche ich in der Pfeife!']"
"['jemanden kann man in der Pfeife rauchen', 'etwas kann man in der Pfeife rauchen']","jemanden, etwas kann man in der Pfeife rauchen","jemand, etwas taugt nichts, ist nichts wert","['Das angeblich so tolle Angebot kann man in der Pfeife rauchen. Zumal die Symphoniker des Bayerischen Rundfunks spielten, gegen die man seiner Meinung nach Popmusiker in der Pfeife rauchen kann. tanzen.']"
['Pfeifen im Wald'],Pfeifen im Wald,"Verhalten, das darin besteht, sich selbst Mut zu machen, sich als stark hinzustellen, kritische Stimmen nicht zu beachten","['Die großen Sprüche vor der Wahl erinnern an das Pfeifen im Walde.', 'Republikanische Strategen schreiben ihren Kandidaten nicht ab, allerdings klingt es wie Pfeifen im Wald.']"
['einen pfeifen'],einen pfeifen,Alkohol trinken,"['Jetzt pfeifen wir noch einen, dann gehts nach Hause.']"
['sich eins pfeifen'],sich eins pfeifen,"den Unbeteiligten, Gleichgültigen spielen",['Dreißig Mark war er losgeworden Aus dem Abendessen wurde nichts. Er pfiff sich eins.']
['jemandem was pfeifen'],jemandem was pfeifen,"nicht tun, was jemand von einem erwartet","['Schiebt den faulen Lenz und denkt, ich übernehme seine unerledigten Akten! Dem werd ich was pfeifen!']"
"['auf jemanden pfeifen', 'auf etwas pfeifen']","auf jemanden, etwas pfeifen","jemanden, etwas äußerst gering schätzen; auf jemanden, etwas gern verzichten","['Ich pfeife auf diesen sogenannten Freund – dieser laue Bursche kann mir gestohlen bleiben!', 'Viktor pfeift auf seine Dienstvorschrift, er zieht die Jacke aus.']"
['seine Pfeile verschossen haben'],seine Pfeile verschossen haben,"keine Argumente mehr haben; nichts mehr zur Verwirklichung eines Vorhabens einsetzen können, seine Mittel erschöpft haben",['Der Ankläger hatte seine Pfeile bald verschossen; das Gericht erkannte schließlich auf Freispruch aus Mangel an Beweisen.']
['nicht alle Pfeile im Köcher haben'],nicht alle Pfeile im Köcher haben,nicht bei Verstand sein,"['Was soll das denn? Hast du nicht mehr alle Pfeile im Köcher? Übelster, billigster amerikanischer Schund. Wer diesen Film gut findet, hat nicht alle Pfeile im Köcher. Amor.']"
"['wer den Pfennig nicht ehrt, ist des Talers nicht wert', 'wer den Cent nicht ehrt, ist des Euros nicht wert']","wer den Pfennig nicht ehrt, ist des Talers nicht wert; wer den Cent nicht ehrt, ist des Euros nicht wert","wer mit kleinen Beträgen achtlos umgeht, wird es nicht zu finanziellem Wohlstand bringen","['Man sollte sich genau überlegen, was man wo kauft. Wie immer gilt Wer den Cent nicht ehrt, ist des Euros nicht wert.']"
"['für jemanden, etwas keinen Pfennig geben', 'für jemanden, etwas keinen Cent geben']","für jemanden, etwas keinen Pfennig/keinen Cent geben","jemanden, etwas aufgeben; glauben, dass jemand, etwas keine Aussicht auf Erfolg hat","['Ich gebe für unsere Mannschaft keinen Pfennig mehr, wenn wir keinen neuen Trainer bekommen.']"
"['keinen Pfennig wert sein', 'keinen Cent wert sein', 'keine zehn Pfennig wert sein', 'keine zehn Cent wert sein']",keinen Pfennig/keinen Cent/keine zehn Pfennig/keine zehn Cent wert sein,wertlos sein,"['So eine Perlenimitation ist keinen Pfennig wert. All seine Pläne sind keine zehn Pfennig wert, wenn die Stadt das Grundstück nicht verkauft.', 'Diese Art von Lebenshilfe ist keinen Cent wert. Kann ein Artikel wirklich nur aus Luftblasen bestehen?']"
"['auf den Pfennig sehen; mit dem Pfennig rechnen', 'auf den Pfennig sehen; mit dem Cent rechnen', 'auf den Cent sehen; mit dem Pfennig rechnen', 'auf den Cent sehen; mit dem Cent rechnen']",auf den Pfennig/Cent sehen; mit dem Pfennig/Cent rechnen,sehr sparsam sein,"['Bei seinem Einkommen hat er es wirklich nicht nötig, auf den Pfennig zu sehen. da wir durch das große Haus große Ausgaben haben, müssen wir natürlich mit dem Pfennig rechnen', 'Das Objekt ist eine Wohnung, die nach dem Ertrag bewertet wird, wie das unter Anlegern üblich ist, die auf den Cent sehen', 'Sparen ist zum Sport geworden – bei vielen Menschen, weil sie tatsächlich mit dem Cent rechnen müssen']"
"['nicht für fünf Pfennig', 'nicht für fünf Cent']",nicht für fünf Pfennig/Cent,"kein bisschen, nicht im Geringsten","['Er war nicht für fünf Pfennige an diesem Angebot interessiert.', 'Jay denkt nicht für fünf Cent in die Zukunft, dachte Reggie. Er lebt nur für den Augenblick.']"
['das beste Pferd im Stall'],das beste Pferd im Stall,der leistungsstärkste Mitarbeiter/die leistungsstärkste Mitarbeiterin,"['Es war ein Skandal um den Kriminalbeamten de Jong, das beste Pferd im Stall der holländischen Kriminalpolizei.']"
"['ich denk, mich tritt ein Pferd!']","ich denk, mich tritt ein Pferd!",Ausdruck der Verblüffung,"['Ich dachte, mich tritt ein Pferd. Das war Mutter Wibeau.']"
['das hält ja kein Pferd aus!'],das hält ja kein Pferd aus!,das ist ja unerträglich!,"['Mein Gott, ist das eine Hitze, das hält ja kein Pferd aus!']"
"['jemanden bringen keine zehn Pferde irgendwohin', 'jemanden bringen keine zehn Pferde dazu, etwas zu tun']","jemanden bringen keine zehn Pferde irgendwohin/dazu, etwas zu tun",jemand geht unter keinen Umständen irgendwohin/tut unter keinen Umständen etwas,"['Nach diesen Vorfällen bringen ihn keine zehn Pferde mehr in dieses Lokal. Keine zehn Pferde hätten den Koch dazu gebracht, ein Steak länger als drei Minuten zu braten.']"
"['keine zehn Pferde können jemanden von etwas abbringen', 'keine zehn Pferde können jemanden von etwas abhalten']",keine zehn Pferde können jemanden von etwas abbringen/abhalten,"jemand ist unter keinen Umständen von etwas abzubringen, abzuhalten","['Keine zehn Pferde hätten sie abhalten können, die Sixtinische Kapelle zu sehen, den Petersdom.']"
['jemandem gehen die Pferde durch'],jemandem gehen die Pferde durch,jemand verliert die Kontrolle über etwas,"['Ebel seien im Wahlkampffieber die Pferde durchgegangen, kritisierte Gram. Der SPD-Abgeordnete habe die Position des Ausschussvorsitzenden geschwächt. Drehbuchautor Herbert Reinecker Bei Ende eines Tanzvergnügens sind ihm aber voll die Pferde durchgegangen. Lest diese köstlich-idiotischen Dialoge.']"
['man hat schon Pferde kotzen sehen!'],man hat schon Pferde kotzen sehen!,es geschehen manchmal die unwahrscheinlichsten Dinge,"['Wir sind zwar Spitzenreiter und insofern in einer guten Position, aber ich habe in den vielen Jahren Fußball schon oft Pferde kotzen sehen.']"
"['das Pferd beim Schwanz aufzäumen', 'das Pferd am Schwanz aufzäumen']",das Pferd beim/am Schwanz aufzäumen,eine Sache ganz verkehrt anfangen,"['Auf Gemeindeebene Sonderregelungen zu schaffen, heisst das Pferd am Schwanz aufzäumen.']"
['die Pferde scheu machen'],die Pferde scheu machen,"Aufregung verursachen, andere irritieren","['Zum Thema Gemeindegebietsreform gibt sich der Bürgermeister gelassen Man sollte jetzt nicht die Pferde scheu machen', 'Vom Ministerium habe sie bislang keine Signale in diese Richtung erhalten und möchte nicht die Pferde scheu machen']"
['die Pferde im Galopp beschlagen'],die Pferde im Galopp beschlagen,"etwas zu rasch vornehmen, vorantreiben","['Wir haben die Pferde im Galopp beschlagen, beschreibt der einstige Baudezernent die Bauhektik jener Jahre.']"
"['die Pferde wechseln', 'das Pferd wechseln']",die Pferde/das Pferd wechseln,"die bisherige Zugehörigkeit zu etwas, die bisherige Verbindung mit etwas durch eine neue austauschen","['Baden-Württembergs Justizminister steht trotz wachsender Kritik zum Parteichef und hält auch nichts von einem Rücktritt vor der Landtagswahl. Wenn wir jetzt die Pferde wechseln, bringt uns das für die Landtagswahl am 27. März überhaupt nichts', 'Nachdem über Jahrzehnte hinweg niemals eine Regierung abgewählt worden ist, sendet die deutsche Wählerschaft nun verstörende Signale aus. Fast scheint es, als wolle sie nun gleich zwei Mal hintereinander die Pferde wechseln']"
"['mitten im Strom die Pferde wechseln', 'mitten im Fluss die Pferde wechseln', 'mitten im Rennen die Pferde wechseln']",mitten im Strom/Fluss/Rennen die Pferde wechseln,in einer gegebenen Situation die Bedingungen verändern,"['Bert, der sich bei der Privatbank um institutionelle Anleger kümmert, rät Investoren, nicht mitten im Strom die Pferde zu wechseln', 'wird noch bis Ende des Jahres dauern. Dann ist die komplette Produktpalette auf die neue Technologieplattform gehoben. Grob fahrlässig wäre es deshalb, mitten im Rennen die Pferde zu wechseln']"
['mit jemandem Pferde stehlen können'],mit jemandem Pferde stehlen können,"sich auf jemanden absolut verlassen können, mit jemandem alles Mögliche unternehmen können","['Eigentlich ist sie eine ganz patente Frau, eine, mit der man Pferde stehlen kann', 'Ja, die Erzgebirger können grantige Leute sein, aber hat man sie erst einmal erobert, dann sind es wirklich herzliche Menschen, mit denen man Pferde stehlen kann']"
"['aufs richtige Pferd setzen']","die Lage richtig einschätzen und sich entsprechend verhalten","['Er hatte aufs richtige Pferd gesetzt und war mittlerweile Geschäftsführer geworden.']"
"['aufs falsche Pferd setzen']","die Lage falsch einschätzen und sich entsprechend verhalten","['Wie soll man vorher wissen, ob man auf das falsche Pferd setzt? Hinterher ist es leicht, den Älteren ihre Irrtümer vorzuwerfen!']"
"['immer sachte mit den jungen Pferden!', 'immer langsam mit den jungen Pferden!']",immer sachte/langsam mit den jungen Pferden!,"nicht so heftig, nicht so voreilig!","['Immer sachte mit den jungen Pferden und hinten anstellen, wie alle andern!', 'Immer langsam mit den jungen Pferden! Die nächste Fusion kommt bestimmt!']"
['einen vom Pferd erzählen'],einen vom Pferd erzählen,etwas Unwahres erzählen,"['Ich habe schon schlechte Erfahrungen mit Jungs, die dir einen vom Pferd erzählen, nur um dich ins Bett zu kriegen. arbeiten, denken, Galopp, zureden.']"
"['ein Pferdchen laufen haben', 'ein Pferdchen laufen lassen']",ein Pferdchen laufen haben/lassen,als Zuhälter eine Prostituierte für sich arbeiten lassen,"['Kaum aus dem Knast entlassen, hatte er schon wieder zwei, drei Pferdchen laufen.']"
"['da zeigt sich der Pferdefuß', 'da schaut der Pferdefuß heraus']",da zeigt sich der Pferdefuß/da schaut der Pferdefuß heraus,"da wird die Hinterlist, der verborgene Nachteil sichtbar",['Erst zwei Monate nach Vertragsabschluss zeigte sich der Pferdefuß.']
['einen Pferdefuß haben'],einen Pferdefuß haben,einen Nachteil haben,"['Dann aber mochte ein anderer Gedanke beiden Herrschern gezeigt haben, dass ein solches Unternehmen einen Pferdefuß hatte es legte den ersten Riss in das Reich.']"
"['den Pfiff kennen', 'den Pfiff loshaben']",den Pfiff kennen/loshaben,"wissen, wie man etwas am vorteilhaftesten macht","['Wer den Pfiff kennt, hat mit der Behörde keine Schwierigkeiten.']"
"['keinen Pfifferling wert sein', 'nicht einen Pfifferling wert sein']",keinen/nicht einen Pfifferling wert sein,überhaupt nichts wert sein,"['Nach den Regeln des gesunden Menschenverstandes sind Aussagen einer hassenden Frau keinen Pfifferling wert, soweit sie nicht durch Zeugen bewiesen werden.']"
