Variants,Redewendung,Bedeutung,Beispiele
"['hinten nicht mehr hochkönnen', 'hinten nicht mehr hochkommen']",hinten nicht mehr hochkönnen/hochkommen,in einer sehr bedrängten Lage sein,"['Wie sollen wir in neue Maschinen investieren, wenn wir schon seit Jahren hinten nicht mehr hochkönnen?']"
"['hinten nicht mehr hochkönnen', 'hinten nicht mehr hochkommen']",hinten nicht mehr hochkönnen/hochkommen,körperlich sehr geschwächt sein,"['Wenn der Mensch spürt, dass er hinten nicht mehr hochkann, wird er fromm und weise.']"
"['jemandem eins hintendrauf geben', 'jemandem eins hintenvor geben', 'jemandem ein paar hintendrauf geben', 'jemandem ein paar hintenvor geben']",jemandem eins/ein paar hintendrauf/hintenvor geben,jemandem einen Schlag/ein paar Schläge aufs Gesäß geben,"['Gib ihm eins hintendrauf, wenn er nicht pariert!']"
"['sich auf die Hinterbeine setzen', 'sich auf die Hinterbeine stellen']",sich auf die Hinterbeine setzen/stellen,"sich sträuben, widersetzen","['Wenn du dich nicht auf die Hinterbeine stellst, machen sie mit dir, was sie wollen.', 'Die Schüler stellen sich auf die Hinterbeine gegen die Betonierung und Zerstörung der Natur.']"
"['sich auf die Hinterbeine setzen', 'sich auf die Hinterbeine stellen']",sich auf die Hinterbeine setzen/stellen,"sich anstrengen, sich Mühe geben","['kann ich dir nur raten, setz dich auf die Hinterbeine, dass du einen guten Schulabschluss machst, damit steigen deine Chancen.']"
"['in den Hintergrund geraten', 'in den Hintergrund rücken']",in den Hintergrund geraten/rücken,"an Bedeutung, Beachtung verlieren","['Früher tonangebende Modeschöpfer sind heute zum Teil ein bisschen in den Hintergrund gerückt.', 'Spezialisierung führt zu einem Spartendenken, wobei das Gemeinsame der Berufssituation in den Hintergrund gerät.']"
"['in der Hinterhand sein', 'in der Hinterhand sitzen']",in der Hinterhand sein/sitzen,"den Vorteil haben, als Letzter und damit in Kenntnis des Vorausgegangenen zu handeln, sich zu äußern","['Er kann ruhig versuchen, mit der Gegenseite Kontakt aufzunehmen, wir sind in der Hinterhand.', 'Da sei Amerika in der Hinterhand, der Wilson habe noch reichlich Trümpfe.']"
"['etwas im Hinterkopf haben', 'etwas im Hinterkopf behalten']",etwas im Hinterkopf haben/behalten,"etwas als Wissen, Erinnerung im Hintergrund des Bewusstseins haben/behalten","['Ist es das, was der SPD-Vorsitzende im Hinterkopf hat, eine Weichenstellung in Richtung diplomatische Anerkennung?']"
"['jemandem in den Hintern treten', 'jemanden in den Hintern treten']",jemandem/jemanden in den Hintern treten,"jemanden (mit groben Mitteln) zu etwas veranlassen, antreiben","['Dieser Transuse muss man erst kräftig in den Hintern treten, damit sie sich mal zu irgendetwas aufrafft.']"
"['ins Hintertreffen geraten', 'ins Hintertreffen kommen']",ins Hintertreffen geraten/kommen,"im Vergleich, im Wettbewerb in eine ungünstige Position geraten","['man muss immer scharf rangehen, wenn man nicht ins Hintertreffen geraten will', 'Ich höre oft von Unternehmen, es fehle der Anreiz, mehr zu tun als unbedingt nötig, weil man sonst gegenüber Konkurrenten ins Hintertreffen gerate']"
"['sich eine Hintertür offen halten', 'sich eine Hintertür offen lassen', 'sich ein Hintertürchen offen halten', 'sich ein Hintertürchen offen lassen']",sich eine Hintertür/ein Hintertürchen offen halten/offen lassen,"sich die Möglichkeit bewahren, sich von etwas zurückzuziehen","['Sollten einige Policen bis dato keine der Ausnahmeregelung entsprechende Deckung aufweisen, hat der Gesetzgeber auch für diese Fälle ein Hintertürchen offen gelassen. begründete Raven seinen Rücktritt. Der 55-Jährige hat sich jedoch ein kleines Hintertürchen offen gelassen Er bleibt bis zum März kommissarisch im Amt.']"
"['durch die Hintertür', 'durch eine Hintertür', 'durch ein Hintertürchen']",durch die Hintertür/eine Hintertür/ein Hintertürchen,"auf versteckten Umwegen, heimlich",['Das hört sich an wie eine Steuererhöhung durch die Hintertür.']
"['blas mir den Hobel aus!', 'du kannst mir am Hobel blasen', 'du kannst mir den Hobel blasen']",blas mir den Hobel aus!; du kannst mir am Hobel/den Hobel blasen,"scher dich fort!, lass mich in Ruhe!","['Ich denke gar nicht daran, mitzukommen. Du kannst mir am Hobel blasen.']"
"['jemandem zu hoch sein', 'für jemanden zu hoch sein']",jemandem/für jemanden zu hoch sein,"von jemandem nicht verstanden werden, für jemandes Verstand, Begriffsvermögen zu schwierig sein","['Diese Heidegger-Schrift soll ein anderer verstehen, mir ist sie zu hoch!']"
"['hoch drei', 'hoch zehn']",hoch drei/zehn,in höchstem Maße,"['Wenn man jungen Menschen für eine Leistung weniger Geld gibt als einem Sozialhilfeempfänger, dann ist das hirnrissig hoch drei', 'Ich war früher ein Feigling hoch zehn']"
"['mit Hochdruck', 'unter Hochdruck']",mit/unter Hochdruck,äußerst intensiv und unter Zeitdruck,"['Die Angelegenheit wurde mit Hochdruck betrieben. Wir trainieren unter Hochdruck.', 'Dafür wurde nun aber mit Hochdruck gearbeitet. In wenigen Tagen veränderte sich das Stadtbild. 1']"
"['jemanden hochkant hinauswerfen', 'jemanden hochkant rausschmeißen', 'jemanden hochkantig hinauswerfen', 'jemanden hochkantig rausschmeißen']",jemanden hochkant/hochkantig hinauswerfen/rausschmeißen,jemanden ohne Umstände und unnachsichtig hinauswerfen,"['Noch eine solche Schluderei und sie wird hochkant rausgeschmissen! hat aber keine Ahnung, dass diese Frau die Tochter der Landrätin ist, die sein Vater hochkantig hinauswirft, weil sie ihn inkognito ausspionieren wollte.']"
"['hochkant rausfliegen', 'hochkantig rausfliegen']",hochkant/hochkantig rausfliegen,ohne viele Umstände und unnachsichtig hinausgeworfen werden,"['Also im DFB-Pokal sind die Bayern in Aachen hochkant rausgeflogen, nicht in Hannover.']"
"['keinen hochkriegen', 'einen hochkriegen']",keinen/einen hochkriegen,keine/eine Erektion bekommen,"['die Angst, einen hochzukriegen, würde bei mir vorherrschen vor der Angst, keinen hochzukriegen.']"
"['papierne Hochzeit', 'kupferne Hochzeit', 'hölzerne Hochzeit', 'silberne Hochzeit', 'goldene Hochzeit', 'diamantene Hochzeit', 'eiserne Hochzeit']",papierne /kupferne /hölzerne /silberne/goldene/diamantene/eiserne Hochzeit,1./7./10./25./50./60./65. Jahrestag der Heirat,['Unsere Vereinsmitglieder Paul und Paula Schmidt feiern diamantene Hochzeit. Tiefe Zuneigung und viel Humor ist ihr Rezept.']
"['auf zwei Hochzeiten tanzen', 'auf zwei Kirtagen tanzen']",auf zwei Hochzeiten/Kirtagen tanzen,"an zwei Veranstaltungen, Unternehmungen teilnehmen","['Denn auf zwei Hochzeiten gleichzeitig zu tanzen, Uni und Ausbildung, ist ein großer Stressfaktor', 'Im Kopf tanzt Barrichello dieser Tage auf zwei Kirtagen Wir testen hier Reifen, Bremsen und Aerodynamik für Kanada und gleichzeitig Reifen für Frankreich']"
"['auf allen Hochzeiten tanzen', 'auf allen Kirtagen tanzen']",auf allen Hochzeiten/Kirtagen tanzen,überall dabei sein,"['Sie müssen doch nicht auf allen Hochzeiten tanzen. So machen Sie sich unnötigen Freizeitstress', 'Zu glauben, man könne auf allen Kirtagen, auf allen Märkten tanzen, ist unrealistisch']"
"['auf der falschen Hochzeit tanzen', 'auf der falschen Hochzeit sein']",auf der falschen Hochzeit tanzen/sein,im Hinblick auf seine Erwartungen nicht am rechten Platz sein,"['Darin können Sie nachlesen, was heute tatsächlich beschlossen wird. Denn mir scheint, Sie tanzen mit Ihrer Rede auf der falschen Hochzeit', 'Wer hier nach Stoppuhr und Pulsmesser läuft, ist auf der falschen Hochzeit beim Lauftreff ist gemäßigtes Tempo angesagt']"
"['jemanden vom Hocker hauen', 'jemanden vom Hocker reißen']",jemanden vom Hocker hauen/reißen,jemanden verblüffen,['Mit seiner ausdrucksstarken Stimme und dem gefühlvollen Gesang fesselt La´zlo´ seine Zuhörer und reißt das Publikum vom Hocker.']
"['auf der Höhe der Zeit sein', 'auf der Höhe seiner Zeit sein']",auf der Höhe der/seiner Zeit sein,modern sein,"['Der Verlag bietet ein Programm, das auf der Höhe der Zeit ist. Das Thema ihres neuesten Romans zeigt, dass die Autorin auf der Höhe ihrer Zeit ist.']"
"['sich in die Höhle des Löwen begeben', 'sich in die Höhle des Löwen wagen']",sich in die Höhle des Löwen begeben/wagen,"jemanden, den man fürchtet, von dem man nichts Gutes zu erwarten hat, beherzt mit einem Anliegen aufsuchen","['Der Kommissar merkte wohl, dass er sich schwächte, wenn er gleich zu Anfang in die Höhle des Löwen ging.']"
"['der reine Hohn sein', 'der reinste Hohn sein']",der reine/reinste Hohn sein,vollkommen absurd sein,['Auch hier einmal wieder Selbstbedienung auf Kosten der Steuerzahler. Da ist doch die Steuerreform der reinste Hohn.']
"['bei jemandem ist nichts zu holen', 'bei jemandem ist nicht viel zu holen', 'da ist nichts zu holen', 'da ist nicht viel zu holen']",bei jemandem/da ist nichts/nicht viel zu holen,"jemand besitzt nichts/nicht viel (was man ihm abnehmen, stehlen, pfänden könnte)","['Warum sollte einer hier einbrechen – jeder weiß doch, dass bei uns nichts zu holen ist. Die Firma hat schon längst Konkurs angemeldet, da dürfte nicht mehr viel zu holen sein.']"
"['da ist Holland in Not', 'da ist Holland in Nöten']",da ist Holland in Not/in Nöten,"da ist man in großer Bedrängnis, da ist man ratlos","['In vier Wochen soll bereits die Einweihung des Stadions sein, und die Bauleute sind durch die Schlechtwetterperiode in beträchtlichem Rückstand. Da ist aber Holland in Nöten.']"
"['viel Holz', 'eine Menge Holz', 'ein Haufen Holz']",viel/eine Menge/ein Haufen Holz,eine große Menge,"['400 Künstler, verteilt auf 70 Veranstaltungen in drei Wochen – das ist unglaublich viel Holz', 'Bei fünf Euro Eintritt und zehn Euro Mindestverzehr kommt sonntags schon eine Menge Holz zusammen', 'Drei Jahre und drei Monate wegen Steuerhinterziehung sind ein Haufen Holz']"
"['Holz vor der Hütte haben', 'Holz vor der Tür haben', 'Holz bei der Herberge haben']",Holz vor der Hütte/vor der Tür/bei der Herberge haben,einen üppigen Busen haben,"['Sie zupft leicht an der weißen Spitzenbluse, die erstaunlich viel Holz vor der Hütt’n preisgibt', 'Frauen dieser Art sind schmal wie die Mannequins unserer Tage und haben – wie diese – nicht gerade viel Holz vor der Tür']"
"['dasitzen wie ein Stück Holz', 'dastehen wie ein Stück Holz']",dasitzen/dastehen wie ein Stück Holz,"steif und stumm, völlig unbeteiligt dasitzen, stehen",['Also unterhaltend kann ich sie nun beim besten Willen nicht finden. Bei unserer Einladung hat sie die meiste Zeit wie ein Stück Holz dagesessen.']
"['aus anderem Holz geschnitzt sein', 'aus dem gleichen Holz geschnitzt sein', 'aus hartem Holz geschnitzt sein']",aus anderem/dem gleichen/hartem Holz geschnitzt sein,ein anderes/das gleiche/ein hartes Wesen haben,"['Aber ich bin aus anderem Holz geschnitzt, ich ziehe Vorhaben durch, bis zur letzten Konsequenz, niemals loslassen, aushalten, gegen den Strom schwimmen, das erfordert Charakterstärke', 'Jedenfalls konnte mir nicht verborgen bleiben, dass ich aus feinerem Holz geschnitzt war als meinesgleichen']"
"['mit dem Holzhammer', 'mit der Holzhammermethode']",mit dem Holzhammer/mit der Holzhammermethode,"(in Bezug auf jemandes Vorgehensweise) grob, gänzlich undifferenziert","['Ich mag es sehr gern, dass sie nicht gleich mit dem Holzhammer um die Ecke kommt, sondern ihre Botschaften – etwa, dass man hilfsbereit sein sollte, wenn jemand in Not ist – dezent vermittelt', 'Die Menschen müssen allmählich und mit überzeugenden Argumenten an ein Umdenken herangeführt werden, nicht mit der Holzhammermethode']"
"['honi soit qui mal y pense', 'honni soit qui mal y pense', 'honny soit qui mal y pense']",honi honni/honny soit qui mal y pense,"nur wer immer gleich Schlechtes denkt, wird hieran etwas Anstößiges finden",['Auf Dienstreisen hat er seine Chefin meist begleitet – honi soit qui mal y pense.']
"['jemandem Honig um den Bart schmieren', 'jemandem Honig ums Maul schmieren', 'jemandem Honig um den Mund schmieren', 'jemandem Brei um den Bart schmieren', 'jemandem Brei ums Maul schmieren', 'jemandem Brei um den Mund schmieren']",jemandem Honig/Brei um den Bart/ums Maul/um den Mund schmieren,"jemandem schmeicheln, um ihn günstig für sich zu stimmen","['Die resolute Präsidentin war eigens angereist, um den deutschen Gastgebern ordentlich Honig um den Bart zu schmieren', 'Uns Schauspielern wird genug Brei um den Bart geschmiert', 'anschließend lenkte er vom Thema ab und versuchte der Regierung Brei ums Maul zu schmieren', 'Putins Offenheit ist die Fähigkeit, den naiven Sendlingen des Europarates Honig um den Mund zu schmieren']"
"['kein Honiglecken sein', 'kein Honigschlecken sein']",kein Honiglecken/Honigschlecken sein,"kein reines Vergnügen sein; mit Unannehmlichkeiten, Mühen verbunden sein","['Arbeit ist kein Honiglecken', 'Die Autobahn von München nach Salzburg ist kein Honiglecken']"
"['bei jemandem ist Hopfen und Malz verloren', 'bei irgendwo ist Hopfen und Malz verloren', 'bei irgendwann ist Hopfen und Malz verloren', 'an jemandem ist Hopfen und Malz verloren', 'an irgendwo ist Hopfen und Malz verloren', 'an irgendwann ist Hopfen und Malz verloren']",bei/an jemandem/irgendwo/irgendwann ist Hopfen und Malz verloren,"bei jemandem ist alle Mühe umsonst, jemand ändert sich trotz aller Ermahnungen nicht mehr","['Die sind nicht zu überzeugen, da sind Hopfen und Malz verloren', 'Das Gebäude ist in einem wirklich denkbar schlechten Zustand, aber Hopfen und Malz sind noch nicht verloren – es gibt viele erhaltungswürdige Details']"
"['was von jemandem zu hören bekommen', 'was von jemandem zu hören kriegen']",was von jemandem zu hören bekommen/kriegen,"von jemandem ausgescholten werden, die Meinung gesagt bekommen","['Als er meinte, Hausarbeit sei doch Frauensache, hat er von ihr ganz schön was zu hören gekriegt.']"
"['etwas nur vom Hörensagen kennen', 'etwas nur vom Hörensagen wissen']",etwas nur vom Hörensagen kennen/wissen,"etwas nur aus der Erzählung anderer, nicht aus eigener Erfahrung kennen","['Es ist ja möglich, dass wir Unrecht haben zu klagen, besonders ich, die alles nur vom Hörensagen kennt', 'dass ein Professor alles weiß und alles kann und so was wie einen Misserfolg noch nicht mal vom Hörensagen kennt']"
"['sich die Hörner ablaufen', 'sich die Hörner abstoßen']",sich die Hörner ablaufen/abstoßen,(bes. in Bezug auf die Liebe) durch Erfahrungen besonnener werden,"['Er ist noch sehr jung und muss sich erst noch die Hörner abstoßen.', 'Ich habe mir in literarischer Beziehung schon vor Jahren die Hörner abgelaufen.']"
"['ins gleiche Horn blasen', 'ins gleiche Horn stoßen', 'ins gleiche Horn tuten']",ins gleiche Horn blasen/stoßen/tuten,jemanden in seiner Meinung unterstützen,"['Gegen diesen Plan wandte sich der schwedische Vertreter, und die anderen skandinavischen Delegierten bliesen in das gleiche Horn.', 'Was die Ziele betrifft, bläst Meier ins gleiche Horn wie sein Coach Wir wollen uns weiter in der Liga etablieren.']"
"['kräftig ins Horn stoßen', 'mächtig ins Horn stoßen']",kräftig/mächtig ins Horn stoßen,"sich aufspielen, prahlen","['Er hat mal wieder mächtig ins Horn gestoßen und aller Welt erzählt, wie er jetzt den Laden in Schwung bringen will.']"
"['jemandem die Hosen stramm ziehen', 'jemandem den Hosenboden stramm ziehen']",jemandem die Hosen/den Hosenboden stramm ziehen,(in Bezug auf Kinder) jemandem eine Tracht Prügel geben,"['Während der Kanzler gerade das Menschenrecht auf Faulheit bestreitet und erwartet, dass die Arbeitsämter denjenigen, die nicht jeden zumutbaren Job annehmen, sozusagen die Hosen stramm ziehen.']"
"['die Hosen vollkriegen', 'den Hosenboden vollkriegen']",die Hosen/den Hosenboden vollkriegen,(in Bezug auf Kinder) eine Tracht Prügel bekommen,"['Wenn ich als Junge so mit meinem Vater gesprochen hätte, dann hätte ich ganz schön die Hosen vollgekriegt!']"
"['die Hosen über einem Fass gebügelt haben', 'die Hosen über ein Fass gebügelt haben', 'die Hosen über der Tonne gebügelt haben', 'die Hosen über die Tonne gebügelt haben']",die Hosen über ein/einem Fass/über der/die Tonne gebügelt haben,O-Beine haben,"['Abstehende Ohren und die Hosen über die Tonne gebügelt, aber voller Charme.']"
"['sich auf die Hosen setzen', 'sich auf den Hosenboden setzen']",sich auf die Hosen/den Hosenboden setzen,"(besonders als Schüler) fleißig sein; fleißig arbeiten, lernen","['Wenn du dich nicht auf die Hosen setzt, wirst du nicht versetzt werden.', 'Wer beim Examen nicht ins Schwimmen kommen will und kein Naturtalent ist, der muss sich eben auf den Hosenboden setzen.']"
"['sich in die Hosen machen', 'sich in die Hosen scheißen']",sich in die Hosen machen /scheißen,große Angst haben,"['Als ich mich umdrehte, sprang mich etwas von zwei Seiten an! Ich hab mir fast in die Hose gemacht, aber natürlich waren es nur meine Brüder', 'Was aber, wenn sich die Mannschaft in ihrer Gesamtheit in die Hosen scheißt, wenn es eng wird?']"
"['in kurzen Hosen dastehen', 'mit kurzen Hosen dastehen']",in/mit kurzen Hosen dastehen,in einer blamablen Situation sein; schlecht dastehen,"['Zurzeit steht ihr Spitzenkandidat mit einem von der eigenen Fraktion angeschossenen Innensenator und einem Wirtschaftssenator im fortgeschrittenen Rentenalter für die Wahl 2003 in ziemlich kurzen Hosen da', 'Allerdings ist auch nicht auszuschließen, dass Oberkellner Schröder irgendwann mit ganz kurzen Hosen dasteht, wenn er weiter so großzügig ausschenkt']"
"['die Hose mit der Kneifzange anziehen', 'die Hose mit der Kneifzange zumachen']",die Hose mit der Kneifzange anziehen/zumachen,"naiv, leichtgläubig sein","['Du und im Fernsehen auftreten? Das kannst du einem erzählen, der sich die Hose mit der Kneifzange anzieht. Wer das glaubt, der zieht sich die Hose mit der Kneifzange an.']"
"['hüben und drüben', 'hüben wie drüben']",hüben und/wie drüben,auf der einen wie der anderen Seite,"['nicht die Funktionäre an einen Tisch zu bringen, sondern die Bürger hüben wie drüben.']"
"['mit den Hühnern aufstehen, zu Bett gehen', 'mit den Hühnern aufstehen, schlafen gehen']","mit den Hühnern aufstehen, zu Bett gehen/schlafen gehen","sehr früh aufstehen, sehr früh schlafen gehen","['Nach einem hektischen Nachtdienst und danach acht Stunden auf der Station bin ich geschafft Ich geh heut mit den Hühnern schlafen.', 'Es ist erst zwei Wochen her, dass ein Kaplan, der wie alle Gottesmänner mit den Hühnern aufzustehen gewohnt ist, bei uns erschien.']"
"['alle Hüllen fallen lassen', 'die Hüllen fallen lassen']",alle/die Hüllen fallen lassen,sich nackt ausziehen,"['Auf dem Flughafen ist der Mensch künftig nackt; aus Gründen der Sicherheit sollen alle Hüllen fallen', 'Viele Kundinnen fürchten auch den Schock in der Umkleidekabine, wenn die Hüllen fallen und kaltes Neonlicht Problemzonen ausleuchtet']"
"['in Hülle und Fülle', 'die Hülle und Fülle']",in/die Hülle und Fülle,"sehr viel, im Überfluss","['Arbeit, das merkte er bald, gab es in der Firma die Hülle und Fülle.', 'Die Natur hat eine Vorliebe dafür, solche Personen in Hülle und Fülle hervorzubringen.']"
"['die Hunde bellen, und die Karawane zieht weiter', 'die Hunde bellen, aber die Karawane zieht weiter']","die Hunde bellen, und/aber die Karawane zieht weiter",unbeirrt von Widerstand oder Kritik verfolgen wir den für richtig befundenen Kurs weiter,"['Der Bundeskanzler wies die Angriffe der Opposition mit den Worten Die Hunde bellen, und die Karawane zieht weiter zurück.']"
"['von dem nimmt kein Hund ein Stück Brot', 'von dem nimmt kein Hund einen Bissen Brot']",von dem nimmt kein Hund ein Stück/einen Bissen Brot,er ist von allen verachtet,['Das Rauschgift hat ihn völlig kaputtgemacht. Von dem nimmt heute kein Hund ein Stück Brot mehr.']
"['dass es einen Hund erbarmen kann', 'dass es einen Hund erbarmen muss', 'dass es einen Hund jammern kann', 'dass es einen Hund jammern muss']",dass es einen Hund erbarmen/jammern kann/muss,... dass man nur Mitleid haben kann,"['Er wird von ihnen behandelt, dass es einen Hund erbarmen kann.', 'Und sehe ich von den üblichen Bettelbriefen ab, so bauscht sich der Vorhang vor einer Komödie von Eitelkeit, dass es einen Hund jammern kann.']"
"['mit etwas keinen Hund hinter dem Ofen hervorlocken', 'mit etwas keinen Hund vom Ofen locken']",mit etwas keinen Hund hinter dem Ofen hervorlocken /vom Ofen locken,mit etwas kein Interesse bei jemandem erwecken,"['Fünf Euro in der Stunde willst du der Putzfrau geben? Damit kannst du heute keinen Hund hinter dem Ofen hervorlocken.', 'Zu Zeiten einer extrem niedrigen Inflation konnte das USFinanzministerium mit den seit einigen Jahren angebotenen inflationsschützenden Anleihen keinen Hund hinter dem Ofen hervorlocken.']"
"['mit den großen Hunden pinkeln wollen', 'mit den großen Hunden pissen wollen']",mit den großen Hunden pinkeln/pissen wollen,"mit den Stärkeren, Mächtigeren, Reicheren mithalten wollen","['Man muss es ja nicht gleich so drastisch ausdrücken wie jener amerikanische Diplomat mit Europa-Erfahrung, der zu den politisch-militärischen Turnübungen der Europäer verächtlich meinte Mit den großen Hunden pinkeln wollen, aber das Bein nicht hochkriegen', 'Schließlich kamen mit den selbstillustrierten Kinderbüchern über Madeline, ein kleines, mutiges Pariser Mädchen, der Erfolg, das Geld und die Chance, mit den großen Hunden zu pinkeln']"
"['das ist, um junge Hunde zu kriegen', 'es ist, um junge Hunde zu kriegen', 'das ist zum Junge-Hunde-Kriegen']","das/es ist, um junge Hunde zu kriegen; das ist zum Junge-Hunde-Kriegen",das ist zum Verzweifeln,"['Wir haben wieder nichts gewonnen, nicht einmal drei Richtige. Das ist doch zum Junge-HundeKriegen!']"
"['unter dem Hund sein', 'unter allem Hund sein']",unter dem/unter allem Hund sein,"miserabel, unter aller Kritik sein","['Unter allem Hund sind die in den kantonalen Normalarbeitsverträgen festgelegten Arbeitszeiten', 'Ich bin kein Mensch, der hohe Ansprüche fordert, aber was da alles gezeigt wird, ist doch wirklich unter allem Hund!', 'Ist unsere Politik in der Tat unter dem Hund?']"
"['jemanden auf hundert bringen', 'jemanden auf hundertachtzig bringen']",jemanden auf hundert/hundertachtzig bringen,jemanden rasend vor Wut machen,"['In Ermangelung von Hilfsmitteln beschränke ich mich auf Klopfen gegen das Seitenfenster, was die Dame auf hundertachtzig bringt.']"
"['auf hundert kommen', 'auf hundertachtzig kommen']",auf hundert/hundertachtzig kommen,vor Wut rasend werden,['Er kommt immer gleich auf hundert.']
"['auf hundert sein', 'auf hundertachtzig sein']",auf hundert/hundertachtzig sein,vor Wut rasen,"['Keine Anrufe in der nächsten Stunde; Wolfgang ist immer gleich auf hundertachtzig, wenn während einer Besprechung ein Telefon klingelt. Freund, Punkt.']"
"['hungrig wie ein Wolf sein', 'hungrig wie die Wölfe sein']",hungrig wie ein Wolf/wie die Wölfe sein,sehr großen Hunger haben,"['Nach dem Fußballspiel hungrig wie die Wölfe, stürzten sich die Buben auf ihre Riesenportion Pommes mit Fischstäbchen.']"
"['das ist gehüpft wie gesprungen', 'das ist gehupft wie gesprungen', 'das ist gehopst wie gesprungen']",das ist gehüpft/gehupft/gehopst wie gesprungen,das macht keinen nennenswerten Unterschied; eins ist so gut wie das andere,"['Ob man dem einen oder anderen Antrag zustimmt, ist im Endergebnis vermutlich gehupft wie gesprungen. Kiste, Tod, Totengräber.']"
"['jemandem was husten', 'jemandem eins husten']",jemandem was/eins husten,"nicht jemandes Wunsch, Aufforderung entsprechend handeln, weil man ihn als Zumutung empfindet","['Dem werd ich was husten, wenn er meint, jeder müsste nach seiner Pfeife tanzen.']"
"['den Hut in den Ring werfen', 'seinen Hut in den Ring werfen']",den/seinen Hut in den Ring werfen,seine Kandidatur anmelden,"['Wirft Fraktionschef Manfred Vogt den Hut in den Ring, erhält der Kampf um die Nachfolge des Oberbürgermeisters eine neue Dimension.']"
"['den Hut in den Ring werfen', 'seinen Hut in den Ring werfen']",den/seinen Hut in den Ring werfen,sich um etwas bewerben,"['ABB hat unterdessen bereits seinen Hut für weitere, ähnliche Vorhaben in den Ring geworfen Die Nachfolgeprojekte für Deutschland sind gerade in der Ausschreibung.']"
"['den Hut nehmen', 'seinen Hut nehmen']",den/seinen Hut nehmen,"zurücktreten, aus dem Amt scheiden","['In jedem Fall müsste der Verantwortliche seinen Hut nehmen', 'Auch der langjährige Finanzdirektor Krupps musste noch im selben Jahr seinen Hut nehmen']"
"['eins auf den Hut kriegen', 'eins auf den Hut bekommen']",eins auf den Hut kriegen/bekommen,"einen Verweis, eine Rüge bekommen",['Pünktlichkeit wird hier großgeschrieben. Fünf Minuten zu spät und schon kriegst du eins auf den Hut.']
"['etwas aus dem Hut ziehen', 'etwas aus dem Hut zaubern']",etwas aus dem Hut ziehen/zaubern,"etwas hervorbringen, herbeischaffen","['Wer konnte wissen, dass der Staatsanwalt noch einen weiteren Belastungszeugen aus dem Hut ziehen würde? Das ist ungerecht, dachte man sich bei der Deutschen Bank, deren Abteilung Private Banking deshalb zur Abhilfe ein neues Zertifikat aus dem Hut gezaubert hat.']"
"['jemanden, etwas hüten wie seinen Augapfel', 'jemanden, etwas hegen wie seinen Augapfel']","jemanden, etwas hüten/hegen wie seinen Augapfel","jemanden, etwas besonders sorgsam hüten","['Ihre Rosenzucht hütet sie wie ihren Augapfel. Dir einfach eine Blüte abzubrechen käme für sie einem Sakrileg gleich.', 'Sie war schon immer nach Traktoren verrückt. Ihr Vater hat seinen Traktor aber gehütet wie seinen Augapfel', 'Zwei Ordner voller Urkunden hütet sie wie ihren Augapfel']"
"['keine Idee von etwas haben', 'nicht die leiseste Idee von etwas haben', 'nicht die geringste Idee von etwas haben']",keine/nicht die leiseste/nicht die geringste Idee von etwas haben,"von etwas überhaupt nichts wissen, verstehen","['Ich hatte ja keine Idee davon, dass sie den Urlaub verschoben hat. Er hat nicht die leiseste Idee von Kunst.']"
"['gar nicht erst ignorieren', 'gar nicht einmal ignorieren']",gar nicht erst/nicht einmal ignorieren,vollkommen ignorieren,"['eine schaurig-schöne Zeitschrift, die uns in bunten Bildern und düsteren Worten immer wieder Gefahren veranschaulicht, Gefahren zumeist, die wir bis dahin nicht einmal ignoriert haben.']"
"['was immer', 'wer immer', 'wie immer']",was/wer/wie immer,"gleichgültig, was/wer/wie","['Was immer geschah und wem immer sie begegnete, sie blieb so unduldsam wie unversöhnlich.']"
"['etwas instand setzen', 'etwas instand stellen']",etwas instand setzen/stellen,"etwas gebrauchsfähig machen, reparieren","['Weil Abraham reparierte Autos verabscheute, ließ er seinen zerschossenen Wagen instand setzen und kaufte bei Inzahlungnahme des alten einen neuen Dreiliter-BMW', 'Neue Straßen sollen entstehen, Flughäfen instand gesetzt und ein Tiefseehafen gebaut werden', 'Was nicht funktionstüchtig ist, muss der Vermieter auf seine Kosten instand stellen', 'Nach Ablauf der Garantiezeit lassen nur noch wenige Handy-Besitzer ihre defekten Geräte instand stellen, weil die Fachhändler den Kunden lieber ein neues Gerät verkaufen und von der Reparatur abraten']"
"['bis auf den i-Punkt', 'bis auf das i-Tüpfelchen']",bis auf den i-Punkt/bis auf das i-Tüpfelchen,"bis ins Letzte, ganz genau","['Immer hatten die Abrechnungen bis auf den i-Punkt gestimmt. Man hatte alles bis aufs i-Tüpfelchen vorbereitet, nichts dem Zufall überlassen.']"
"['jemanden in die Irre führen', 'jemanden in die Irre locken']",jemanden in die Irre führen/locken,auf einen falschen Weg führen/locken,['Isabels Augen locken die Fahrer der andern Wagen in die Irre.']
"['jemanden in die Irre führen', 'jemanden in die Irre locken']",jemanden in die Irre führen/locken,"jemanden irreführen, täuschen","['da war und ist einfach nichts zu machen. Und wer etwas anderes behauptet, der führe das Volk in die Irre.']"
"['sich die Jacke begießen', 'sich die Jacke vollsaufen']",sich die Jacke begießen/vollsaufen,sich betrinken,"['Erst säuft er sich die Jacke voll, dann wird er gewalttätig.']"
