Redewendung,Bedeutung,Beispiel
etw. in/zu Klump fahren,"etw. zu Schrott fahren, völlig demolieren","[' und die beiden Söhne fragen sich ge- genseitig beim Fußballquiz ab, wenn sie nicht mit gestohlenen Autos andere Au- tos zu Klump fahren oder sich mit Pillen, Hasch oder magischen Pilzen einen ge- mütlichen Tag machen (taz 24. 4. 1997, 16).']"
in/zu Klump gehen,völlig de- moliert werden,"['Bei genauem Hinsehen vollzogen sich in Filmen wie Flammendes Inferno und Erdbeben die Schicksale So- doms und Babels, erteilte die göttliche Natur schmerzhafte Lektionen. Es war die säkularisierte Welt, die zu Klump ging, Beispiele menschlicher Schaffens- kraft wie Flugzeuge, Hochhäuser, Super- schiffe, ganze Metropolen (Zeit 5. 7. 2006, 37).']"
an etwas zu knabbern/zu kna- cken haben,"1. sich mit etwas abmü- hen, schwertun","['Die Kriminalpolizei wird an dem Fall noch ganz schön zu knab- bern haben.', 'Die Studenten haben an den neuen Studienstrukturen schon ge- nug zu knabbern (SZ 10. 2. 2011, 34).']"
an etwas zu knabbern/zu kna- cken haben,2. unter den Folgen von etw. leiden müs- sen,"['An dieser Niederlage wird der Team- chef noch eine ganze Weile zu knab- bern haben (MM 12. 8. 2017, 24).']"
nichts mehr zu knabbern haben,"kein Geld mehr für die täglichen Bedürf- nisse haben, finanziell am Ende sein","['Wenn die Hypothekenzinsen noch weiter steigen, dann dürften viele Häuslebauer bald nichts mehr zu knabbern haben.']"
Knall und/auf Fall,"unvermit- telt, auf der Stelle","[' es widerstrebt mir, einen mittellosen und kranken Menschen Knall und Fall auf die Straße zu setzen (K. Mann, Mephisto 180). Der Reifenher- steller schloss das Werk Knall auf Fall (SZ 17. 10. 2015, 36).']"
einen Knall haben,nicht recht bei Verstand sein,"['Leider ist der von der Polizei um Rat gefragte Seelendoktor selbst derjenige, der einen Knall hat (www.prosieben.de). Easy?!! Du hast wohl ’nen Knall! Wieso easy? Ich quäl mich schon seit Wochen mit dem Thema rum .']"
jmdm. eine/ein paar knallen,jmdm. eine Ohrfeige/mehrere Ohr- feigen geben,"['Halt gefälligst deine Klappe oder ich knall dir gleich eine. Bug, Haufen, Karton, Korken, Latz.']"
Knast schieben,eine Frei- heitsstrafe verbüßen,"['Er hatte einmal Knast geschoben, und das reichte ihm.']"
einen Knick im Auge/in der Linse/in der Optik haben,1. schie- len,"['Die neue Wirtin hatte einen Knick im Auge. Der Standesbeamte, der einen an- ständigen Knick in der Optik hatte, reizte sie zum Lachen.']"
einen Knick im Auge/in der Linse/in der Optik haben,2. nicht richtig sehen können,"['Du trittst mir ja schon wieder auf den Fuß. Du hast wohl einen Knick im Auge?', 'Das ist kein Knick in der Optik, die Leuchten sind wirklich so geformt (NNN 17. 2. 2015, 2).']"
aus dem Knick kommen,"mit einer Aufgabe o. Ä. endlich beginnen, vorankom- men","['Ihr müsst mit eurem Projekt endlich mal aus dem Knick kommen.', 'Denn beim Losfahren merkt man, dass der Tur- bodiesel auf den ersten Metern nicht aus dem Knick kommt (Zeit 10. 1. 2007, 56).']"
etw. knicken kön- nen,"etw. vernachlässigen, sich etw. ersparen können",['Eure Mund- bzw. Mailpropaganda funk- tioniert klasse. Ohne hätten wir unsere Tour knicken können (www.texorama. de). Also BOD übers Internet mit Modem oder ISDN kannste knicken mit DSL wiederum gehts einigermaßen (pub101. ezboard.com).']
jmdm. wächst das Knie durch die Haare,jmd. bekommt eine Glatze,"['Na, mein Lieber, dir wächst auch schon das Knie durch die Haare.']"
jmdm. werden die Knie weich,jmd. bekommt große Angst,"['Als der Maskierte die Pistole auf ihn richtete, wurden dem Kassierer die Knie weich. hier flogen die Jahre Zuchthaus den Leuten nur so um die Köpfe. Dem Bätes wurden die Knie weich (Spoerl, Maulkorb 131).']"
weiche Knie,mit einem Gefühl kör- perlicher Schwäche verbundene große Angst,"['Jetzt spuckt ihr große Töne, aber als es hart auf hart ging, da hattet ihr alle erst mal weiche Knie! Mit weichen Knien wartete er auf den Bescheid.']"
jmdn. auf/in die Knie zwingen,"jmdn. unterwerfen, jmds. Widerstand bre- chen","['Kein Bündnis wird das andere mit einem Rüstungswettlauf in die Knie zwingen (von Weizsäcker, Deutschland 71).']"
vor jmdm. auf den Knien rutschen,"jmdm. gegenüber unterwürfig, krieche- risch sein","['Sollten die anderen vor dem Diktator auf den Knien rutschen, er hatte keine Angst vor ihm!']"
"Gott auf  Knien danken können, dass ","sehr dankbar sein können, dass ...","['Du kannst Gott auf Knien dan- ken, dass nichts Schlimmeres passiert ist.']"
in die Knie gehen,1. in den Knien einkni- cken und zu Boden fallen,"['Der Betrunkene stolperte und ging in die Knie (Fels, Sün- den 43).']"
in die Knie gehen,2. sich einer bermacht beugen,"[' die bloße Bereitschaft, vor den \x05ber- Gaben eines anderen in die Knie zu gehen (Chr. Wolf, Nachdenken 100). Seine Sank- tionen gegen Teheran haben das Regime nicht in die Knie gehen lassen (Spiegel 11. 1. 2020, 10–23).']"
in die Knie gehen,3. wirtschaftlich zu- sammenbrechen,"['Eine Firma nach der an- deren ging in die Knie (Thüringische Lan- deszeitung 15. 4. 2014, 16).']"
in den Knien weich werden,große Angst bekommen,"['Die meisten Passagiere wurden in den Knien weich, als die Ent- führer die Maschine zur Kursänderung zwangen. der Alte wird langsam weich in den Knien (Ruark [\x05bers.], Ho- nigsauger 484).']"
sich  ins Knie schießen,sich selbst schädigen,"['Wenn die Mittel, die zur Umstrukturierung der Landwirtschaft vorgesehen waren, für Stützkäufe ausge- geben werden, haben wir uns selber ins Knie geschossen (taz 30. 1. 2001, 2).']"
ein Schuss ins Knie,eine misslun- gene Aktion,"['Unpünktlichkeit bei der \x05berwei- sung der Beiträge wäre ein Schuss ins Knie, denn damit würden automatisch Verzugszinsen fällig (taz 19. 4. 2000, 10).']"
etw. übers Knie brechen,"etw. über- eilt erledigen, entscheiden","['Eine so wich- tige Reform wie die der Rentenversiche- rung sollte man nicht übers Knie brechen (www.bds-dgv.de, 25. 1. 2001).']"
jmdn. übers Knie legen,"jmdm. Schläge auf das Gesäß geben, eine Tracht Prügel geben","['Wenn du nicht hören kannst, lege ich dich übers Knie.', 'Ver- mutlich hatte es dem alten langen Kerl auch noch Vergnügen gemacht, von sei- ner Frau übers Knie gelegt zu werden (Erich Kästner, Fabian 16). ficken, Kot, Loch.']"
die/seine Kno- chen hinhalten,"sich für eine  Sache mit vollem Kräfteauf- wand einsetzen; sich für jmdn., etw. op- fern","['Beide, die Demonstranten, die erbit- tert gegen die vermeintliche Willkür des IWF und der Regierung kämpfen, wie auch die Polizisten, die ihre Knochen hin- halten müssen, sind Opfer einer schein- bar sozialen, tatsächlich aber als unver- antwortlich zu bezeichnenden Politik (Handelsblatt 21. 6. 2001, 33). Wer ver- spottet uns und hält Leute , die noch nie für irgendwen ihre Knochen hingehal- ten haben, aber dafür pensionsberechtigt sind, für Vorbilder? (Standard 5. 9. 2008, 22).']"
du kannst dir die Knochen nummerieren lassen; lass deine Knochen nummerieren,"Drohung, dass es gleich schlimme Prügel setzt","['Wenn du nicht sofort ver- schwindest, kannst du dir die Knochen nummerieren lassen.', 'Wer ihm bei die- ser Mission den Weg verstellt, bereut es bitter und kann hinterher seine Knochen nummerieren (Kölner Stadt-Anzeiger 28. 7. 2007, 16).']"
 dass du deine Knochen im Sack nach Hause tragen kannst,"Ankündi- gung, dass die Prügel, die jmd. bekommen wird, schlimm sein werden","['Du kriegst eine Abreibung, dass du deine Knochen im Sack nach Hause tragen kannst.']"
auf die Knochen gehen,sehr an- strengend sein,"['Schon die zwei Trainings- abende gehen auf die Knochen (Chotje- witz, Friede 124).']"
bis auf/in die Knochen,"völlig, durch und durch","['Diese Männer waren Militaristen bis in die Knochen.', 'Nach 80 Kilometern hatten wir endlich unser Ziel erreicht – nass bis auf die Knochen (Berliner Zeitung 2. 1. 2014, 35).']"
jmdm. in die Knochen fahren,"jmdn. sehr berühren, von jmdm. stark ge- spürt werden","['Das kann Anlegern durch- aus als Schrecken in die Knochen fahren (Handelsblatt 4. 1. 2016, 28). Mir war die Angst ganz schön in die Knochen gefah- ren (Ziegler, Konsequenz 67).']"
jmdm. in den Knochen stecken/sitzen,von jmdm.  gespürt werden; in jmdm. nachwirken,"['Der Schreck steckte ihm noch tief in den Knochen. Ernas Beschimpfungen sitzen mir noch in den Knochen (Remarque, Obelisk 96).']"
nichts in den Knochen haben,"keine Kraft haben, nichts aushalten können",['Die jungen Burschen hatten nichts in den Knochen.']
über die Knochen gehen,sehr an- strengend sein,"['So ein Spiel von 90 Minu- ten geht ganz schön über die Knochen. Die stets gleichen Handgriffe gehen über die Knochen (Thüringische Lan- deszeitung 7. 1. 2013, 22). 2 Disziplin, Fleisch, Haut, Mark, nass.']"
es ist zum Knochenkot- zen!,es ist zum Verzweifeln!,"['Jetzt kann ich die ganze Arbeit noch einmal machen. Es ist zum Knochenkotzen! Ihr ist zum Knochenkotzen, die Traurig- keit sitzt ihr wie ein bockiges Gefühl in der Brust (Leipziger Volkszeitung 8. 10. 2011, 12).']"
jmdm. geht der Knopf auf,jmd. begreift plötzlich,"['Als er merkte, dass die beiden sich schon kann- ten, ging ihm der Knopf auf.']"
den Knopf auftun,"(von Kin- dern, Jugendlichen) einen merklichen Fortschritt in der geistigen Entwicklung machen","['Mit zehn tat ich den Knopf auf, wurde umgänglich, mitteilsam (Gosse [\x05bers.], Vater und Sohn 195).']"
Knöpfe auf den Augen haben,nicht richtig sehen,['Die Fahrkarten lie- gen groß und breit auf der Konsole – hast du denn Knöpfe auf den Augen?']
Knöpfe in/auf den Ohren haben,nicht richtig gut hören,['Hast du Knöpfe in den Ohren? Wie lange soll ich dich denn rufen?']
jmdm. einen Knopf an die Backe quat- schen/labern,unablässig auf jmdn. einreden,"['Dann sah ich Werner, un- seren ehemaligen Gruppensprecher , der einem einen Knopf an die Backe labern konnte (Schröder, Abenteuer Therapie 133).']"
etw. an den Knöpfen ab- zählen,eine Entscheidung dem Zufall überlassen,"['Welcher politische Beamte mag schon gern jeden Morgen an den Knöpfen abzählen müssen, ob er noch im Dienst ist oder nicht (Zeit 19. 11. 1998, 40).']"
auf Knopfdruck,"augen- blicklich, sofort; automatisch","['Ihr Magen beginnt wie auf Knopfdruck zu knurren, als ihr der Geruch von Bratwürsten und Rösti um die Nase streicht (Berner Zei- tung 7. 12. 2019, 31).']"
aus allen/sämtlichen Knopflö- chern,"sehr, in hohem Maße","['Sie strahlte aus sämtlichen Knopflöchern. Als mein Nachbar Robert Anfang Juli in den Urlaub reiste, strahlte er aus allen Knopflöchern (Kölner Stadt-Anzeiger 31. 8. 2013, 41). Die Armut springt einem förmlich aus allen Knopflöchern (Thürin- gische Landeszeitung 28. 1. 2017, 19).']"
aus allen/sämtlichen Knopflöchern plat- zen,zu dick geworden sein,"['Isst für zwei, sitzt den ganzen Tag am Schreib- tisch, hinterm Steuerrad oder vorm Fern- seher und wundert sich, dass sie aus allen Knopflöchern platzt.']"
jmdm. aus allen/sämtlichen Knopflö- chern gucken/schauen/sehen,"(in Bezug auf eine Eigenschaft, einen Zu- stand) jmdm. deutlich anzusehen sein",['Ihr guckt die Neugier aus allen Knopflö- chern. Dem schaut die Geilheit doch aus sämtlichen Knopflöchern. Träne.']
bei jmdm. platzt/reißt der Knoten,1. jmd. überwindet eine Hemmung in seiner körperlichen oder geistigen Ent- wicklung,"['Sie waren sehr glücklich, dass bei ihrem Jüngsten endlich der Knoten geplatzt war. Seit bei ihm der Knoten ge- rissen ist, läuft er Zeiten um 10,1.']"
bei jmdm. platzt/reißt der Knoten,2. jmd. begreift endlich etw.,"['Aha, jetzt scheint bei ihm der Knoten gerissen zu sein.']"
den  Knoten durchhauen,eine schwierige Aufgabe verblüffend ein- fach lösen,"['Insgeheim erwachte die Hoff- nung, den gordischen Knoten mit ei- nem Streiche zu durchhauen (Niekisch, Leben 31).']"
da liegt der Knüppel beim Hund,"das ist die notwendige unange- nehme Folge, das ist das Problem","['Dieses Abkommen führt nach und nach auch zu einer politischen Abhängigkeit. Da liegt der Knüppel beim Hund. der hätte das alles durchgestanden Aber da liegt der Knüppel beim Hund Dass der Politi- ker von der Kritik nicht mehr getroffen wird (www.berlinonline.de, 28. 1. 2000).']"
jmdm. Knüppel/einen Knüppel zwischen die Beine werfen,jmdm. Schwierig- keiten machen,"['Der hatte, nur um ihm den Knüppel zwischen die Beine zu wer- fen, alle diese frechen, höllisch schlauen Klauseln und Erschwernisse ausgeheckt (Feuchtwanger, Herzogin 100).']"
Knüppelausdemsack spielen,jmdn. verprügeln,"['Wollt ihr wohl endlich leiser sein, ihr Lausebengel? Oder muss ich erst Knüppelausdemsack spielen?']"
ganz knusper sein,bei Verstand sein,"['Der Typ ist doch nicht ganz knusper, wenn er glaubt, dass ich mit ihm in die Disco gehe!', 'Dem Arzt, der mir deshalb sagt, ich solle mit meinem Sport aufhören, würde ich Fra- gen, ob er noch ganz knusper ist (www. kampfkunst-board.info, 24. 10. 2005).']"
Kobolz schießen/schlagen,einen Purzelbaum machen,"['Die ganz Kleinen schlugen Ko- bolz auf der Matte.', 'Max schoss ein paar Mal Kobolz und dankte seinem Schöpfer dafür, dass er arbeitslos war (Schnurre, Bart 31).']"
viele Köche verderben den Brei,"wenn bei einer Sache zu viele mitreden, mitentscheiden, kommt nichts Gutes dabei heraus","['Viele Köche verderben den Brei! Zwei Jugendzeitschriften und eine ge- meinsame Ausgabe? Wir habens ge- wagt (www.jpberlin.de). Dies ist der Punkt, den eine Person allein machen sollte – viele Köche verderben den Brei (www.jura.uni-sb.de). Hunger.']"
kochen vor Wut,sehr wütend sein,"['Längst nicht jeder, der will, kommt auch rein ins Tanzparadies. Und mancher, der nicht reinkommt, kocht vor Wut (NZZ 17. 1. 2003, 57). Blut, essen, schleifen, Süppchen, Topf, Wasser. Aus der Zubereitung von Mahlzeiten stammen etliche Redewendungen, die sich längst nicht alle in einen']"
"Topf Senf Brühe Eingemachte Kohl Brei. Kochlöffel Extrawurst Liebe Köche Suppe Teufels Süppchen Küche. gegessen, den Kochlöffel schwingen","das Essen zubereiten, kochen","['Wenn Vater den Kochlöffel geschwungen hatte, sah die Küche wie ein Schlachtfeld aus.']"
die Koffer packen,"einen Ort, eine Wirkungsstätte verlassen","['Wenn das Wetter weiter so schlecht bleibt, packe ich die Koffer. Wenn Sie die Maschine noch einmal heiß laufen lassen, können Sie die Koffer packen. Hier wer- den gute Arbeitskräfte gebraucht.']"
einen Koffer stehen lassen,eine Blähung abgehen lassen,"['Puh, wer hat denn hier einen Koffer ste- hen lassen!']"
auf gepackten Koffern sitzen,jederzeit zur Abreise bereit sein,"['Die zweite Gruppe, die ich untersucht habe, sind Frauen, die nicht pendeln, sondern die zum Beispiel aus Lateinamerika kommen oder aus Afrika, und die quasi auf ge- packten Koffern sitzen, weil sie in Deutschland keinen gesicherten Aufent- haltsstatus haben (taz 22. 11. 2007, 27).']"
aus dem Koffer leben,dauernd unterwegs sein,"['Man muss oft wochenlang aus dem Kof- fer leben und sehr flexibel sein (MM 5. 7. 2014, 7).']"
jmdm. vor den Koffer scheißen,grob und unfair mit jemandem umgehen; jemanden rücksichtslos übervorteilen,"['Wenn man mit mir Geschäfte machen will, dann darf man mir nicht derart vor den Koffer scheißen.', 'Ich kann da ja auch nicht jedem gleich vor den Koffer scheißen (Berliner Zeitung 22. 8. 2017, 19).']"
alten Kohl aufwärmen,"eine alte Geschichte, eine erledigte Angelegen- heit erneut ins Gespräch bringen","['Sie wärmte den alten Kohl so lange wieder auf, bis es ihm stank, er seine Sachen packte und auf Nimmerwiedersehen die Haustür hinter sich zuschlug.']"
seinen Kohl anbauen/bauen,zu- rückgezogen leben,['Er hatte auf eine Lauf- bahn im öffentlichen Dienst verzichtet und baute irgendwo in der Mark seinen Kohl.']
das macht den Kohl/ das Kraut auch nicht fett,"(in Bezug auf eine vergleichsweise geringe Menge, Zahl von etw.) das nützt auch nichts, das macht keinen Unterschied",['Zwanzig Euro mehr oder weniger im Monat Das macht den Kohl auch nicht fett.']
Kohldampf schieben,Hunger haben,"['Eigentlich war ja auch nicht einzusehen, warum Russen sich satt essen sollten, während die Hollän- der Kohldampf schoben (Küpper, Simpli- cius 59).']"
feurige/ glühende Kohlen auf jmds. Haupt sammeln,"jmdn. durch sein Verhalten, seine Großmut beschä- men","['Da setzte sich Mühsam mit aller Leidenschaft für Landauer ein, er sam- melte feurige Kohlen auf das Haupt sei- nes Freundes (Niekisch, Leben 68).']"
auf  Kohlen sitzen,"in einer bestimmten Situation in Erwartung von etw., wegen einer Verzögerung, Behin- derung o. Ä. voller Unruhe sein","['Selbst als Favorit ist man fürchterlich nervös und sitzt wie auf glühenden Kohlen (Berliner Zeitung 8. 8. 2016, 28).']"
den/einen Koller kriegen,1. sich sehr aufregen,"['Wenn dein Vater das erfährt, kriegt er einen Koller.']"
den/einen Koller kriegen,2. etw. nicht lange aushalten,"['Wer es nicht gewöhnt ist, eingesperrt zu sein, bekommt schnell einen Koller (Thüringische Landeszei- tung 18. 3. 2015, 10).']"
die fünfte Kolonne,"politische Gruppe, die im Krieg o. Ä. mit dem Gegner des eigenen Landes zusammenarbeitet","['Die Regierung diffamierte die Atomkraft- gegner als fünfte Kolonne Moskaus (taz 16. 10. 2012, 12).']"
ein Koloss auf tönernen Füßen,"etw. sehr Großes, das jeden Augen- blick zusammenzubrechen, zugrunde zu gehen droht","['Kolonialland Koloss auf tönernen Füßen. Wir brauchen nur die Fanfare zu blasen, und alles stürzt ein (Plievier, Stalingrad 216).']"
mit allem Komfort und zurück,"mit allem nur erdenkli- chen Luxus, ganz ausgezeichnet",['Die Jun- gens erlebten zum ersten Mal ein typisch französisches Essen mit allem Komfort und zurück .']
"wies kommt, so kommts; wies kommt, so wirds genommen/gefressen","wie es vom Schicksal bestimmt ist, so tritt es auch ein/nehmen wir es hin; da- mit müssen wir uns abfinden","['Ich habe arm angefangen, ich war später ein rei- cher Mann, ich bin jetzt wieder ein armer Teufel, es spielt keine Rolle. Wies kommt, wirds gefressen (Erich Kästner, Fabian 88).']"
"erstens kommt es anders, und zweitens als man denkt",etwas ereignet sich anders als erwartet,"['Eigentlich soll- ten wir schon seit gestern in Spanien in der Sonne liegen, aber erstens kommt es anders, und zweitens als man denkt. Erstens kommt es anders, und zweitens als man denkt, pflegt Herr Warga zu sa- gen, bevor er eines seiner Kinder hinter die Ohren schlägt (Ossowski, Flatter 52).']"
"komm ich heut nicht, komm ich morgen",ich lasse mir Zeit (als spöttischer Kommentar angesichts jmds. Säumigkeit),"[' dass jeder, der sich bei uns engagiert, auch Verbindungen und Verpflichtungen eingeht. Komm ich heut nicht, komm ich morgen geht bei uns nicht (www.cv- paderborn.de).']"
"spät kommt Ihr, doch Ihr kommt","Floskel, mit der man jmdm. zu verstehen gibt, dass man ihm seine Un- pünktlichkeit nachsieht, weil man erleich- tert und froh ist, dass er überhaupt ge- kommen ist.",nan
das durfte  nicht kommen/hätte  nicht kommen dürfen,"es war äußerst unangebracht, das  zu sagen","['Findet ihr Tiere im Käfig nicht auch stinklangweilig? – Also das hätte jetzt nicht kommen dür- fen. Du warst es doch, der unbedingt in den Zoo wollte!']"
wenns hoch kommt,"im äußersten Fall, höchstens","['Für den verrosteten Wagen kriegt er, wenns hoch kommt, 600 Euro.', 'Er stiftet, wenns hoch kommt, den Zucker und das Gefäß für die Bowle (Spoerl, Maulkorb 94).']"
auf jmdn. nichts kommen lassen,jmdm. nichts Schlechtes nachsagen lassen,"['Der Trainer lässt auf seine Spieler nichts kommen. Du wirst sehen, dass er auf sei- nen Sohn nichts kommen lässt.']"
das kommt davon,das ist die Folge (dei- ner Handlungsweise o. Ä.),"['Jetzt hast du Schnupfen und Fieber – das kommt da- von, wenn man bei der Kälte ohne Mantel rumläuft!']"
zu etw. kommen wie die Jungfrau zum Kind,"ohne eigenes Zutun, durch reinen Zufall zu etw. kommen","['Er kam zu dem Posten wie die Jungfrau zum Kind, wie er selbst sagt (Thüringische Landeszeitung 13. 1. 2017, 15).']"
im Kommen sein,"modern, popu- lär werden","['Bärte bei Männern sind wei- ter im Kommen (Freie Presse 9. 1. 2020, 9). Tennis ist zum Beispiel wieder im Kommen (Standard 7. 1. 2020, 1).']"
"erst komme ich , und dann kommst du noch lange nicht","Redensart, mit der man jmdn. darauf hinweist, dass man vor ihm an der Reihe ist, im Rang über ihm steht.",nan
wieder zu sich kommen,das Bewusstsein wiedererlangen,['An den Unfall hatte sie keine Erinnerung. Sie war erst nach der Operation im Aufwachraum wieder zu sich gekommen.']
"auf achtzig kommen, an die richtige Adresse kommen  Kommentar überflüssig",darüber braucht man kein Wort zu verlieren,"['In Zürich gibts doch tatsäch- lich ein Tanzverbot für Karfreitag und Ostermontag. Wer da was veranstaltet, bekommt die Polizei ins Haus. Kommen- tar überflüssig .']"
Kommissar Zufall,"Zufall, der zur Aufklärung eines Verbrechens führt","['Wahrscheinlich könne nur Kommissar Zufall den Tod des Mädchens klären helfen (MM 13./14. 2. 1988, 12). Kom- missar Zufall löste Österreichs größtes Kriminalrätsel (rhein-zeitung.de, 6. 10. 1997).']"
etw. in Kommission geben/ nehmen/haben,"etw. in Auftrag geben/nehmen/haben, damit es für den Besitzer verkauft werden kann","['Der Juwe- lier zögerte, den Ring in Kommission zu nehmen. geben Sie mir doch mal eine Uhr in Kommission, ich werde für Sie eintauschen, was Sie wollen (Augus- tin, Kopf 127).']"
Komödie spielen,etw. vortäuschen,"['Spiel keine Komödie, du bist gar nicht krank.', 'Hatte ich nicht vor ihnen allen und vor mir selber stets nur brillante Ko- mödien gespielt? (Thieß, Frühling 111).']"
nach Komplimenten fischen,"darauf aus sein,  ein Kompliment zu erhalten","['Was soll denn diese ständige Selbstkritik, fischst du nach Komplimen- ten?']"
ein Komplott schmieden,heim- lich  einen Anschlag vorbe- reiten,"['Alle dachten, wir gehörten zur Op- position und wollten ein Komplott schmieden (Nossack, Begegnung 8).']"
mit etw. in Konflikt geraten/ kommen,gegen etw. verstoßen,"['Das Ehe- paar Kroon genoss keinen guten Ruf, ob- wohl es bisher mit dem Gesetz nie in Konflikt gekommen war (Mostar, Un- schuldig 99).']"
"mit jmdm., etw. konform gehen","mit jmdm., etw. völlig übereinstimmen","['In dieser Frage gehe ich mit Ihnen ganz und gar nicht konform. eine Meinung, die durchaus mit dem Neuen Testa- ment konform geht (Meier, Paracelsus 173).']"
ein Königreich für ,"ich gebe, biete alles für ...","['Die Wertungen reichen von ein Königreich für dieses Bier bis zu nach dem dritten Glas lässt es sich ertragen (Wirtschaftswoche 7. 9. 2000, 154).']"
für kleine Königstiger,zur Toilette,"['Der Portier war gerade für kleine Königstiger, als das Paket abgelie- fert wurde.', 'Ich muss mal für kleine Kö- nigstiger. Die vier Tassen Kaffee wollen an die Luft (Mirador, Kurz und schmerz- voll 142).']"
können vor Lachen,"sonst gern, aber in dieser Situation ist es mir nicht möglich","['Pump mir doch mal 50 Euro! – Können vor Lachen.', 'Ich fahr jetzt Willst du mit? — Können vor La- chen (Kuby, Sieg 401).']"
mit jmdm.  können,mit jmdm. im persönlichen Umgang gut zurechtkom- men,"['Die beiden können partout nicht miteinander.', 'Am besten seien schließ- lich die gefahren, die gut mit ihren Ab- teilungsleitern konnten (Spiegel 9, 1979, 49).']"
mir/uns kann keiner,mir/uns usw. kann niemand etw. vormachen oder anhaben,"['Solange du bei uns vorne rechts gestanden hast, konnte uns keiner (Grass, Hundejahre 531). Klaus kannte den Wechselkurs wie den Tabellenstand der Oberliga ; dem konnte keiner (Kant, Impressum 183).']"
du kannst/der kann mich/mir,"Ausdruck der schroffen Ablehnung, der gezielten Nichtachtung","['Ich denke gar nicht daran, deinen Mist aufzuräumen – du kannst mich mal. Das 21-jährige amerikanische Wunder- kind lehnte eine Interview-Anfrage mit dem schnöden Hinweis Die können mich mal . . . ab (NZZ 10. 4. 1997).']"
"gegen jmdn., etw. nicht anstinken kön- nen, sich etw. am Arsch abfingern kön- nen   die Konsequenz/ die Konsequenzen ziehen","einen gemach- ten Fehler einsehen und folgerichtig rea- gieren; aus den negativen Auswirkungen einer Sache lernen, wie man sich zukünf- tig verhalten soll","['Der Minister zog die Konsequenzen aus der Schmiergeldaffäre und trat zurück.', 'Ich bin bereit, Herr Oberst, jede erforderliche Konsequenz aus meinem Verhalten zu ziehen (Kirst, 08/15, 619).']"
und Konsorten,"und die hier sonst noch zu Nennenden, das sonst noch zu Nennende","['Sie verzichteten auf die bescheidenen Tantiemen von Spotify und Konsorten und setzten auf die guten alten Tonträger (Berner Zeitung 28. 2. 2020, 25). wie der ökologische Landbau gefördert werden kann oder auf welchem Weg Bauern, die sich auch der Vielfalt von Hase, Igel und Konsorten widmen, unterstützt werden können (taz 5. 10. 2001, 22).']"
"auf jmds. Konto, auf das Konto ei- ner Sache gehen/kommen","jmdm., einer Sache zuzuschreiben sein","['Etwa 4 % der weltweiten Treibhausgasemissionen gehen laut dem Umweltministerium auf das Konto der Digitalisierung (NZZ 3. 3. 2020, 25). Diese Attacken gingen fast aus- schließlich auf das Konto von Rechts- extremisten (taz 28. 3. 2020, 6).']"
etw. auf dem Konto haben,"durch sein Verhalten, Handeln etw. verschuldet haben",['Die Bande hatte mehrere Raub- überfälle im Ruhrgebiet auf dem Konto.']
Kontra geben,heftig widersprechen,"['Seit 2016 wurden 859 Stellen abgebaut, gesucht wer- den laut Stellenausschreibung Menschen, die ihre Meinung vertreten, für ihre Ideen kämpfen und uns auch mal Kontra geben (Kölner Stadt-Anzeiger 3.3. 2020, 26). Mein Vater, einer der schlagfertigsten Men- schen, die mir je begegnet sind, fand es gut, wenn man ihm Kontra gab, auch zu Hause (Spiegel 1. 2. 2020, 54).']"
jmdm. das/sein Konzept verder- ben,"jmds. Pläne, Vorhaben durch- kreuzen","['Die Spieler haben Fehler ge- macht, die einfach nicht passieren dür- fen Das hat uns das Konzept verdorben (rhein-zeitung.de, 20. 8. 2000). Ein Blick auf jene ungezählten Dulderinnen würde dem Herrn Professor sein poetisch ge- färbtes Gemälde arg zerstört und sein Konzept verdorben haben (www. gutenberg.aol.de).']"
jmdn. aus dem Konzept bringen,"jmdn. bei einer Tätigkeit, beim Reden verwirren","['Sie versuchten, ihn durch Zwischenrufe aus dem Konzept zu bringen.', 'Und dann war es Almaidas Herzlichkeit, die mich ein wenig aus dem Konzept brachte (Thieß, Frühling 167).']"
aus dem Konzept kommen/geraten,"bei einer Tätigkeit, beim Reden durcheinan- derkommen, den gedanklichen Zusam- menhang verlieren","['Wegen der Unruhe im Saal geriet die Rednerin völlig aus dem Konzept.', 'Ein so kennerischer Beob- achter freilich bemerkte, dass Dr. Geyer zweimal aus dem Konzept kam (Feucht- wanger, Erfolg 124).']"
jmdm. nicht ins/in sein Konzept passen,"mit jmds. Plänen, Absichten nicht verein- bar sein","['Es passte ihm nicht ins Konzept, er wusste nicht, wie er mit dieser Bedro- hung umgehen sollte (SZ 21. 3. 2020, 3). Dem Finanzminister passt der öffentliche Streit der Notenbanker nicht ins Konzept (SZ 13. 10. 2012, 27).']"
"Köpfchen, Köpfchen!","Verstand, Ideen muss man haben!","['Wie hast du denn das geschafft? – Köpfchen, Köpfchen, mein Lieber!']"
jmdm. wächst der Kopf durch die Haare,jmd. bekommt eine Glatze,"['Ich brauche eine warme Mütze für den Winter, mir wächst langsam der Kopf durch die Haare.']"
jmdm. schwirrt der Kopf,jmd. ist aufgrund einer Fülle von Eindrücken o. Ä. völlig verwirrt,"['Ihr schwirrte der Kopf vor lauter Paragrafen und Bestimmungen, die der Anwalt zitiert hatte.']"
