Redewendung,Bedeutung,Beispiel
bei etwas Mäuschen spielen /sein mögen,etwas als heimlicher Beobachter miterleben wollen,"Wenn die Kanzlerin sich mit dem russischen Botschafter trifft, möchte mancher Journalist gerne Mäuschen sein. Wer darob an einen Boom für die Sportart glauben wollte, hätte am Donnerstag in einem Kölner Hotel bei der Gesellschafterversammlung der Deutschen Eishockey-Liga Mäuschen spielen sollen. Wer möchte nicht manchmal Mäuschen spielen bei Vorstellungsgesprächen oder beim Party-Small-Talk?."
jemand würde am liebsten in ein Mauseloch kriechen,"jemand schämt, ängstigt sich sehr","Der ertappte Störenfried sieht aus, als würde er am liebsten in ein Mauseloch kriechen."
dass dich das Mäuslein beiß!,scherzhafte Drohung,"Hast du die ganzen Gutsele aufgefuttert? Dass dich das Mäuslein beiß, du Schlingel!"
mehr oder minder/weniger,"fast ohne Ausnahme, im Großen und Ganzen",Mehr oder weniger waren alle derselben Meinung. Das Zusammentreffen war mehr oder minder zufällig.
nicht mehr und nicht weniger,nichts anderes als dieses,"Das war eine grobe Fahrlässigkeit, nicht mehr und nicht weniger. 1 feierlich, schmecken, sein, tot, wenig, werden."
"jemanden, etwas meiden wie die Pest","jemandem, einer Sache unbedingt zu entgehen suchen","Zwei Tage später war die Wolke auch über Österreich, und vordem harmlose Schwammerln wurden gemieden wie die Pest."
drei/sieben Meilen gegen den Wind,(besonders von Gerüchen) sehr stark und aufdringlich,"Wie kann man denn so was nur essen? Das stinkt ja schon 5 Meilen gegen den Wind, wenn man es kocht. sündig."
Mein und Dein verwechseln/nicht unterscheiden können,sich leicht an fremdem Eigentum vergreifen,"Wie kommst du denn zu der teuren Uhr? Du hast wohl Mein und Dein verwechselt! Von dem alten Herrn im ersten Stock hätte auch niemand geglaubt, dass er Mein und Dein nicht unterscheiden kann. Gott, klein, Seele, Wenigkeit."
Meister Lampe,Bezeichnung für den Hasen in Fabeln und Märchen,Ganz verschreckt saß ein kleiner Meister Lampe hinter der Hecke. Als Solisten wie auf Dürers Bild trifft man Meister Lampe selten an Auf deutschen Wiesen und Feldern hoppelten 2006 pro Quadratkilometer 15 bis 16 Hasen herum.
Meister Petz,Bezeichnung für den Bären in Fabeln und Märchen,"Meister Petz kann sehr ungemütlich werden, wenn man ihn reizt!"
Meister Grimbart,Bezeichnung für den Dachs in Fabeln und Märchen,Die Kamera folgt den Dachsen in ihrem weitläufigen Höhlensystem tief unter der Erde und liefert einmalige Bilder aus der Kinderstube von Meister Grimbart.
"früh übt sich, was/wer ein Meister werden will","wer auf einem Gebiet Hervorragendes leisten möchte, muss sich schon in jungen Jahren entsprechend betätigen","Auf dem Programm steht auch ein Rockkonzert für Kinder, denn früh übt sich, wer ein Meister des Headbanging, Stagediving oder gar des Stromruders werden möchte."
es ist noch kein Meister vom Himmel gefallen,"man muss erst lernen und üben, bevor man etwas gut kann","Üben, üben und nochmals üben, denn ohne Fleiß bekanntlich kein Preis und es ist noch kein Meister vom Himmel gefallen."
in jemandem seinen Meister finden,"auf jemanden treffen, der einem überlegen ist","Der Feldwebel galt als äußerst trinkfest, aber in dem neuen Stabsarzt hatte er seinen Meister gefunden. Übung."
was/nichts zu melden haben,"etwas/nichts beeinflussen, entscheiden, durchsetzen können","Wenn ein Hersteller die Lieferung verweigert, hat der Händler nichts zu melden. Also habe die Verwaltung in dieser Sache etwas zu melden. Wort."
jede Menge,sehr viel,Die neue Parteispitze hat jede Menge Ideen vorgebracht. Das Internet bietet jede Menge Platz für Bilder.
die schwere Menge,"in sehr großer Menge, Anzahl",Solche Beispiele gibt es die schwere Menge; sie sind charakteristisch für die ganze Entwicklungsgeschichte des Staates.
"der Mensch denkt, Gott lenkt",menschliches Planen kann nicht vollkommen sein,"Verstehen Sie, der Mensch denkt, Gott lenkt. Es könnte sein, dass Sie und ich etwas einfach nicht wissen."
der Mensch lebt nicht vom Brot allein,die Menschen haben nicht nur materielle Bedürfnisse.,
Mensch Meier!,Ausruf des Erstaunens,"Mensch Meier, da hat der doch aus zwanzig Metern genau in den Torwinkel getroffen!"
kein Mensch,niemand,"Kein Mensch war zu Hause. Nicht Hanna, und vielleicht kein Mensch, hätte mich verstanden."
auch nur ein Mensch sein,"auch Fehler machen, sich irren können","Erwartet keine Wunder von mir, ich bin auch nur ein Mensch. Bei aller Liebe. Man ist auch nur ein Mensch."
nur ein halber Mensch sein,nicht im Vollbesitz seiner Kräfte sein,Ohne Frühstück bin ich nur ein halber Mensch.
kein Mensch mehr sein,"völlig erschöpft, am Ende sein",Zehn Stunden Akkordarbeit – da bist du hinterher kein Mensch mehr!
ein neuer/anderer Mensch werden,2. sich gründlich erholen,In den zwei Wochen hier im Gebirge bin ich ein neuer Mensch geworden.
Mensch sein,"ganz so sein, wie man als Mensch mit seinen Schwächen und Vorzügen nun einmal ist; sich keinem Zwang unterwerfen müssen, sondern natürlich sein","Bei 1860 darf ich endlich wieder Mensch sein. Ich weiß, dass ich mir Fehler leisten kann, ohne sofort Angst haben zu müssen, aus der Mannschaft zu fliegen. Doch im Sommer, an lauen Abenden im Garten, am Strand, auf dem Balkon dürfen wir wieder Mensch sein, beinahe wie am Anfang."
ein Mensch aus/von Fleisch und Blut,"ein wirklicher, lebendiger Mensch; ein lebensecht dargestellter od. geschilderter Mensch","Was schaust du mich an, als sei ich ein Gespenst? Ich bin ein Mensch aus Fleisch und Blut! In seinen Theaterstücken agieren Menschen von Fleisch und Blut, jeder Dialog ist realistisch, unverkrampft und überzeugend."
ein Mensch wie du und ich,"ein ganz normaler, durchschnittlicher Mensch","Sie ist keine überspannte Diva, sie ist ein Mensch wie du und ich. Lass dich von seinen vielen Titeln nicht beeindrucken, er ist ein Mensch wie du und ich."
wie der erste Mensch,"sehr unbeholfen, ungeschickt","Kinder, stellt euch doch nicht an wie die ersten Menschen! Er ist ein herzensguter Kerl, aber manchmal benimmt er sich wie der erste Mensch."
wie der letzte Mensch,"in ganz übler, schlechter Weise",Dieser Wolzogen sah aus und benahm sich wie der letzte Mensch.
des Menschen Wille ist sein Himmelreich,"wenn jemand etwas unbedingt tun will, soll man ihn nicht daran hindern","Der Umgang mit dem Leben, dem Tod und auch den Leichen ist am Anfang des 21. Jahrhunderts weiter auf dem Weg, zur Privatangelegenheit zu werden Wer seine Asche nach dem Ableben zu einem Diamanten pressen lassen möchte, kann das einfach tun. Des Menschen Wille ist sein Himmelreich."
von Mensch zu Mensch,"vertraulich, privat",Wir sollten uns einmal von Mensch zu Mensch unterhalten. Von Mensch zu Mensch verständigen wir uns gleich.
durch/aus/von Menschenhand,"durch, aus, von (handelnden, gestaltenden) Menschen","Die Steinpyramide hingegen wurde nicht durch Verwitterung, sondern durch Menschenhand geschaffen. Was auf den ersten Blick wie Urwald wirken mag, entpuppt sich bei genauerem Hinsehen oft als Biotop aus Menschenhand. Dabei steht fest, dass zumindest ein Teil der Katastrophe von Menschenhand gemacht ist Flüsse, darunter die Elbe, wurden eingedeicht und so rücksichtslos zu Schifffahrtsstraßen ausgebaut, dass natürliche Überschwemmungsgebiete verloren gegangen sind."
in Menschenhand,"in der Macht, Verfügungsgewalt, Obhut des Menschen","Überall dort, wo es um Menschenwerk geht, kann etwas versagen. Die letzte Perfektion und Sicherheit liegt nicht in Menschenhand. Von dieser Nashorn-Unterart gibt es nur noch vier Exemplare in freier Wildbahn und fünf zuchtfähige Tiere in Menschenhand."
alles/das Menschenmögliche tun,"alles tun, was irgend möglich ist","Wir müssen alles Menschenmögliche tun, um die humanitäre Notlage zu lindern und die politische Krise zu lösen. Wir müssen das Menschenmögliche tun, um das Artensterben zu stoppen."
keine seele,niemand,"Hier lebt kilometerweit keine Menschenseele. So weit das Auge reicht – keine Straße, kein Strommast, keine Menschenseele."
jemanden auf die Menschheit loslassen,"jemanden ins Berufsleben, die Verantwortung, die Öffentlichkeit entlassen","Bevor wir Sie, meine Damen und Herren, als frisch gebackene Steuerfahnder auf die Menschheit loslassen, möchte ich noch einige Worte an Sie richten."
ein menschliches Rühren,"den Drang verspüren, Darm und/oder Blase zu entleeren","Er fühlte in zunehmendem Maße ein menschliches Rühren, wollte aber die angenehme Unterhaltung nicht unterbrechen. Einer von ihnen musste seinen Arbeitsplatz kurz verlassen – ein menschliches Rühren war der Grund."
nach menschlichem Ermessen,aller Wahrscheinlichkeit nach; soweit man es beurteilen kann,Nach menschlichem Ermessen dürfte jetzt nichts mehr schiefgehen.
jemandem ist etwas Menschliches begegnet/passiert,"jemand hat ungewollt eine Blähung abgehen lassen, seine Hosen vollgemacht",Ausgerechnet dem Geburtstagskind ist auf der Party etwas Menschliches passiert.
nichts Menschliches ist jemandem fremd,1. jemand hat Verständnis für die Schwächen anderer,"Sagen Sie mir ganz ungehemmt, was Sie bedrückt – nichts Menschliches ist mir fremd."
nichts Menschliches ist jemandem fremd,2. jemand ist nicht frei von menschlichen Schwächen,Einem guten Tropfen war er nie abgeneigt; nichts Menschliches war ihm fremd.
die Messe ist gelesen,"die Sache ist erledigt, etwas Angestrebtes oder Befürchtetes ist definitiv eingetreten","Seinen Rücktritt hat sich der Verteidigungsminister a. D. redlich erarbeitet. Nun ist die Messe gelesen. Als die Gastgeber in der zweiten Hälfte von 19 14 auf 25 15 davonzogen, war die Messe gelesen."
die Messe ist noch nicht gelesen,die letzte Entscheidung ist noch nicht gefallen,Bei den Unigebühren wird auch nach dem Verfassungsurteil die letzte Messe noch nicht gelesen sein.
jemandem geht das Messer in der Tasche/im Sack auf,jemand gerät über etwas in Zorn,Beim Lesen dieses Berichts geht mir mal wieder das Messer in der Tasche auf. Dort ging so manchem das Messer im Sack auf vor Wut.
jemandem sitzt das Messer an der Kehle,jemand ist in höchster Bedrängnis,"Morgen sind wieder zwei Wechsel fällig; wenn das Darlehen nicht gewährt wird, sitzt ihm das Messer an der Kehle."
jemandem das Messer an die Kehle setzen,"jemanden unter Druck setzen, zu einem bestimmten Tun zwingen",Einer Gruppe von Immobilienvertretern wird das Messer an die Kehle gesetzt. Binnen einer Nacht müssen sie ein Stück wertloses Land verkaufen.
jemandem das Messer in die Hand geben,seinem Gegner selbst die Argumente liefern,Durch ihre Aufrichtigkeit hat sie natürlich ihrer Kontrahentin das Messer in die Hand gegeben.
auf des Messers Schneide stehen,in einer sehr knappen Entscheidung positiv oder negativ ausgehen können,"Wir haben das Spiel gewonnen, aber es stand auf des Messers Schneide. Ob der Misstrauensantrag angenommen wird, steht auf des Messers Schneide."
unters Messer kommen/müssen,operiert werden/operiert werden müssen,"Ich leide unter schrecklichen Magenkrämpfen, werde wohl noch in meinem Alter unters Messer müssen."
jemanden unters Messer nehmen,jemanden operieren,"Wenn es Krebs wäre, dann hätten sie mich sofort unters Messer genommen. Nacht, Selbstmord."
einen Metzgergang machen,einen Weg vergeblich machen,"Zum Rathaus habe ich einen Metzgersgang gemacht, das Bauamt ist über Mittag geschlossen."
lieber warmer Mief als kalter Ozon,"kommentierende Entgegnung, wenn jemand wegen schlechter Luft das Fenster öffnen will.",
"Miene machen, etwas zu tun","sich anschicken, etwas zu tun","Niemand machte Miene, sich zu erheben."
gute Miene zum bösen Spiel machen,"etwas wohl oder übel hinnehmen, sich den Ärger nicht anmerken lassen","Er muss gute Miene zum bösen Spiel machen, doch er hat einen geheimen Plan, mit dessen Hilfe er alles wieder in Ordnung bringen will."
in den Miesen sein,das Bankkonto überzogen haben,Wir sind schon wieder in den Miesen.
in die Miesen kommen,"sich verschulden, sein Bankkonto überziehen","Was Wunder, wenn wir bei diesem Hungerlohn dauernd in die Miesen kommen."
die halbe Miete sein,"von großem Vorteil sein, schon fast zum Erfolg führen","Dass wir als Verein zusammenhalten, ist die halbe Miete für den Erfolg. Ein guter Titel ist die halbe Miete für einen Film."
die Milch der frommen Denkart/Denkungsart,freundliche Gesinnung,"Was ihr uns da vorgeschlagen habt, zeugt auch nicht gerade von der Milch der frommen Denkart."
jemandem wird die Milch sauer,"1. jemand wird verdrießlich, missgelaunt","Wenn man ihn auf seine Vergangenheit anspricht, wird bei ihm die Milch sauer."
jemandem wird die Milch sauer,2. (von weiblichen Personen) jemand trägt einen sehr tiefen Ausschnitt,"Schau mal, die Blonde in dem roten Kleid, der wird auch gleich die Milch sauer!"
nicht viel in die Milch zu brocken haben,"bescheiden leben müssen, arm sein","So was kostet eine Stange Geld. Wenn du nicht viel in die Milch zu brocken hast, kannst du dir das nicht leisten. aussehen, Kuh, Land."
nicht das Mindeste/mindeste,gar nichts,Er versteht aber auch nicht das Mindeste von moderner Finanzpolitik.
nicht im Mindesten/mindesten,überhaupt nicht,Das Gerede der Leute störte sie nicht im Mindesten. Er hat sich nicht im Mindesten geändert.
zum Mindesten/mindesten,wenigstens,Du hättest dich zum Mindesten entschuldigen können!
eine Mine legen,eine Intrige spinnen,"Es reizte sie sehr, für das nächste Familientreffen eine kleine Mine zu legen."
alle Minen springen lassen,alle verfügbaren Mittel einsetzen,"Der Konzern wird alle Minen springen lassen, um sein Ziel zu erreichen. Das war stark. Er ließ wahrhaftig alle Minen springen."
jemanden zur Minna machen,"jemanden grob ausschimpfen, zurechtweisen",Der Franz hat mich vor versammelter Mannschaft richtig zur Minna gemacht.
in Minne,"in Frieden, in gutem Einvernehmen, ohne Streit","Man verzeiht sich, alles in Minne, man lächelt, man scherzt. Wer solches liest, muss eigentlich annehmen, alles sei in Minne verlaufen."
in letzter Minute,gerade noch rechtzeitig,"Ein Münchner konnte sich in letzter Minute von seinem Balkon in der zweiten Etage eines Mehrfamilienhauses retten, bevor dieser abriss. Wie so oft einigten sich Gewerkschaften und Operndirektion in letzter Minute, und die konzertante Aufführung konnte über die Bühne gehen. fünf."
jemandem ein inneres Missionsfest sein,jemandem große Genugtuung bereiten,"Es wird mir ein inneres Missionsfest sein, wenn er endlich die Quittung für sein unverschämtes Verhalten bekommt."
"jemanden, etwas in Misskredit bringen","den guten Ruf, das Ansehen von jemandem, etwas herabsetzen, zerstören",Gezielte Falsch-Informationen sollen die Mitbewerber in Misskredit gebracht haben. Leider hat dieses verantwortungslose Verhalten der Ärzte das Transplantationsverfahren in Misskredit gebracht.
Mist bauen,"Unsinn, einen Fehler machen","Dass die Konzerne im Fall der Dieselaffäre Mist gebaut haben, will niemand in Abrede stellen. Keine schöne Aussicht, einfach enteignet zu werden, weil Banker und Politiker Mist gebaut haben."
mit ohne,ohne,"Mein Würstchen bitte mit ohne Senf. Abstand, Ach, Bedacht, Bezug, Bezugnahme, Bosheit, Engelszungen, Handkuss, Mal, Todesverachtung, Volldampf, Vorbedacht, Wille, Windeseile, Wort, Wuppdich, Zeit, Zukunft."
etwas mitgehen lassen,etwas stehlen,Der Täter hatte mehrere Werkzeuge und Gartengeräte mitgehen lassen. Hin und wieder habe sie eine Büchse Sardinen oder Thunfisch mitgehen lassen.
"mitgegangen, mitgehangen","wer bei einem Vergehen mit beteiligt war, der muss auch die Folgen mit tragen","Es ist egal, wer der Anstifter war – mitge gangen, mitgehangen! Ich habe mir auch schon oft sagen müssen Mitgegangen, mitgefangen, mitgehangen – und das sollten auch Sie!."
"jemanden, etwas in Mitleidenschaft ziehen","jemanden bei etwas, was ihn nicht unmittelbar betrifft, mit beeinträchtigen, schädigen, etwas mit etwas anderem zugleich beschädigen","Bei der Aktion dürfen keine unbeteiligten Zuschauer in Mitleidenschaft gezogen werden. Im Unterschied zum Sonnenbrand, bei dem nur die Haut geschädigt wird, ist beim Sonnenstich der ganze Organismus in Mitleidenschaft gezogen."
jemandem von/über etwas Mitteilung machen,jemandem etwas förmlich mitteilen,Wann hat man Ihnen von dem Vorfall Mitteilung gemacht?
Mittel zum Zweck sein,"jemandem nur dazu dienen, etwas Bestimmtes zu erreichen","Die Darstellung der Gewalt ist in diesem Film keineswegs nur Mittel zum Zweck, sie wird zum Selbstzweck. Seine Ehe mit der Filmschauspielerin war für ihn nur Mittel zum Zweck."
jemandem die Möbel gerade rücken,jemanden heftig zurechtweisen; jemanden verprügeln,Diesem unverschämten Kerl werden wir heute Abend mal die Möbel gerade rücken!
etwas mobil machen,"etwas aktivieren, einsetzen, mobilisieren",Die Läufer mach ten die letzten Reserven mobil. Der weltberühmte Forscher macht für den kleinen Polizisten seine besten Beziehungen mobil.
ein möblierter Herr,"ein Mann, der ein möbliertes Zimmer gemietet hat",Du kannst doch zunächst als möblierter Herr wohnen und dir später in Ruhe eine Wohnung suchen.
Modell stehen/sitzen,einem Künstler als Modell dienen,"Als jedoch eine bleiche Dame im Kurort auftaucht, erwacht Rubek zu neuem Leben Es ist Irene, die ihm einst für seine Erfolgsskulptur Modell gestanden hatte. Wenn du mir einmal so Modell sitzen musst, fängst du gewiss an zu maulen."
ist es denn/ist denn das die Möglichkeit!,"Ausruf der Überraschung, des Unwillens",Ist denn das die Möglichkeit – mein alter Freund Charlie! Ist es denn die Möglichkeit! Geht aus dem Haus und lässt alle Fenster offen!
der Letzte der Mohikaner/der letzte Mohikaner,"der/das Letzte, der/das von vielen übrig geblieben ist","Alle seine Kollegen waren in die Gewerkschaft eingetreten, er war der Letzte der Mohikaner. Wir haben jetzt fast alle Rosenstöcke zurückgeschnitten, das hier ist der letzte Mohikaner."
"der Mohr hat seine Schuldigkeit getan, der Mohr kann gehen","jemand hat alles getan, was zu tun war, und fühlt sich jetzt, nachdem er nicht mehr gebraucht wird, ungerecht behandelt und überflüssig.",
einen Mohren weiß waschen,etwas Unmögliches erreichen (bes. einen offenkundig Schuldigen als unschuldig erscheinen lassen),"Die Zeitung versucht, einen Mohren weiß zu waschen, wenn sie die Veruntreuungen des Parteivorsitzenden als Kavaliersdelikt hinstellen will."
auf Moll gestimmt sein,"niedergedrückt, traurig sein",In den Tagen nach dem schrecklichen Unglück waren alle unsere Gedanken auf Moll gestimmt.
jeden Moment,"schon im nächsten Augenblick, sofort","Die Bombe kann jeden Moment explodieren. Er schaut überhaupt aus, als könnte er jeden Moment losheulen."
einen lichten Moment haben,1. vorübergehend bei klarem Verstand sein,"Versuchen Sie, ihn zum Sprechen zu bringen, wenn er einen lichten Moment hat."
einen lichten Moment haben,2. einen guten Einfall haben,"Als du diese Frau geheiratet hast, hattest du den einzigen lichten Moment deines Lebens."
den Mond anbellen,"heftig schimpfen, ohne damit etwas zu erreichen","Lass ihn den Mond anbellen, er fühlt sich danach wohler."
auf/hinter dem Mond leben,"nicht wissen, was vorgeht","Weshalb die Straßen geflaggt sind? Du lebst wohl hinter dem Mond! Also der lebt wirklich auf dem Mond; fragt der mich doch, wer die Fußballweltmeisterschaft gewonnen hat!"
hinter dem Mond zu Hause/daheim sein,rückständig sein,"Die Zeitung behauptet, dass unsere Ärzte in vielen Dingen hinter dem Mond zu Hause seien. Was weiß die denn schon von Mode, die ist doch hinter dem Mond daheim!"
etwas in den Mond schreiben,etwas als verloren betrachten,Die Leistungszulage können viele dieses Jahr in den Mond schreiben.
nach dem Mond gehen,(von Uhren) ungenau gehen,"Dieser Wecker geht schon seit Tagen nach dem Mond, der muss zur Reparatur."
nach dem Mond greifen,etwas Unmögliches verwirklichen wollen,"Er schätzte die Situation völlig falsch ein; versuchte, nach dem Mond zu greifen und hatte am Ende das Nachsehen."
vom Mond kommen/gefallen sein,"weltfremd sein, nicht Bescheid wissen","Der neue Vertriebsleiter machte einen Eindruck, als käme er vom Mond. Du weißt nicht, wer die Beatles waren? Du bist wohl vom Mond gefallen!"
Montezumas Rache,Durchfall,Am dritten Tag in Mexiko hatte Montezumas Rache die ganze Familie erwischt.
ohne Moos nichts/nix los,"wer kein oder zu wenig Geld hat, dessen Wünsche bleiben unerfüllt","Ohne Moos nix los – wer Präsident der Vereinigten Staaten werden will, braucht Geld, sehr viel Geld."
wie der Mops im Haferstroh/Paletot,"munter, vergnügt","Er spazierte wie der Mops im Paletot durch den Park, ohne auch nur einmal an die Firma zu denken. Lebe glücklich, lebe froh, wie der Mops im Haferstroh."
Moral predigen,"in aufdringlicher Weise jemanden zu anständigem, moralischem Verhalten auffordern","Auch kommt es in der italienischen Öffentlichkeit vielfach nicht gut an, von einer jungen Deutschen Moral gepredigt zu bekommen."
einen/den Moralischen haben/kriegen,"(bes. nach Ausschweifungen) Gewissensbisse haben/bekommen, Reue empfinden",Ich hatte gestern auch den Moralischen. Nach Ephedrin kriegt man manchmal einen Moralischen.
das ist Mord!,"das ist unzumutbar, gefährlich, entsetzlich","Bei der Hitze den Berg raufren nen – das ist ja der reinste Mord! Nur die erste Woche, als ich ganz allein war, das war Mord."
morgen ist auch noch ein Tag,für heute habe ich/hast du usw. genug gearbeitet,"Jetzt bügele ich die Hemden nicht mehr, morgen ist auch noch ein Tag."
guten Morgen!,Grußformel,"Guten Morgen, Kinder! Habt ihr gut geschlafen?"
Morgenluft wittern,"die Möglichkeit sehen, einen Vorteil zu erlangen, aus einer ungünstigen Lage herauszukommen","Die Anleger wittern Morgenluft Die Aktie machte einen Sprung von gut neun Prozent. Wenn sich die wirtschaftliche Lage nicht bessert, müsste die Opposition eigentlich Morgenluft wittern."
Morgenstund hat Gold im Mund,"am Morgen lässt es sich gut arbeiten; wer früh mit der Arbeit anfängt, erreicht viel.",
Morgenstund hat Blei im Hintern /Arsch,"am frühen Morgen findet man oft nur schwer aus dem Bett, fällt das Aufstehen nicht leicht.",
jemanden Moritz lehren,jemanden streng zurechtweisen,"Lass das Mädchen in Ruhe, sonst werd ich dich Moritz lehren!"
Morpheus’ Arme,ruhiger Schlaf,Nach der Hektik des Tages sehnte sie sich nach Morpheus’ Armen. Endlich befreit von den quälenden Sorgen ruhte sie friedlich in Morpheus’ Armen. In seliger Erschöpfung sank sie aus seinen in Morpheus’ Arme.
in etwas sind die Motten gekommen,"etwas kommt nicht mehr voran, ist nicht mehr so schön, so gut, wie es war","In die Steuerreform sind mittlerweile auch die Motten hineingekommen, und von der Reform des Strafvollzugs redet schon lange niemand mehr. Ich glaube, in unsere Freundschaft sind mit der Zeit die Motten gekommen."
du kriegst die Motten!,"Ausruf der Überraschung, Bestürzung","Ach, du kriegst die Motten! Der Tank ist leer, und weit und breit ist keine Tankstelle in Sicht! anziehen, herumfliegen."
aus der Mottenkiste stammen; in die Mottenkiste gehören,"völlig veraltet, unzeitgemäß sein","Seine Melodien stammen aus der Mottenkiste, seine Texte sind schwachsinnig, aber er kriegt eine goldene Schallplatte nach der anderen. Ihre Vorstellungen von Unternehmensführung gehören in die Mottenkiste."
eine/die Mücke machen,"sich davonmachen, verschwinden","Versprechen uns großmäulig den Kran, und dann machten sie die Mücke."
aus einer Mücke einen Elefanten machen,"aus einer unbedeutenden Kleinigkeit etwas Wichtiges, Bedeutendes machen; etwas Unbedeutendes aufbauschen, dramatisieren","Sie machen aus einer Mücke einen Elefanten. Ein paar Kinder machen ein Lagerfeuer, und schon heißt es, dass die halbe Stadt brennt. angeben, Fliege, Geduld."
müde sein wie ein Hund,sehr müde sein,"Ich war müde wie ein Hund und wollte nichts als schlafen, schlafen, schlafen."
"jemandes, einer Sache/jemanden, etwas müde sein/werden","jemandes, einer Sache überdrüssig sein/werden","Fee, der Diskurse müde, setzte sich auf die Ottomane. Sie entzückte mich ein paar Tage, dann wurde ich ihrer müde."
"nicht müde werden, etwas zu tun","nicht aufhören, sich nicht davon abbringen lassen, etwas zu tun","Hermann Kesten, der im Laufe der Jahre und Jahrzehnte nicht müde wurde, Heinrich Mann zu rühmen. 1 Euro, Heinrich, Held, Mark."
keine Müdigkeit vorschützen!,keine Ausflüchte!,"Nur keine Müdigkeit vorschützen, sagte Dammers, was sein muss, muss sein."
jemandem geht die Muffe,jemand schlottert vor Angst,"Als ich dann vorgeladen war, ging mir ganz schön die Muffe."
sich Mühe geben,"sich bemühen, anstrengen","Der Schauspieler sprach sehr langsam und gab sich große Mühe, ruhig und konzentriert zu erscheinen. Am meisten hat Vater sich jedes Mal zu Weihnachten Mühe gegeben."
mit Müh und Not,gerade noch,"Mit Mühe und Not hatte sie diesen Verdacht zerstreuen können. Die Semesterprüfung verläuft folgerichtig, ich bestehe mit Mühe und Not."
einen großen Mund/eine große Fresse/ein großes Maul haben/führen,"großsprecherisch sein, angeben","Dann wissen sogar die dreimal klugen Leute, die sonst einen großen Mund haben, nicht mehr viel zu sagen. Ich will, dass die Leute sehen, der Typ aus der Eckkneipe in Steglitz hats auch geschafft. Der hat ’ne große Fresse gehabt und auch mal danebengehauen. Aber der hat sein Ding gemacht. Denn Frauen suchen sich immer bewusster jene Männchen aus, die mehr als Muckis und ein großes Maul haben."
du hast wohl deinen Mund zu Hause gelassen,du bist aber sehr schweigsam.,
Mund und Nase aufreißen/aufsperren,sehr überrascht sein.,
den Mund/das Maul aufsperren,sehr erstaunt sein,"Die Nachbarn sperrten das Maul auf, als sie mit ihrem neuen Mercedes vorfuhr."
den Mund/das Maul aufreißen/voll nehmen,großsprecherisch sein,"Das haben wir gern, erst das Maul aufreißen und dann nichts leisten! An Ihrer Stelle würde ich den Mund nicht so voll nehmen."
den Mund auf dem rechten Fleck haben,"schlagfertig, beredt sein",Ein guter Confe´rencier muss den Mund auf dem rechten Fleck haben.
den Mund/das Maul aufmachen/auftun,"etwas sagen, sich zu etwas äußern","Und wie man sieht, wer den Mund aufmacht, um solche Missstände zu beseitigen, kann verlieren. Wenn sie das Maul aufmacht, berlinert sie."
reinen Mund halten,ein einem anvertrautes Geheimnis für sich behalten,"Sein Freund hatte reinen Mund gehalten, auf ihn war Verlass."
einen schiefen Mund/ein schiefes Maul ziehen,"unzufrieden, beleidigt sein","Du brauchst gar nicht erst ein schiefes Maul zu ziehen. Ihre Tochter zog einen schiefen Mund, weil sie nicht zur Party durfte."
sich den Mund fusselig/fusslig reden,"durch Reden versuchen, jemanden zu etwas zu bewegen, jemandem etwas einzuprägen","Da redet man sich den Mund fusselig, und hinterher machen doch alle, was sie wollen."
sich den Mund/das Maul verbrennen,sich durch unbedachtes Reden schaden,"Ich habe ein paar Mal probiert, Denkanstöße zu geben und mir dabei den Mund verbrannt."
sich den Mund/das Maul wischen können,leer ausgehen,"Das liebe Patenkind hat ein Fahrrad bekommen, aber die Geschwister können sich wieder einmal den Mund wischen."
jemandem den Mund öffnen,jemanden zum Reden bringen,Weder mit Drohungen noch mit Bestechung konnten sie ihm den Mund öffnen.
jemandem den Mund/das Maul verbieten,"jemandem untersagen, sich zu äußern","Du solltest dem frechen Kerl das Maul verbieten! Der Mann quengelte so lange über das Wetter, bis ihm Sellmann kurzerhand den Mund verbot."
jemandem den Mund wässrig machen,"jemandem Appetit, Lust auf etwas machen","Die Lieben zu Hause lebten auf Karten, und die Briefe ihrer Söhne und Männer machten ihnen den Mund wässerig."
an jemandes Mund hängen,jemandem gebannt zuhören,"Selbst die älteren Kinder hingen an Großvaters Mund, wenn er aus dem großen alten Buch vorlas."
in aller Munde sein,"sehr bekannt, populär","Doch nach wenigen Jahrhunderten war ihr Name in aller Munde, ihr Wort war eine Lehre geworden. Die Sportler, die nach gründlicher Vorbereitung und härtestem Training den Wasalauf gewinnen, sind in aller Munde."
jemandem etwas in den Mund legen,1. jemanden auf eine bestimmte Aussage hinlenken,"Sooft er mir eine Wendung in den Mund legen wollte, mit der ich nicht völlig einverstanden war, protestierte ich."
jemandem etwas in den Mund legen,"2. jemandem etwas zuschreiben, was er nicht gesagt hat","Mit den manipulierten Videos können zum Beispiel Bürger getäuscht werden, wenn Politikern im Wahlkampf Aussagen in den Mund gelegt werden, die sie nicht getätigt haben."
etwas ständig/dauernd im Munde führen,"ein Wort häufig gebrauchen, jemandes Namen ständig im Gespräch erwähnen","Warum sie ständig ihren Dr. Behrens im Munde führen muss, weiß ich auch nicht. Wenn du solche Begriffe dauernd im Munde führst, werden sie leicht zum Klischee."
mit dem Mund vorneweg sein,vorlaut sein,"Das ist typisch für deine Tochter, immer ist sie mit dem Mund vorneweg."
