Idiom,Meaning,Meaning_translated_KR
make your blood boil,to cause extreme anger or frustration,극도의 분노나 좌절을 일으키다
make yourself at home,to feel comfortable and at ease in someone else's home; to act as if you are in your own home,다른 사람의 집에서 편안하고 안락하게 느끼다; 마치 자신의 집인 것처럼 행동하다
make yourself scarce,"to leave or disappear quickly, especially in order to avoid someone or something",특히 누군가 또는 무언가를 피하기 위해 빠르게 떠나다 또는 사라지다.
man and boy,since childhood or for a very long time; throughout one's life or career,어릴 적부터 또는 오랫동안; 일생 동안 또는 경력을 쌓는 동안
man cannot live by bread alone,"Contrary to the popular belief that physical needs are the only requirements for survival, humans also need intellectual, emotional, and spiritual nourishment.","신체적 요구가 생존을 위한 유일한 조건이라는 대중적인 믿음과는 달리, 인간은 또한 지적, 감정적, 그리고 영적 영양을 필요로 한다."
man cave,"a dedicated space or room, typically in a house, where a man can relax and pursue his interests without interference","주로 집에 있는, 남성이 방해받지 않고 편안하게 휴식하고 자신의 관심사를 추구할 수 있는 전용 공간이나 방"
man in blue,a police officer,경찰관
man in the street,"an average or ordinary person, often used to refer to the general public or common people","평범한 사람, 일반 대중이나 보통 사람들을 가리킬 때 자주 사용됨"
man of god,"a religious or spiritual leader, someone who is deeply devoted to their faith or religious beliefs","종교적 또는 영적인 지도者, 자신의 신앙이나 종교적 신념에 깊이 헌신하는 사람"
man of his word,someone who keeps their promises or is trustworthy,약속을 지키거나 믿을 수 있는 사람
man of means,someone who is wealthy or has the resources to achieve their goals,부유하거나 목표를 달성할 수 있는 자원을 가진 사람
man of straw,"a person or entity that appears strong or powerful, but is actually weak or ineffective",겉으로는 강력하거나 힘이 있어 보이지만 실제로는 약하거나 효과적이지 않은 사람 또는 단체
man of the cloth,a clergyman or priest,성직자 또는 사제
man's best friend,"a dog, as dogs are often considered to be loyal and trustworthy companions to humans","개, 개는 종종 인간에게 충성스럽고 믿을 수 있는 동반자로 여겨진다."
man's home is his castle,to emphasize the belief that a person's home is their own private space and they have control over it,"개인의 집은 그 사람의 사적인 공간이며, 그에 대한 통제권이 있다는 신념을 강조하다"
many happy returns,used as a greeting to wish someone a happy birthday or to express goodwill on any celebratory occasion,생일 축하 또는 축하하는 경우에 누군가에게 행복을 기원하기 위해 사용하는 인사말
many moons ago,a long time ago,오래전
man's best friend,referring to a dog as a faithful and reliable companion to humans,개를 인간에게 충실하고 믿을 수 있는 동반자로 언급하다
marching orders,orders or instructions to leave or depart from a place or situation,곳이나 상황에서 떠나거나 출발하라는 명령이나 지시
mark my words,to pay close attention and remember what I am saying because I am confident that it will happen or be true,"내가 말하는 것에 주의 깊게 귀 기울이고 기억해 줘, 왜냐하면 나는 그것이 이루어질 것이고 사실이 될 것이라고 확신하니까."
mark someone's card,to warn or inform someone about someone else's true character or intentions,다른 사람의 진짜 성격이나 의도에 대해 누군가에게 경고하거나 알리다
mark time,to stay in the same place or situation without making progress; to waste time or not achieve anything significant,제자리 걸음하다; 시간을 낭비하거나 중요한 성과를 내지 않다
marked man,someone who is in danger or under threat,위험에 처한 사람 또는 위협받고 있는 사람
marriage of convenience,"a marriage entered into for practical reasons, such as financial or political gain, rather than for love or personal compatibility",사랑이나 개인적인 호환성보다는 재정적 또는 정치적 이익과 같은 실용적인 이유로 맺어진 결혼
"marry in haste, repent at leisure","to make a hasty decision or commitment, especially marriage, and later regret or suffer the consequences","성급한 결정을 내리거나 약속을 하다, 특히 결혼에 대해, 그리고 나중에 후회하거나 그 결과를 겪다"
marry money,to marry someone who is wealthy or has a lot of money; to marry for financial gain,부유한 사람과 결혼하다; 재정적 이익을 위해 결혼하다
match made in heaven,an ideal pairing or union,이상적인 짝이나 결합
mates rates,"discounted or reduced prices offered to friends or acquaintances, often lower than the prices offered to the general public","친구나 지인에게 제공되는 할인된 가격 또는 낮춘 가격으로, 일반 대중에게 제공되는 가격보다 종종 낮습니다."
matter of time,something that is bound to happen eventually; only a question of when it will happen,결국 반드시 일어날 것; 언제 일어날지만 문제일 뿐이다.
mea culpa,an acknowledgement or admission of one's own error or fault,자신의 오류나 잘못을 인정하거나 시인하는 것
mean business,To be serious and determined about something,무언가에 대해 진지하고 결단력이 있다
means to an end,"something that is done in order to achieve a particular result or goal, although it may not be enjoyable or ethical","특정 결과나 목표를 달성하기 위해 수행되는 것으로, 즐겁거나 윤리적이지 않을 수 있는 것"
meat and potatoes,the essential or most important parts of something; the basic or fundamental aspects,무언가의 본질적이거나 가장 중요한 부분; 기본적이거나 근본적인 측면
meat and two veg,"""meat and two veg"" is a vulgar slang phrase that refers to a traditional British meal consisting of a main course of meat with two accompanying vegetables. However, it is often used as a euphemism to refer to male genitalia.","""meat and two veg""는 전통적인 영국식 식사로, 고기와 두 가지 채소로 구성된 메인 코스를 가리키는 욕설 속어입니다. 그러나 종종 남성 생식기를 가리키는 완곡어로 사용되기도 합니다."
mecca for someone or something,a place or destination that is highly revered or sought after by someone or something,누군가 또는 어떤 것에 의해 매우 존경받거나 추구되는 장소 또는 목적지
meet _ waterloo,to meet one's match or downfall; to face a significant defeat or failure,상대를 만나다; 의미 있는 패배나 실패를 겪다
meet one's death,to die,죽다
meet someone halfway,to compromise; to make an effort to reach a mutually satisfactory agreement,타협하다; 상호 만족스러운 합의에 도달하기 위해 노력하다
meet your Waterloo,to experience a devastating defeat or failure,처참한 패배나 실패를 경험하다
meet your maker,to die or encounter death,죽다 또는 죽음을 맞다
meet your match,"To find someone who is just as skilled or capable as oneself, often resulting in a challenging or evenly matched competition or confrontation.","자신과 똑같이 능숙하거나 유능한 사람을 찾는 것, 종종 치열하거나 대등한 경쟁이나 대립을 초래하는 상황."
mellow yellow,"relaxed, calm, and easygoing",편안하고 차분하며 느긋한
memory like a sieve,having a poor or unreliable memory,기억력이 나쁘거나 신뢰할 수 없는 상태
men in suits,"business professionals or corporate executives, often associated with formality or bureaucracy","비즈니스 전문가 또는 기업 경영진, 종종 형식성이나 관료제와 관련되어 있는 사람들"
"men make houses, women make homes","men typically focus on the physical construction or maintenance of a house, while women tend to create a warm and nurturing environment within that house","남성은 일반적으로 집의 물리적 구조나 유지 보수에 집중하는 반면, 여성은 그 집 안에서 따뜻하고 보살피는 환경을 만드는 경향이 있다."
mend fences,to repair or improve a damaged or strained relationship; to reconcile or make peace,손상되거나 긴장이 있는 관계를 수리하거나 개선하다; 화해하거나 평화를 이루다
method to madness,an underlying logic or purpose behind seemingly chaotic or irrational behavior,혼돈스럽거나 비합리적으로 보이는 행동 뒤에 있는 근본적인 논리나 목적
method to my madness,an unconventional or seemingly illogical approach or plan that actually has a hidden purpose or systematic logic,"비전통적이거나 논리적으로 보이지 않는 접근 방식이나 계획, 그러나 실제로는 숨은 목적이나 체계적인 논리가 있는 경우"
middle of the road,"to have a moderate or centrist stance, or to avoid extreme views or positions",중도적 입장을 취하다; 극단적인 견해나 입장을 피하다
miles away,deeply lost in thought or daydreaming; not mentally present or paying attention,깊이 생각에 잠기거나 공상에 잠겨 있는; 정신적으로 존재하지 않거나 주의를 기울이지 않는
miles to go before I sleep,have a long way to go before achieving a goal or reaching a desired outcome,목표를 달성하거나 원하는 결과에 도달하기까지 갈 길이 멀다.
mince pies,To tell lies or deceive someone,거짓말을 하거나 누군가를 속이다
mind over matter,to use the power of one's mind to overcome physical challenges or difficulties,정신의 힘을 사용하여 신체적 도전이나 어려움을 극복하다
mind one's language,Be careful about what you say or how you speak,말이나 이야기하는 방식에 조심하십시오.
mind your own beeswax,to mind your own business; to not interfere in other people's affairs,간섭하지 않고 자기 일에 집중하다; 다른 사람의 일을 간섭하지 않다
mind your own business,to not interfere in someone else's affairs,다른 사람의 일에 간섭하지 않다
minting it,to make a lot of money quickly or easily,빠르고 쉽게 많은 돈을 벌다
minting money,to make a lot of money quickly and easily,빠르고 쉽게 많은 돈을 벌다
misery loves company,"the tendency for unhappy or miserable people to seek out others who are also unhappy or miserable, often as a way to validate their own feelings or experiences",불행하거나 고통스러운 사람들이 자신의 감정이나 경험을 정당화하기 위한 방법으로 비슷한 감정을 가진 다른 사람들을 찾는 경향
miss _ boat,to miss an opportunity,기회를 놓치다
miss the boat,to miss an opportunity or to be too late to take advantage of something,기회를 놓치거나 어떤 것을 활용하기에는 너무 늦다.
mister right,a perfect or ideal romantic partner,완벽하거나 이상적인 연애 상대
moment in the sun,"brief period of fame, recognition, or success","짧은 기간의 명성, 인지도 또는 성공"
moment of truth,the time when a person or thing is put to the test or faces a crucial decision or challenge,한 사람이나 사물이 시험에 들거나 중대한 결정이나 도전에 직면하는 시점
money doesn't grow on trees,money is not easily obtained or readily available,돈은 쉽게 얻을 수 없거나 쉽게 구할 수 없다.
money for jam,easy money; effortless or easy income or profit,쉬운 돈; 수고 없이 얻는 수익이나 이익
money for old rope,"Easy money, effortless profit, or a valuable return for minimal effort","쉬운 돈, 노력 없는 이익, 또는 최소한의 노력으로 얻는 귀중한 수익"
money spinner,a profitable or financially successful venture,수익성이 있거나 재정적으로 성공적인 사업
money talks,financial influence or power is persuasive and influential,재정적 영향력이나 권력은 설득力과 영향을 미칩니다.
monkey business,foolish or mischievous behavior,어리석거나 장난기 있는 행동
"more haste, less speed","Doing something quickly and without care often results in mistakes or delays, so it is better to take one's time and be thorough.","무언가를 빠르고 신중하지 않게 하면 실수나 지연이 발생하기 쉬우므로, 시간을 가지고 철저히 하는 것이 더 좋습니다."
more's the pity,unfortunately; it is a shame; it is regrettable,안타깝게도; 아쉬운 일이다; 유감스럽다
move heaven and earth,to do everything possible or go to great lengths in order to achieve or accomplish something,무언가를 이루거나 성취하기 위해 가능한 모든 것을 하다; 모든 노력을 기울이다
move mountains,to do something extraordinary or achieve something seemingly impossible,비범한 일을 하다 또는 불가능해 보이는 것을 성취하다
move the goalposts,to change the rules or requirements of a situation or agreement in order to make it more difficult for someone to succeed or achieve their goal,어떤 상황이나 합의의 규칙이나 요구사항을 변경하여 누군가가 성공하거나 목표를 달성하기 더 어렵게 만들다.
mrs mop,a woman who is responsible for cleaning and tidying up,청소 및 정리를 담당하는 여자
much of a muchness,very similar or nearly identical,매우 유사한 또는 거의 동일한
muddy the waters,to make a situation more confusing or complicated,상황을 더 혼란스럽거나 복잡하게 만들다
mull over,to think deeply or carefully about something,무언가에 대해 깊이 생각하거나 신중하게 고려하다
mum's the word,to keep quiet or keep a secret,조용히 하다 또는 비밀을 유지하다
mumbo jumbo,Confusing or meaningless language; nonsense or gibberish,혼란스럽거나 의미 없는 언어; 헛소리 또는 쓸모없는 말
mums the word,to keep something a secret or to not speak about it,무언가를 비밀로 하다 또는 그것에 대해 말하지 않다
mum's the word,to keep quiet or to not reveal a secret or confidential information,조용히 지내다 또는 비밀이나 기밀 정보를 드러내지 않다
music to _ ears,something that one finds pleasant or satisfying to hear,듣기에 즐겁거나 만족스러운 것
music to ears,something that is pleasing or gratifying to hear; good news or information that brings joy or relief,듣기 기분 좋은 것; 기쁨이나 안도감을 주는 좋은 소식이나 정보
music to someone's ears,something that is very pleasing or satisfying to someone,누군가에게 매우 기쁘거나 만족스러운 것
must have,widely believed or accepted to be true; highly probable or certain,널리 믿어지거나 진실로 받아들여지는; 매우 가능성이 높거나 확실한
mutt and Jeff,two people who are complete opposites in terms of appearance or personality,외모나 성격 면에서 완전히 반대인 두 사람
mutton dressed as lamb,"refers to an older woman who is dressed in a style more suitable for a younger woman, usually implying that she is trying too hard to appear younger or more attractive than she actually is","상대적으로 젊은 여성에게 더 적합한 스타일로 옷을 입은 나이 많은 여성을 가리키며, 일반적으로 그녀가 실제보다 더 젊어 보이거나 매력적으로 보이기 위해 지나치게 노력하고 있다는 것을 암시합니다."
my bad,acknowledging one's mistake or accepting responsibility for something that went wrong,자신의 실수를 인정하거나 잘못된 일에 대한 책임을 받아들이다.
my foot!,used to express disbelief or to indicate that something is completely untrue or ridiculous,믿을 수 없거나 무언가가 완전히 사실이 아니거나 터무니없다는 것을 나타내기 위해 사용됨
my gut tells me,I have a strong intuition or feeling about something,나는 어떤 것에 대해 강한 직감이나 느낌이 있다.
my old Dutch,"a term of endearment or affection, often used to refer to a close friend or loved one",친밀한 친구나 사랑하는 사람을 지칭할 때 자주 사용되는 애칭 또는 애정 표현
my old china,slang for 'my dear friend' or 'my mate',내 친구 (nae chingu) or 내 mates (nae mates)
my two cents,"offering one's opinion or advice on a subject, often unsolicited","주제에 대해 의견이나 조언을 제공하는 것, 종종 요청하지 않은 경우"
my way or the highway,"an uncompromising attitude or approach, typically with little or no regard for others' opinions or preferences",타인의 의견이나 선호를 거의 고려하지 않거나 전혀 고려하지 않는 대단히 비타협적인 태도나 접근 방식
nail it,to successfully accomplish or achieve something,무언가를 성공적으로 달성하다
name _ day,to celebrate or honor the named person on a specific day each year,매년 특정한 날에 이름이 지어진 사람을 기념하거나 축하하다
name is mud,to have a bad reputation or be highly discredited; to be viewed negatively or unfavorably,나쁜 평판을 가지거나 크게 신용을 잃다; 부정적이거나 불리하게 보이다
name names,to identify specific individuals or provide specific information or details about something,특정 개인을 식별하거나 무언가에 대한 구체적인 정보나 세부 사항을 제공하다
name the day,to set a date for a wedding or other significant event,결혼식이나 기타 중요한 사건의 날짜를 정하다
nature abhors a vacuum,empty or unused spaces are unnatural and will always be filled or occupied by something,비어 있거나 사용되지 않는 공간은 부자연스러우며 항상 무언가로 채워지거나 점유될 것이다.
nature calls,to have the urge to use the bathroom,화장실에 가고 싶은 욕구가 있다
near the knuckle,to be close to being offensive or crossing a social boundary,모욕적이거나 사회적 경계를 넘는 것에 가까워지다
necessary evil,something that is unpleasant but required or necessary,불쾌하지만 필수적이거나 필요한 것
necessity is the mother of invention,Creativity and resourcefulness are often stimulated by a need or problem.,창의성과 수완은 종종 필요성이나 문제에 의해 자극을 받는다.
necessity knows no law,"when a desperate situation arises, people will do whatever is necessary, regardless of any rules or laws",절박한 상황이 발생하면 사람들은 어떤 규칙이나 법을 무시하고라도 필요한 모든 조치를 취할 것이다.
neck and neck,very close or even in a competition or race; with no clear leader,경쟁이나 경주에서 매우 근접한 상태; 명확한 우승자가 없는 상태
neck of the woods,a particular neighborhood or region; a specific area or vicinity,특정한 동네나 지역; 특정한 구역이나 근처
neither fish nor fowl,something or someone that does not belong to any specific group or category,어떤 특정한 그룹이나 범주에 속하지 않는 것 또는 사람
neither here nor there,not relevant or important; of no consequence,관련 없거나 중요하지 않은; 무의미한
nervous Nellie,a person who is easily anxious or worried,쉽게 불안해하거나 걱정하는 사람
nest egg,money that has been saved or invested for the future,미래를 위해 저축하거나 투자한 돈
never in wildest dreams,something unexpected or beyond what one could have imagined or anticipated,예상치 못한 것 또는 상상하거나 예상할 수 있는 범위를 넘어선 것
never mind,to disregard or dismiss; to not pay attention or give importance to something,무시하다; 어떤 것에 주목하지 않거나 중요성을 부여하지 않다
never say die,"to have a determined and never-give-up attitude, even in the face of challenges or setbacks",어려움이나 좌절에도 불구하고 결단력 있고 포기하지 않는 태도를 가지다
never the twain shall meet,Two things or groups are so different that they cannot coexist or come together,두 가지 사물이나 집단이 너무 달라서 공존하거나 함께 할 수 없다
never you mind,do not worry or be concerned about it; I will handle it or take care of it myself,걱정하거나 신경 쓰지 마세요; 제가 직접 처리할게요.
never-never land,"a place or situation that is fanciful, unrealistic, or impossible to achieve or sustain",판타지적이거나 비현실적이며 달성하거나 유지하기 불가능한 장소나 상황
new York minute,An extremely short amount of time or moment; something that happens very quickly.,아주 짧은 시간이나 순간; 매우 빠르게 발생하는 것.
new arrival,someone who has recently arrived or joined a group or organization,최근에 도착했거나 그룹이나 조직에 합류한 사람
new blood,new members or fresh ideas that bring new energy or vitality to a group or organization,새로운 에너지나 활력을 불어넣는 새로운 구성원 또는 신선한 아이디어
new kid on _ block,someone who is new to a particular place or situation,특정한 장소나 상황에 새로 온 사람
new kid on the block,"someone who is new to a particular area or group, often implying that they are inexperienced or unknown","특정한 지역이나 그룹에 새로 온 사람, 종종 그들이 경험이 부족하거나 알려지지 않았음을 암시하는 표현"
next of kin,closest living relative,가장 가까운 살아있는 친척
next to nothing,almost nothing; a very small amount,거의 없음; 매우 적은 양
nice as pie,"to be very pleasant, kind, or polite","매우 쾌적하거나, 친절하거나, 공손하다"
night and day,completely different or completely opposite,완전히 다르거나 완전히 반대인
night owl,someone who stays up late at night or is most active during the evening hours,밤늦게까지 깨어 있거나 저녁 시간에 가장 활동적인 사람
nine times out of ten,almost always or in the majority of cases,거의 항상 또는 대부분의 경우
nine to five,"to work a typical full-time schedule, usually from 9 AM to 5 PM","전형적인 풀타임 스케줄로 일하다, 보통 오전 9시부터 오후 5시까지"
nip and tuck,an extremely close or closely contested competition or race,아주 근접한 경쟁 또는 박빙의 경주
nitty gritty,the most important or basic aspects or details of a situation,상황의 가장 중요하거나 기본적인 측면이나 세부사항
nitty-gritty,the most important or essential details or aspects of something,무엇의 가장 중요하거나 필수적인 세부사항 또는 측면
no can do,Unable to do something; not possible,무엇을 할 수 없는; 불가능한
no comment,to decline to comment or provide information on a particular topic or issue,특정 주제나 문제에 대해 언급하거나 정보를 제공하는 것을 거부하다.
no dice,"to indicate refusal or rejection, often in response to a proposition or request",제안이나 요청에 대한 거부 또는 거절을 나타내다
no great shakes,not particularly impressive or remarkable,특별히 인상적이거나 주목할 만한 것이 아닌
no holds barred,without any restrictions or limitations; unrestricted or unrestrained,제약이나 한계 없이; 제한 없는 또는 억제되지 않은
no laughing matter,something that is serious or of great concern,심각한 일 또는 큰 우려 사항
no love lost,to have a mutual dislike or animosity towards each other,서로에 대해 상호 반감이나 적대감을 가지다
no man is an island,Everyone is connected to others and cannot thrive or survive in isolation.,"모든 사람은 서로 연결되어 있으며, 고립된 채로는 풍요롭게 살거나 생존할 수 없다."
no man's land,"an area or situation that is unclaimed, vague, or undefined, often representing a dangerous or uncertain space","주장이 없거나 모호하거나 정의되지 않은 영역이나 상황, 종종 위험하거나 불확실한 공간을 나타냅니다."
"no pain, no gain",Hard work and effort are necessary in order to achieve success or make progress.,성공이나 발전을 이루기 위해서는 노력과 수고가 필요하다.
no peace for the wicked,Constant troubles or difficulties that are believed to be a consequence of one's bad actions or behavior.,자신의 잘못된 행동이나 행위의 결과로 여겨지는 끊임없는 문제나 어려움.
no questions asked,without any further inquiry or request for information; without any investigation or interrogation,더 이상의 문의나 정보 요청 없이; 조사나 심문 없이
no rest for the wicked,"constant work or activity, especially when one is considered guilty or deserving of punishment","지속적인 일이나 활동, 특히 죄가 있거나 처벌을 받아야 한다고 여겨질 때"
no room to swing a cat,very little space,아주 작은 공간
no rush,no need to hurry or rush; there is no urgency,서두르거나 급할 필요 없다; 긴급함이 없다
no saint,someone who is not perfect or morally upright; someone with flaws or faults,완벽하지 않거나 도덕적으로 올바르지 않은 사람; 결점이나 문제를 가진 사람
no smoke without fire,there is usually some truth or basis for a rumor or accusation,대개 어떤 루머나 비난에는 일정한 진실이나 근거가 있다.
no spring chicken,someone who is not young anymore; someone who is not in their prime,더 이상 젊지 않은 사람; 전성기가 아닌 사람
no strings attached,without any conditions or expectations; with no obligations or commitments,조건이나 기대 없이; 의무나 약속 없이
no sweat,"an assurance that something can be done easily, without any difficulty","어떤 것이 쉽게, 아무런 어려움 없이 할 수 있다고 보장하는 것"
no time like the present,to do something immediately rather than waiting for a more convenient or suitable time,더 편리하거나 적절한 시간을 기다리지 않고 즉시 무언가를 하다.
no two ways about it,no possibility of seeing or doing it in any other way,다른 방식으로 보거나 할 가능성이 전혀 없음
no use to man or beast,completely useless or valueless,완전히 쓸모없거나 가치가 없는
none of your business,not your concern or not something you need to know about,당신의 관심사가 아니거나 알아야 할 필요가 없는 것
north and south,complete opposite directions or things; completely different or opposed,정반대의 방향이나 것들; 완전히 다르거나 대립되는
nose around,to snoop or pry into someone else's business or affairs without their permission,누군가의 허락 없이 다른 사람의 일이나 사생활을 엿보거나 캐내다
not a pretty sight,something that is unpleasant or unattractive to look at,보기 불쾌하거나 매력적이지 않은 것
not all there,mentally lacking or not mentally stable,정신적으로 부족하거나 정신적으로 불안정한
not at all,"""definitely not"" or ""not in any way""","""절대 아니야"" 또는 ""어떠한 방식으로도 아니야"""
not bat an eye,"show no reaction or emotion, especially in a situation where one might be expected to",특히 반응이나 감정을 보여야 할 상황에서 아무런 반응이나 감정을 보이지 않다.
not bat an eyelid,"to not show any surprise, emotion, or reaction","놀라움, 감정, 반응을 전혀 보이지 않다"
not be short of a bob or two,to have plenty of money or wealth,많은 돈이나 재산을 가지다
not come cheap,to be expensive or costly; to require a significant amount of money,비싸다; 상당한 금액이 필요하다
not cricket,not fair or ethical,공정하지 않거나 비윤리적이다.
not cup of tea,Not one's preferred or favored thing or activity,선호하거나 좋아하는 것이나 활동이 아닌 것
not enough room to swing a cat,to describe a very small or cramped space,아주 작거나 비좁은 공간을 묘사하다
not for a minute,not at all; not even for a short period of time,전혀; 짧은 시간도 아니고
not give a damn,to not care at all; to have no interest or concern,전혀 신경 쓰지 않다; 관심이나 걱정이 없다
not give a fig,to not care at all; to have no concern or interest,전혀 상관하지 않다; 관심이나 걱정이 전혀 없다
not half bad,better than expected; pretty good,예상보다 더 좋다; 꽤 괜찮다
not have a cat in hell's chance,To have no chance at all; to have no hope of success,전혀 기회가 없다; 성공할 희망이 없다
not have a leg to stand on,to have no evidence or argument to support one's position; to be unable to prove or justify something,자신의 입장을 지지할 증거거나 주장이 없다; 무언가를 입증하거나 정당화할 수 없다
not have a snowball's chance in hell,"to have no chance at all, to have no possibility of success","전혀 기회가 없다, 성공할 가능성이 없다"
not hold water,"to be illogical, inconsistent, or lacking in validity; to not be convincing or credible",비논리적이거나 일관성이 없거나 타당성이 결여되다; 설득력이 없거나 신뢰할 수 없다
not hurt a fly <br/>,"to be very gentle or nonviolent, not capable of harming anyone or anything","매우 부드럽거나 비폭력적인, 누구나 또는 어떤 것도 해칠 수 없는"
not hurt a fly or flea,To be extremely gentle and harmless,매우 부드럽고 무해하다
not in a million years,something that will never happen; an event or outcome that is extremely unlikely,절대 일어나지 않을 것; 극히 불가능한 사건이나 결과
not just a pretty face,"not just someone who is attractive, but also intelligent or capable in other ways","단순히 매력적인 사람뿐만 아니라, 지적이거나 다른 방법으로 유능한 사람"
not know you are born,to be ignorant or unappreciative of how fortunate one is,자신이 얼마나 운이 좋은지를 모른다거나 감사하지 않다.
not miss a trick,"to be very observant, alert, or attentive; to not overlook or miss any details or opportunities",매우 관찰력이 뛰어나고 경계하며 주의 깊다; 세부 사항이나 기회를 놓치지 않는다
not much cop,not very good or impressive; not of high quality,그리 좋지 않거나 인상적이지 않은; 고품질이 아닌
not on your life,Absolutely not; never; under no circumstances,절대 그렇지 않다; 결코; 어떠한 상황에서도
not playing with a full deck,to be mentally impaired or lacking in intelligence or common sense,정신적으로 장애가 있거나 지능이나 상식이 부족하다
not the sharpest tool in the shed,not very intelligent; lacking in intelligence,그리 똑똑하지 않은; 지성이 부족한
not to be sneezed at,worthy of attention or consideration; not to be disregarded or underestimated,주목할 가치가 있거나 고려할 만한; 무시되거나 과소평가되어서는 안 되는
not to put too fine a point on it,to speak directly and honestly without sugarcoating or beating around the bush,직접적이고 솔직하게 말하다; 돌려서 말하지 않다
not worth the candle,not worth the effort or cost involved,노력이나 비용에 비해 가치가 없는
nothing doing,there is no chance or possibility of something happening; it is not going to happen,무언가가 일어날 가능성이 전혀 없다; 그것이 일어날 일이 아니다.
nothing is certain but death and taxes,there are only two things that are inevitable or guaranteed in life,인생에서 피할 수 없거나 보장된 것은 단 두 가지뿐이다.
nothing to it,very easy or simple,매우 쉽거나 간단한
nothing to sneeze at,something that is significant or important; not to be underestimated,중요하거나 의미 있는 것; 과소평가해서는 안 되는 것
nothing to write home about,not particularly impressive or noteworthy,특별히 인상적이지 않거나 주목할 만하지 않은
now and then,occasionally; from time to time,때때로; 가끔씩
now or never,"an opportunity that must be seized immediately, as it may not come again","즉시 잡아야 하는 기회, 다시는 오지 않을 수 있는 기회"
now you're talking,now you're making a good point or suggestion,이제 좋은 요점이나 제안을 하고 있어요.
nudge nudge wink wink,"to make an indirect reference or suggestion, often with a secretive or salacious undertone","간접적으로 언급하거나 제안하다, 종종 은근한 또는 음란한 뉘앙스를 가지고"
nurse someone back to health,to care for and help someone recover from an illness or injury,누군가의 병이나 부상에서 회복하도록 돌보고 도와주다
nuts and bolts,the practical or fundamental aspects of something; the basic details or components,무언가의 실용적이거나 기본적인 측면; 기본적인 세부사항 또는 구성 요소
nutty as a fruitcake,to be crazy or eccentric,미치다 또는 괴짜이다
oceans of,an abundance of; a large amount of,풍부한; 대량의
odd duck,an eccentric or unconventional person,엉뚱하거나 비상식적인 사람
odd one out,"to be different or not belong to a group, set, or pattern","그룹, 집합 또는 패턴에 다르거나 속하지 않다."
odds and ends,"various small, scattered, or miscellaneous items or tasks",여러 가지 작고 흩어져 있거나 잡다한 물건이나 작업
of a certain age,"to be at a specific age, typically indicating someone who is older or past their prime","특정 연령에 이르다, 일반적으로 나이가 많거나 전성기를 지나친 사람을 나타낸다"
of advanced age,old; elderly,늙은; 노인적인
of age,reaching the age when a person is legally considered an adult or mature,법적으로 성인 또는 성숙한 것으로 간주되는 나이에 도달하기
of the first water,of the finest quality or highest degree; excellent or outstanding,최고의 품질의; 우수한 또는 뛰어난
off and on,occurring intermittently or not consistently,간헐적으로 발생하거나 일관되지 않게
off and running,to start or begin something energetically and successfully,무언가를 활기차고 성공적으로 시작하다
off on the wrong foot,to start a relationship or project in a problematic or unpleasant way,문제적이거나 불쾌한 방식으로 관계나 프로젝트를 시작하다
off one's rocker,to be crazy or mentally unstable,미쳤다거나 정신적으로 불안정하다
off the beaten track,away from the usual or popularly traveled routes; in a remote or less common location,일반적이거나 흔히 다니는 경로에서 벗어난; 외딴 곳이나 덜 알려진 장소에서
off the cuff,to speak or perform without any preparation or rehearsal,즉흥적으로 말하다 또는 공연하다
off the hook,freed from responsibility or obligation,책임이나 의무에서 해방된
off the mark,incorrect or inaccurate,부정확한 또는 잘못된
off the record,not for publication or public knowledge; unofficial or confidential,공식 출판이나 공개 지식이 아닌; 비공식적이거나 기밀인
off the shelf,readily available; not custom-made or specially ordered,즉시 사용 가능한; 맞춤 제작되지 않거나 특별히 주문되지 않은
off the top of your head,"to give or provide an answer or response quickly, without taking the time to think or research",생각이나 조사할 시간 없이 빠르게 대답하거나 반응을 주다
off the wall,"strange, unconventional, or bizarre","이상한, 비전통적인, 또는 기이한"
off your rocker,being crazy or mentally unstable,미친 상태이거나 정신적으로 불안정한 상태
oh! Shoot,expression of mild annoyance or frustration,경미한 짜증이나 불만의 표현
oil and water,two things or people that are fundamentally incompatible or do not mix well,근본적으로 양립할 수 없거나 잘 어울리지 않는 두 가지 것 또는 사람들
old as the hills,very old or ancient,아주 오래된 또는 고대의
old chestnut,"a joke, story, or idea that has been repeated so often that it is no longer funny or interesting","너무 많이 반복되어 더 이상 재미없거나 흥미롭지 않은 농담, 이야기 또는 아이디어"
old hat,"outdated or no longer interesting; something that is considered to be too familiar, common, or overused",구식이거나 더 이상 흥미롭지 않은; 너무 익숙하거나 일반적이거나 과용된 것으로 여겨지는 것
old wives' tale,"an old, traditional belief or story that is now considered to be untrue or based on superstition",이제는 사실이 아니거나 미신에 기반한 것으로 간주되는 오래된 전통적인 믿음이나 이야기
on a full stomach,after eating a meal; when one is not hungry,식사 후; 배가 고프지 않을 때
on a hiding to nothing,engaging in a task or endeavor that is bound to fail or have no chance of success,실패할 수밖에 없거나 성공할 가능성이 전혀 없는 작업이나 노기에 참여하는 것
on a roll,experiencing a series of successes or good fortune; in a period of continued progress or achievement,일련의 성공이나 좋은 운을 경험하다; 지속적인 발전이나 성취의 기간에 있다
on a shoestring,to have a very limited budget or resources; to operate with minimal funds,예산이나 자원이 매우 제한적이다; 최소한의 자금으로 운영하다
