Idiom,Meaning,Meaning_ar
على حين أن,"At the same time when, whereas",في نفس الوقت عندما، بينما
على حين غِرَّة,"Unexpectedly, inadvertently, surprisingly",بِشكل غير متوقع، عن غير قصد، بشكل مُفاجئ
على حين غفلة,"Suddenly, all of a sudden, unexpectedly, surprisingly",فَجأة، على غَير تَوقُّع، بِشكل مُفاجئ، بِشكل مُدهِش
على حين هم يزعمون,"Whereas they, on the other hand, claim",في حين أنهم، من ناحية أخرى، يَدَّعون
على خاطرك,As you like,كما تُحِبّ
على خط مستقيم,"Straightaway, in a straight line, outright, out and out",مباشرة، في خط مستقيم، بشكل صريح، تماماً
على خالف ذلك,"Unlike that, contrary to that, on the contrary",على العكس من ذلك
ٍعلى خلوة,"Alone, in seclusion",وَحيدًا، في عُزلة
على دراية,In full cognisance of the situation,بِوَعي تام للوضع
على ذلك,"In this manner, thus",بهذه الطريقة، هكذا
على ذمّتي,On my honour,بِشَرَفي
على رأي المثل,As the proverb says,كما يقول المثل
على رؤوس األشهاد,"In public, for all the world to see",علناً، أمام العالم أجمع
على سبيل,"As, by way of, for",كـ، عن طريق، لـ
على سبيل االحتياط,"As a precaution, to be on the safe side",كإجراء احترازي، لضمان السلامة
على سبيل االختبار,Experimentally,تَجريبيًا
على سبيل التجربة,"For a try, tentatively",على سبيل التجربة، بشكل مؤقت
على سبيل الحصر,Exhaustively,بِشَكل مُستَفيض
على سبيل الفكاهة,For fun,لِلتَّسلية
على سبيل المجاز,"Figuratively, metaphorically",بِصورة مَجازية
على سنه قوي,He bears his years well,إنه يتحمل سنواته بشكل جيد
على شاكلة,"In the manner of, of the kind of, like",على غِرار
على شاكلتهم,"Of their kind, like them",من نوعهم، مثلهم
. . . على شرط أن,On the condition that...,بِشَرط أن...
. . . على شريطة أن,On the condition that...,بِشَرط أن...
على شفا مجاعة,On the verge of a famine,على وشك المجاعة
على شَف ْ رَة الهاوية,On the brink of the abyss,على حافة الهاوية
على شيء كثير من,"Very, extremely",جِدًّا، للغاية
على شيء كثير من البساطة,Very simple,بَسيط جِدًا
. . . على شيء من,To have certain...,لِيَكون لَدَيه اليَقين...
على شيء من الذكاء,To have a good deal of intelligence,لديه قدر كبير من الذكاء
على صحن الخد,On the (surface of the) cheek,على سطح الخد
على صعيد واحد,"Congenial, like-minded, kindred in spirit, agreed",مُتَآلِف، مُتَفَق في الرأي، مُتَجانِس في الروح، مُتَوافِق
على صواب,He is right,هو مُحِقّ
على صيحة,Within shouting distance,على مَسافة قَريبة
على ضوء,"In light of, under the circumstances of, as seen from, according to",في ضوء، في ظل، كما يُرى من، وفقًا لـ
على طرف الث ُّ مَام,"Within easy reach, handy",في متناول اليد، سهل الاستخدام
على طوع منها,"Her obeying, without opposition on her part",طاعتها دون معارضة من جانبها
على طول,"Along, alongside of",على طول، بجانب
على طول الخط,All along the line,على طول الخط
(على ظهر )األرض، الماء,"On the ground, on the water...",على الأرض، على الماء...
على ظهر الباخرة,Aboard the steamer,على متن الباخرة
على ظهر الخيل,On horseback,على ظَهر الحِصان
على عادته,"According to his habit, as was his wont, as he used to do",وفقًا لعادته، كما كان دأبه، كما اعتاد أن يفعل
على عجل,"In a hurry, hurriedly, speedily",على عَجَل، بعُجالة، بسُرعة
. . . على عقب,Immediately after...,مباشرة بعد...
على عكس ذلك,"In contrast with that, contrary to that",على النقيض من ذلك، خلافًا لذلك
على عالته,"In spite of his weaknesses, such as he is",على الرغم من نقاط ضعفه، فهو كما هو
على عندي,Against me,ضدي
على عهد,At the time of,في وقت
على عهده,At or in his time,في وقته
على غرار,"In a hurry, hastily",على عَجَل، بِسُرعة
على غرار واحد,"After one pattern, alike, likewise",على نفس النمط، بالمثل، كذلك
على غَرَارة,In the like manner,بِنَفس الطَريقة
على غرة,"Unexpectedly, inadvertently, surprisingly",بِشكل غير متوقع، دون قصد، بشكل مُفاجئ
على غفلة,"Suddenly, all of a sudden, unexpectedly, surprisingly",فَجأة، على غَير تَوقُّع، بِشكل مُفاجئ، بِشكل مُدهِش
على غير انتظار,Unexpectedly,بِشَكلٍ غَير مُتَوَقَّع
على غير جدوى,"Of no avail, useless, futile, in vain",بلا جدوى، عديم الفائدة، عبثي، دون جدوى
على غير شعور منه,Without his being aware of it,دون أن يكون على علم بذلك
على غير معرفة منه,"Without his knowing about it, without his knowledge, unwittingly",دون علمه، دون معرفته، دون قصد
على غير ميعاد,Untimely,غير مناسب
على غير هداية,"Without divine guidance, aimlessly, at random",بدون هداية إلهية، بشكل عشوائي، دون هدف
على غير هدي,"Aimlessly, at random",بِدون هَدَف، عَشوائياً
على غير وجهه,"Improperly, incorrectly",بِشَكلٍ غَير صَحيح
. . . على فرض أن,"On the assumption that, supposing that, on the premise of...",على افتراض أن، بافتراض أن، على أساس...
على قاب قوسين,"Quite near, very close, imminent",قريب جداً، على وشك الحدوث، وشيك
على قارعة الطرق,On the open road,على الطريق المفتوح
على قدر اإلمكان,"As far as possible, as much as possible, in the best way possible, to the best of one’s abilities",قدر الإمكان، بقدر المستطاع، بأفضل طريقة ممكنة، على قدر المستطاع
على قدر المستطاع,"As far as possible, as much as possible, in the best way possible, to the best of one’s abilities",قدر الإمكان، بقدر المستطاع، بأفضل طريقة ممكنة، على قدر المستطاع
على قدر سَعتي,To the best of my abilities,بِقَدرِ إمكانياتي
على قدر طاقته,According to his capability,وفقًا لقدراته
على قدر ما,"To a certain extent, relatively",إلى حدٍ ما، نِسبيًا
على قدم األهبة واالستعداد,In a state of extreme alertness,في حالة تأهُّب شديدة
على قدم الحَذ َ ر,"Anxious, timid, fearful",قَلِق، خَجول، خائف
على قدميه,On foot,على الأقدام
على قده,"Of the same size, of equal size, just as (large)",بنفس الحجم، متساوي الحجم، بنفس الكِبَر
على قرب لمحة,In a moment,في لحظة
على قيد ساعات معدودة,Within a few hours,في غضون بضع ساعات
على قيد عشر كيلمترات,At a distance of 10 km,على بُعد 10 كيلومترات
)على كَث َ بٍ من (عن كثب من,"In the vicinity (of a neighbourhood), near",في مُحيط (الحي)، بالقرب من
(على كر الدهور )الزمن,In the course of time,مع مرور الوقت
على كراهية,"Unwillingly, grudgingly, forcedly",بِغَيرِ إرادة، على مَضَض، مُكرَهًا
على ك ُ رهٍ منه,"Unwillingly, reluctantly, under compulsion",على مضض، بتردد، تحت الإكراه
على كل,"In any case, at any rate",على أي حال
على كل حال,"In any case, at any rate, anyhow",على أي حال
على كيسه,At his expense,على نفقته
على كَيفِك,"At your discretion, as you please, as you wish",حسب تقديرك، كما تشاء، كما ترغب
على لسان الصحف,Through the organ of the press,عبر وسيلة الصحافة
ُعلى ما خيّت النفس,"As the heart dictates, i.e. as chance will have it",كما يُملي القلب، أي كما تَشاء الفُرصة
على ما يقال,"As they say, as it is said",كما يُقال
على ما يلوح,"As it seems, apparently",كما يبدو، على ما يبدو
على مبلغ تقديري,As far as I can judge for myself,بقدر ما أستطيع أن أحكم لنفسي
(على متن )سفينة – طائرة,Aboard (a ship or airplane),على متن (سفينة أو طائرة)
على متن البحر,"By sea, sea-borne",عَن طَريق البَحر، مَحمول بَحريًا
على متن الطائرة,Aboard the plane,على متن الطائرة
على متن الهواء,"Through the air, air-borne",عَبر الهَواء، مَحمول جَوًّا
على مثال,"In the manner of, after the pattern or model of",على نَحو، على غِرار
على مداد واحد,After the same pattern,على نفس النمط
على مدى البصر,Within sight,في مَرمى البَصَر
على مدى عشر أمتار,At a distance of 10 metres,على بُعد 10 أمتار
على مر الزمان,In the course of time,مع مرور الوقت
على مرأى من,Before someone’s eyes,أمام عيني شخص
على مرأى من,In full view of,على مَرأى من
على مرأى ومسمع من,"Before the eyes and ears of, with full knowledge of",أمام أعين وآذان، مع العلم الكامل بـ
على مشارف,"Within view, in the visual range of, in front of",في مرمى البصر، في نطاق الرؤية، أمام
على مضض,"Unwillingly, reluctantly, begrudgingly",على مضض، بتردد، على كُره
على مضى الزمان,"Lastingly, for long, permanently",بِشَكلٍ دائِم، لِفَترةٍ طَويلة، بِصورةٍ دائمة
(على مقربة )مِن,"Nearby, close at hand, in the vicinity of",بالقُرب، على مَقربة، في مُحيط
على مأل العالم,"For everyone to see, before all the world",لِيَرَى الجَميع، أمام العالَم كُلِّه
على ممر العصور,In the course of centuries,على مَدار القُرون
على مهل,"Slowly, leisurely, in no hurry",بِبُطء، على مَهْل، دون عَجَلة
على مهلك,Take it easy! Take your time!,خُذ الأمور ببساطة! خُذ وقتك!
على نحو ما,"In the manner of, as",على نَحو
على نحوٍ ما,"Pretty much, rather",إلى حد كبير، بالأحرى
على نسبة,"In proportion to, corresponding to",بِالنِّسبة إلى، بما يُعادِل
على نَسَق,In the manner of,على نَحو
على نَسَق واحد,"In the same manner, uniformly",بشكل متساوٍ، وبنفس الطريقة
. . . على نصيب وافر من,To have an ample share in...,لِيَكون له نصيب وافر في...
على نفقته,At someone’s expense,على حساب شخص ما
على نقيض,"Contrary to, in opposition to, unlike",على العكس من، في معارضة لـ، على غير غرار
على نَمَط,In the manner of,على نَحو
على نور,In the light of,في ضوء
. . . على نية,With the intention to...,بِنيّة أن...
. . . على هامش,"On the periphery of, aside from...",على هامش، بعيداً عن...
على هذا االعتبار,"From this standpoint, from this viewpoint",من هذا المنطلق، من هذه الزاوية
على هذا الغرار,In this manner,بهذه الطريقة
على هذا المِنوال,"In this manner, this way",بهذه الطريقة
على هذا النحو,In this manner,بهذه الطريقة
على هذا النظام,"Along this line, in this manner",على هذا النحو، بهذه الطريقة
على هذا النمط,"In this manner, this way, after this fashion",بهذه الطريقة
على هذا الوجه,"In this manner, thus",بهذه الطريقة، هكذا
على هذه الوتيرة,"In this manner, this way",بهذه الطريقة
على هواه,"To be convenient to someone, please someone",لِيُناسِب شَخصًا، يُرضي شَخصًا
على هون,"Gently, imperceptibly",برفق، بشكل غير محسوس
على هونك,At your convenience,في الوقت الذي يناسبك
على وتيرة واحدة,In the same manner,بنفس الطريقة
على وجه,"In the manner of, in the shape of, with regard to, concerning",على نَحو، على شَكل، بِخُصوص، فيما يَتَعَلَّق بـ
على وجه اإلجمال,"On the whole, altogether",بِشَكل عام، إجمالاً
على وجه االستعجال,"Expeditiously, speedily",بِسُرعة، على وَجه السُرعة
على وجه التحديد,"To be exact, strictly speaking",لِكَي نَكون دَقيقين، بِالمَعنى الدَقيق للكَلِمة
على وجه التخصيص,Specifically,بِالتَّحديد
على وجه التفصيل,"At great length, in detail, elaborately",بإسهاب، بتفصيل، بشكل مُفَصَّل
على وجه الحصر,"In a condensed form, in a nutshell",باختصار
على وجه الخصوص,"Especially, in particular, specifically, particularly",خاصة، على وجه الخصوص، تحديدًا، بشكل خاص
على وجه العموم,Generally,عُمومًا
على وجه اليقين,With certainty,بِاليَقين
على وجهه,"In his own way, in the right manner",بطريقته الخاصة، بالطريقة الصحيحة
(على يد )على أيدي,At the hands of,على يَدَيّ
على يده,"Through him, by him, at his hand",من خلاله، بواسطته، على يده
على يمينه,To (or at) his right,إلى (أو على) يمينه
علي به,"Bring, give him (or it) to me!",أحضره لي!
علية القوم,"Upper class, people of distinction, prominent",الطبقة العليا، الأشخاص المميزون، البارزون
علية الناس,"Upper class, people of distinction, prominent",الطبقة العليا، الأشخاص المتميزون، البارزون
عليك بِـ,Take...! Help yourself...!,خُذ...! تَفَضَّل...!
عليك بالصبر,You must have patience!,يَجِب أن تَتَحَلَّى بالصَّبر!
عليك نور,Well done! Bravo!,أحسنت! برافو!
علينا به,He is the one we must have!,هو الشخص الذي يجب أن نحصل عليه!
عليه العفاء,"It’s all over with him, he is done for",لقد انتهى أمره، هو في عداد المفقودين.
. . . عليه أن,"It is incumbent on him to, it’s his duty to, he must, he will have to...",يَجِب عَلَيه أن...
عليه دَين,He is in debt,هو مُديون
عما قريب,"Shortly, after a little while, soon",قريبًا، بعد فترة قصيرة، قريبًا
عما قليل,"Shortly, soon",قريبًا
عمّت البلوى به,It has become a general,لقد أصبح أمرًا عامًا
عمر مديد,Great age,عُمر عظيم
عمّر وقتَه,"To take up, or claim, someone’s time",لشَغل أو استِهلاك وَقت شَخص ما
عمره اآلن قد أوفى على التاسعة,He is already past nine years of age,لقد تجاوز عمره تسع سنوات بالفعل
عمره عشرين سنة,He is twenty years old,عمره عشرون عامًا
عمره كذا سنوات,His age is such-and-such many years,عمره كذا وكذا سنة
عمل أعماله,"To behave, or act, like someone",أن يَتَصَرَّف أو يَتَحَرَّك مثل شَخص ما
العمل بِـ,"Validity, effectiveness of something",صَلاحِيَة، فَعالِيَة شَيء مَا
العمل بالقطع,"Piecework, job work, taskwork",العمل بالقطعة، العمل بالوظيفة، العمل بالمهمة
عَمِلَ حسابا ً له,To reckon someone with something,يَحسِب شَخصًا على شَيء
َعمل يست َ وجِب الشكر,"An act deserving of thanks, a meritorious undertaking",عمل يستحق الشكر، مبادرة جديرة بالثناء
عمال ً بِـ,"In execution of, in pursuance of, according to",تنفيذًا لـ، سعيًا لـ، وفقًا لـ
ًعمليا,"Practically, in practice",عملياً
العموم,"The (general) public, the public at large",الجمهور العام
ًعموما,"In general, generally",بِشَكل عام
ًعموماً – خصوصا,"In general, in particular",بِشَكل عام، بِشَكل خاص
عن استحقاق,"Deservedly, by rights",عن جَدارة، بِحَقّ
عن أمره,"By someone’s order(s), on someone’s initiative",بِأمر من شخص ما، بمبادرة من شخص ما
عن بصيرة,"Consciously, fully aware of the situation, knowingly",بوعي، مدرك تمامًا للوضع، عن علم
عن بعد,"From a distance, from afar",من بُعد، من بعيد
عن بكرتهم,"All without exception, all of them",الجميع دون استثناء، كلهم
ٍ عن ج َ هْل,Out of ignorance,عن جهل
عن حسن نية,"In good faith, bona fide",بحسن نية
عن حق,"Justly, rightly, by rights",بِعَدل، بِحَق، بِحَقوق
عن خوف,For fear,خَوفًا من
عن سجية,"Of one’s own accord, spontaneously",بِمُبادَرة شَخصية، بِشَكل عَفوي
عن سرور,"Gladly, happily, joyfully",بِسُرور، بِفَرَح، بِبَهْجَة
عن طريق,"By way of, via, by means of, through",عَن طَريق، مِن خِلال، بِواسِطة، عَبر
عن طواعية,"Voluntarily, of one’s own free will, of one’s own accord",طَوْعًا، بِإِرادَتِهِ الحُرَّة، بِمَحضِ إِرادَتِهِ
عن طيبة خاطر,"Gladly, most willingly, with pleasure, voluntarily",بِكُل سُرور، بِكُل رِضا، بِكُل مَتعة، طَوعًا
عن ظهر الغيب,"By heart, from memory",عن ظهر قلب
عن ظهر القلب,By heart,عَن ظَهر قَلب
عن علم,"On the basis of sound knowledge, in full cognisance of the situation",على أساس معرفة سليمة، وبإدراك كامل للوضع
عن غير قصد,"Unintentionally, inadvertently",دون قصد، عن غير قصد
عن قريب,"Shortly, presently, after a (little) while, soon",قريبًا، حالًا، بعد قليل، قريبًا
ٍعن قصد,Intentionally,عَمداً
عن قليل,"Soon, shortly, before",قريبًا، بعد قليل، قبل
عن قناعة وجدانية,Out of absolute inner conviction,من قناعة داخلية مطلقة
عن قيد البصر,Within sight,في مَرمى البَصَر
. . . عن له أن,It occurred to him that...,خَطَرَ على باله أن...
عن وساطة فالن,Through the good offices of someone,من خلال المساعي الحميدة لشخص ما
عن يمينه,"To (or at) his or its right side, at (or on) his or its right side, to the right of him or it",إلى جانبه الأيمن، على جانبه الأيمن، إلى يمينه
عند االضطرار,In case of emergency,في حالة الطوارئ
عند االقتضاء,"In case of need, if need be, when necessary",عند الحاجة، إذا لزم الأمر، عندما يكون ذلك ضروريًا
عند اإلمكان,"When (or if) possible, possibly",عِندَما (أو إذا) كان ذلك مُمكِنًا، رُبَّما
عند البيت,"Near the house, at the house",بالقرب من المنزل، عند المنزل
عند التحقيق,"Properly speaking, strictly speaking",بِصَراحة، بِدِقّة
عند الحاجة,"If or when necessary, if need be, in case of need",إذا لَزِم الأمر، عند الضرورة، في حالة الحاجة
عند الحافرة,"On the spot, right away",على الفور، حالاً
عند الضرورة,"In case of need, if need be, when necessary",عند الحاجة، إذا لزم الأمر، عندما يكون ذلك ضروريًا
عند الضرورة القصوى,"In case of dire necessity, when worst comes to worst",في حالة الضرورة القصوى، عندما تَبلُغ الأمور أسوأ حالاتها
عند الطلب,"On demand, by request, if desired, on application",عند الطلب، بناءً على الطلب، إذا رُغِب، عند التقديم
عند اللزوم,"In case of need, when (or if) necessary, if need be",في حالة الحاجة، عند الضرورة، إذا لزم الأمر
عند أنفسهم,In their own opinion,في رأيهم الشخصي
عند تقليب النظر,"On closer inspection or examination, when examined more closely",عند الفحص الدقيق أو عند التدقيق بشكل أكبر
عند توفر الشروط,As soon as the conditions are fulfilled,بمجرد أن تتحقق الشروط
عند ذلك,"Thereupon, then, at that moment",حينئذٍ
عند طلوع الشمس,At sunrise,عند شروق الشمس
عند مسيس الحاجة,"Should the necessity arise, if (or when) necessary",إذا دَعَت الحاجة
عند مقتضيات األحوال,Should the circumstances require it,إذا اقتضت الظروف ذلك
عندي,"In my opinion, as I think",في رأيي، كما أعتقد
عندي دينار واحد,I have only one dinar (with me),لدي دينار واحد فقط (معي)
(عنوانًا على )لِـ,In token of something,كعربون على شيء
عَهِدَ وعدَه,"To fulfil, or keep, one’s promise",للإيفاء أو الوفاء بالوعد
عهدته عليه,He is responsible for it,هو مَسؤول عنه
عهدُنا بهذه المسألة,Our long-standing knowledge of this question,معرفتنا الطويلة الأمد بهذا السؤال
عهده,His familiar nature or manner,طبيعته أو أسلوبه المألوف
عهدهم به,"The nature of manner that they know (knew) of him (or of it), that they are (were) used to",طبيعة الأسلوب الذي يعرفونه (أو عرفوه) عنه (أو عنها)، والتي اعتادوا عليها
عوادي الوحوش,"Beasts of prey, predatory animals",حيوانات مفترسة
عود كبريت,"Matches, matchstick",أعواد الثقاب
عِوَضا ً عن,"As a substitute for, in replacement of, in lieu of",بَدَلًا مِن
عياذ هللا,God forbid! God save me (us) from that,لا قدّر الله! اللهم احفظني (احفظنا) من ذلك
العياذ باهلل,God forbid! God save me (us) from that,لا قدّر الله! اللهم احفظني (احفظنا) من ذلك
عيال على,"Living at the expense of, entirely dependent on, being a burden on (someone)",العيش على حساب، الاعتماد الكامل على، أن تكون عبئًا على (شخص ما)
عيب عليك,Shame on you! You ought to be ashamed!,عَيبٌ عَلَيك! يَجِب أن تَشعُر بِالخَجَل!
عيد القيامة,Easter,عيد الفصح
عيد صوم الغفران,Day of Atonement,يوم الكفارة
عيد مؤوي,One hundredth anniversary,الذكرى المئوية
عِيلَ صبرُه,To lose patience,يَفقِد الصَّبر
العين بالعين,An eye for an eye,العين بالعين
ًعيّن سببا,To give a reason,لِتَقديم سَبَب
عين ُ ه فرارُه,"His outward appearance bespeaks his inner worth, you need only look at him to know what to think of him",مظهره الخارجي يعكس قيمته الداخلية، ما عليك سوى النظر إليه لتعرف ما يجب أن تفكر فيه.
عيون الش ِّ عْر,"Gems of poetry, choicest works of poetry",دُرَر الشِّعر، أروع أعمال الشِّعر
غاب الشيء عن باله,"The matter has slipped from his memory, he has forgotten the matter",الأمر قد انزلق من ذاكرته، لقد نسي الأمر.
غاب عن الشعور,To lose consciousness,فقدان الوعي
غاب عن الوجود,To lose consciousness,فقدان الوعي
غاب عن صوابه,"To lose consciousness, to faint, become unconscious",فَقد الوَعي، الإغماء، أصبح غَير واعٍ
غارق في الدهشة,"Completely taken aback, deeply shocked, utterly dismayed",مندهش تمامًا، مصدوم بشدة، مذهول للغاية
غاض لون ُ ه,"His face lost all colour, he turned pale",فَقَدَ وجهه كل الألوان، وأصبح شاحبًا.
غالب المصاعب,"To struggle, wrestle with difficulties",يُكافِح، يُصارِع الصُّعوبات
ًغالبا,"Mostly, in most cases, in general, generally",في الغالب، في معظم الحالات، بشكل عام، عموماً
غالبه النوم,"To befall, overcome someone (sleep)",يَغلِب النُعاس على شَخص
غامر بنفسه,"To engage in daring adventures, risk one’s life",الانخراط في مغامرات جريئة، وتعريض الحياة للخطر
غائب عن صوابه,"Unconscious, senseless",فاقد الوعي، بلا إحساس
الغاية القصوى من,"The utmost degree of, the maximum of",أقصى درجة من، الحد الأقصى من
الغاية تبرر الوسيلة,The ends justify the means,الغاية تبرر الوسيلة
غبّر في وجهه,"To surpass, outstrip, outdo someone, be superior to someone",يتفوق على شخص، يتجاوز شخصًا، يتفوق على شخص، يكون متفوقًا على شخص
الغبراء,The earth,الأرض
غت الضحك,"To suppress one’s laughter, bite one’s lip",لكبت الضحك، يعض شفتيه
غثت نفسُه,"To feel like vomiting, feel sick, be indisposed",يشعر بالغثيان، يشعر بالمرض، يكون متوعكًا
غثيت نفسه,Be indisposed,يكون مُتَوَعِّكًا
ًغدا,"Tomorrow, the following day",غدًا، اليوم التالي
غدا وبرح,To come and go,يَذهب ويَجيء
غدا وراح,To go back and forth,الذهاب والإياب
ًغرارا,"In a hurry, hastily",على عَجَل، بِسُرعة
غرّب وشرّق,"To get around in the world, see the world",للتنقل في العالم، لرؤية العالم
ًغربا,"Westwards, towards the west",نحو الغرب
غربا ً بجنوب,"South-westwards, towards the south-west",نحو الجنوب الغربي
غ ُ رَّة الشهر,The first day of the month,اليوم الأول من الشهر
غرّر بنفسه,"To expose oneself to danger, risk one’s life",يُعَرِّض نَفسَه للخَطَر، يُخاطِر بحَياتِه
ُغَرَضٌ ت ُ حْدَى إليه الركائب,A goal much sought after or worth striving for,هدف يُسعى إليه بشدة أو يستحق الجهد لتحقيقه
غرفة األكل,Dining room,غرفة الطعام
غرفة التجارة,Chamber of commerce,غرفة التجارة
غرفة النوم,Bedroom,غرفة نوم
غرفة تلي السقف,A chamber under the roof,غرفة تحت السقف
غرّق السوقَ بِـ,To flood the market with,لإغراق السوق بـ
الغرور بنفسه,"Self-deception, self-delusion",خِداع الذات، وَهم الذات
غريب األطوار,"Of odd behaviour, whimsical, capricious, eccentric",ذو سلوك غريب، غريب الأطوار، متقلب، شاذ
غزا السوق,To flood the market,إغراق السوق
غزير المادة,"Well-informed, learned, well-read",مُطَّلِع، مُثَقَّف، قَارِئ نَهِم
غزير المواد,Offering a wealth of information,يُقَدِّم ثَروة من المعلومات
غ ُ شِيَ عليه,"To lose consciousness, faint",يَفقِد الوَعي، يُغمى عليه
ُغص بهم المكان,The place was overcrowded,كان المكان مُكتَظًّا بالناس
ًغصبا,"Forcibly, by force",بالقوة
غصبا ً عنه,"Against his will, in defiance of him",رَغْمًا عَنهُ، تَحَدِّيًا لَهُ
غصة الموت,Agony of death,سَكرات المَوت
غض النظرَ (الطرف) عنه,"To overlook, let pass, disregard something, pay no attention to something",تَجاهَلَ شيئًا
غض طرفَه,To lower one’s eyes,يُغَضّ البَصَر
غضبا ً لِـ,For the protection of,لحماية
غفر هللا له ما تقدم وما تأخر,God has forgiven all his sins,غَفَرَ اللهُ جميع ذُنُوبِهِ
ًغفرا,Pardon me! I beg your pardon!,عذرًا! أستميحك عذرًا!
(غ ُ ف ْ لٌ من اإلمضاء )التوقيع,"Unsigned, anonymous",غير مُوَقَّع، مجهول
غ ُ ف ْ لٌ من التأريخ,"Undated, bearing no date",غير مؤرخ، بدون تاريخ
ِغل ّ يدَه إلى ع ُ ن ُ قِه,Not to spend or give away anything,عدم إنفاق أو إعطاء أي شيء
غلب على الظن,"To be probable, be likely",أن يكون مُحتَمَلًا، من المُرجَّح
غ ُ لِب على أمره,He suffered a complete defeat,عانى من هزيمة كاملة
غلط الحس,"Illusion, deception of the senses",وَهم، خِداع الحَواس
غلطة كتابية,"Slip of the pen, clerical error",زَلَّة قَلَم، خَطَأ كِتابي
غل ّ ظ اليمين,To swear a sacred oath,لِيُقسِم قَسَمًا مُقَدَّسًا
غمرات الموت,Mortal throes,سَكَرات المَوت
َغمز الجرس,"To press the bell button, ring the bell",للضغط على زر الجرس، دُق الجرس
غمز قناته,"To sound someone out, probe into someone",استكشاف آراء شخص ما، التحري عن شخص ما
غمض جفونه على القذى,"To bear annoyance patiently, to grin and bear it, swallow the bitter pill",تحمل الإزعاج بصبر، تقبل الأمر بابتسامة، ابتلاع الحبة المرة
غمّض عينيه عن,"To shut one’s eyes to, over, towards, or in the face of",يُغمِض عينيه عن
غمطه حق َّ ه,"To encroach upon someone’s rights, refuse to recognise someone’s rights",التعدي على حقوق شخص ما، رفض الاعتراف بحقوق شخص ما
غَنِيٌ عن البيان,"Self-evident, self-explanatory",بَديهي، واضِح بِنَفسِه
غنيمة باردة,Easy prey,فريسة سهلة
غوامض أفكاره,S.o.’s innermost thoughts,أفكار شخص ما الداخلية العميقة
ًغيبا,"By heart, from memory",عن ظهر قلب
غيّبه الثرى,"The earth covered, or buried him",الأرض غطته أو دفنته
غيّبه عن الوجود,It drove him out of his mind,جَعَلَهُ يَفقِد صَوابَهُ
الغير,"The others, fellow men",الآخرون، زملاء الرجال
. . . غير أن,"Except that, however, but, yet...",إلا أن، ومع ذلك، لكن، ومع ذلك...
غير ذي موضوع,Not topical,غير مَوضوعي
غير عابئ,"Indifferent, unconcerned",غير مبالٍ، غير مهتم
غير قابل للعزل,"Irremovable, appointed for life tenure (judge)",غير قابل للإزالة، مُعيّن لمدى الحياة (قاضٍ)
غير قانوني,Illegal,غير قانوني
غير الوٍ على,"Reckless of, without regard for",مُتهَوِّر، دون اعتبار لـ
غير مبالٍ بـ,Heedless of,غافل عن
غير متناه,"Unlimited, unending",غير محدود، لا نهائي
ٍغير مُجْد,Useless,عديم الفائدة
غير مرة,"More than once, quite often, repeatedly, several times",أكثر من مرة، كثيرًا، بشكل متكرر، عدة مرات
غير مرضي,Unsatisfactory,غير مُرضٍ
غير مُصَدَّق,Incredible,لا يُصَدَّق
غير معقول,"Unintelligible, incomprehensible",غير مفهوم، غير قابل للفهم
غير مقيد,"Unlimited, unrestricted",غير محدود، غير مقيد
غير ممكن,Impossible,مُستَحيل
غير منظ ّ م,Irregular,غير منتظم
غير منظور,Invisible,غير مرئي
غير منقطع,"Incessant, unceasing, uninterrupted, continual",مُستَمِر، غَير مُنقَطِع، مُتَوَاصِل، دَائِم
غير واحد,"More than one, several",أكثر من واحد، عِدَّة
غير واقع,Untrue,غير صحيح
فات األوان,It is too late,لقد فات الأوان
فات الوقت,It is (too) late,إنه مُتأخِّر (جداً)
فاتته الفرصة,He missed the opportunity,فاتته الفُرصة
فاتح الشهية,"Stimulating the appetite, appetising",فاتح للشهية
فاته القطار,He missed the train,فاتَهُ القِطار
. . . فاته أن,"It escaped him that, he omitted, failed or forgot to, he failed to see that, he overlooked the fact that...",غاب عنه أن، أغفل، فشل أو نسي أن، لم يدرك أن، تغاضى عن حقيقة أن...
فاح منه شذا القداسة,He was reputed to be a holy man,كان يُشاع عنه أنه رجلٌ صالح
فاحم السواد,"Pitch black, jet-black",أسود حالك، أسود قاتم
. . . فإذا به,"There he beheld before him, there stood before him...",هناك رأى أمامه، وقف أمامه...
فارس حلبةٍ بِـ,"A master of, excelling or outstanding in",بارع في
فارع القامة,Tall and slender,طويل ونحيف
فاصل زمني,Interval (time),فَترة (زمنية)
فاضت أنفاسه,To give up the ghost,يَلفِظُ أنفاسَهُ الأخيرة
فاضت روحُه,"To give up the ghost, die",يَلفِظُ أنفاسَهُ الأخيرة، يَموت
فاضت نفسُه,To die,أن يَموت
فاضل بين شيئين,To compare two things in order to determine which deserves preference,لمقارنة شيئين لتحديد أيهما يستحق التفضيل
فاق بنفسه,"To expire, die, give up the ghost",يَلفِظ أنفاسه الأخيرة، يَموت، يَستَسلِم للرَوح
فاق هذا المبلغ مُرَت َّ بَه أضعاف أضعافه,This amount was many times as much as his salary,كان هذا المبلغ أضعاف راتبه بكثير.
فاقد التهذيب,"Unmannered, uneducated",غير مؤدب، غير متعلم
فاقد الشعور,"Unconscious, insensible, senseless",فاقد الوعي، غير مدرك، بلا إحساس
فاقد الضمير,Unscrupulous,عديم الضمير
فاقد النطق,Dumbfounded speech,كلام مذهول
