Idiom,Meaning,Meaning_trans
عائد األرباح,"Net profit, net gain",صافي الربح، صافي الربح
عبء اإلثبات,Burden of proof,عبء الإثبات
ًعبّأ جيشا,"To mobilise, call up an army",للتعبئة واستدعاء الجيش
عبارة عن,"Consisting in, tantamount to, equivalent to, meaning",تتكون في، تعادل، تعادل، تعادل، بمعنى
عبارة فعبارة,"Sentence by sentence, word by word",جملة بجملة، كلمة بكلمة
ًعَبَثا,"In vain, futilely, to no avail, uselessly, fruitlessly",عبثًا، بلا جدوى، بلا فائدة، بلا فائدة، بلا جدوى
. . . العبرة في,"The crucial factor(s) is (are), decisive is (are)...",العامل (العوامل) الحاسمة هي (هي)، الحاسم هو (هي).
عبس في وجهه,"To give someone an angry look, scowl at someone",أن ترمق شخصًا ما بنظرة غاضبة أو عابسة في وجه شخص ما
ُعَتَبَ بَابَه,To cross the threshold of someone,لعبور عتبة شخص ما
عتيق النمط,"Old-fashioned, outmoded",قديمة الطراز، عفا عليها الزمن
َعجّ الغبار,"To raise, swirl up (the dust)",لإثارة الغبار وإثارته (الغبار)
عَجَبٌ عجاب,"Most prodigious happening, wonder of wonders",أعجب ما يحدث، أعجوبة العجائب
ًعجبا,How strange! How odd! How astonishing! How remarkable!,يا للغرابة! كم هو غريب! كم هو مدهش! كم هو رائع!
ُ عُج َ ر ُ ه ُ وب ُ ج َ ر ُ ه,"His obvious and hidden shortcomings, all his (its) faults",عيوبه الواضحة والخفية، كل عيوبه (عيوبه) الواضحة والخفية
عجلة القيادة,Steering wheel (of an automobile),عجلة القيادة (للسيارة)
عَجَمَ عُودَه,"To try, test someone, put someone to the test",لتجربة، اختبار شخص ما، وضع شخص ما تحت الاختبار
عدّ األنفاسَ عليه,"To watch closely over someone, keep a sharp eye on someone, watch someone’s every move",مراقبة شخص ما عن كثب، ومراقبة شخص ما عن كثب، ومراقبة كل حركة يقوم بها شخص ما
عده على,"To put down, or charge, something to someone’s disadvantage",وضع، أو شحن، شيء ما في غير صالح شخص ما
عدا طورَه,To transcend one’s bounds or limits,أن يتجاوز المرء حدوده أو حدوده
عداوة الكار,"Professional jealousy, trade rivalry",الغيرة المهنية، والتنافس التجاري
عدة الساعة,"Clockwork, watchwork",عمل الساعة والساعات
عدة مرات,Several times,عدة مرات
عَدَت عليهم عواد,"Fate dealt them heavy blows, they fell on evil days",ضربتهم الأقدار بضربات قاسية، فوقعوا في أيام شريرة
َعدّد الميت,"To enumerate the merits of the deceased, to eulogise",لتعداد مزايا المتوفى وتأبينه
عدد خاص,"Special number, special issue",رقم خاص، عدد خاص، عدد خاص
عدد صحيح,"Whole number, integer (maths)",العدد الكلي، العدد الصحيح (رياضيات)
عدد عديد,"Enormous quantity, great multitude",الكمية الهائلة، والكثرة الكبيرة
عدد مشؤوم,Unlucky number,رقم غير محظوظ
عدل ببصره إلى,To let one’s eyes stray towards,أن يترك المرء عينيه تزيغ نحو
عدل به عن,"To make someone desist, abstain or turn away from",أن تجعل شخصًا ما يكف أو يمتنع أو يبتعد عن
عدل بينَهم,"To treat everyone with indiscriminate justice, not to discriminate between them",معاملة الجميع بالعدل دون تمييز بينهم، وعدم التمييز بينهم
ًعدال,"Equitably, fairly, justly",بإنصاف وعدل وإنصاف وعدل
عدم االتساع لِـ,Inadequacy for,عدم الملاءمة لـ
عدم االختصاص,Non-competency,عدم الكفاءة
عدم االشتباك في القتال,Non-intervention in battle,عدم التدخل في المعركة
عدم االلتفات,Inattention,الغفلة
عدم اإلمكان,Impossibility,الاستحالة
عدم االنحياز,Non-alignment (political),عدم الانحياز (سياسي)
عدم االهتمام,"Inattention, indifference",الغفلة واللامبالاة
عدم التنازل,Relentlessness,القساوة
عدم الكفاية الجنسية,Sexual impotence,العجز الجنسي
عدم الوجود,"Non-being, non-existence",عدم الوجود، عدم الوجود
عدم قبول التفرقة,Indivisibility,عدم التجزئة
(عدو أ َ ل َّ د )ل َ دُود,"Mortal enemy, archenemy",العدو اللدود، العدو اللدود
عدو لدود,"Foe, arch-enemy",الخصم والعدو اللدود
عديم الحياة,"Lifeless, inanimate",جماد لا حياة له ولا حياة
عديم الذ ّ مة,Without conscience,بدون ضمير
عديم الشعور,"Unfeeling, insensitive",عديم المشاعر، عديم الإحساس
عديم النظ َ ر,"Unparalleled, matchless, unique of his kind",لا مثيل له، لا مثيل له، فريد من نوعه
عديم النظير,"Unequalled, incomparable, unique",لا مثيل لها، لا مثيل لها، فريدة من نوعها
عَذ ْ ب الحديث,"Entertaining, amusing, companionable, personable",مسلية ومسلية ورفيقة وأنيقة وأنيقة
عِراقة النسب,Noble descent,النسب النبيل
عربة األطفال,Baby carriage,عربة أطفال
عربة الركوب,Hackney,هاكني
عربة الشحن,"Wagon, lorry, freight car",عربة، شاحنة، شاحنة، عربة شحن
عربة يد,"Pushcart, wheelbarrow",عربة دفع، عربة يدوية
عرض األزياء,Fashion show,عرض أزياء
عرض له خاطر,"A thought occurred to him, he had an idea",خطرت له فكرة، خطرت له فكرة
عرض له عارض,An obstacle arose in his path,ظهرت عقبة في طريقه
العرض والطلب,Supply and demand,العرض والطلب
ًعَرَضا,"Incidentally, by chance",بالمناسبة، بالمصادفة
عرّضه للنور,To hold something against the light,لإمساك شيء ما ضد الضوء
عرف حقَّ المعرفة,"To know for sure, be sure (of), be positive (about), know very well",أن تعرف على وجه اليقين، أن تكون متأكدًا (من)، أن تكون متأكدًا (من)، أن تكون متأكدًا (من)، أن تعرف جيدًا
عرفان الجميل,"Gratitude, thankfulness",الامتنان والشكر والعرفان
عرفان الفضل,"Gratitude, thankfulness",الامتنان والشكر والعرفان
عرفانا ً لحقها عليه,In recognition of what he owed her,تقديراً لما كان مديناً لها
عَرَفَت ْ له الجميل,"She was grateful to him, she appreciated his service, she gratefully acknowledged his service",كانت ممتنة له ومقدّرة لخدمته ومعترفة بخدمته بامتنان
العِرقُ دسّاس,"Blood will tell, what is bred in the bone will come out in the flesh",سيخبرنا الدم، ما يتربى في العظم سيخرج في اللحم
العروة الوثقى,"The firm, reliable grip or hold, the firm tie",القبضة أو القبضة الثابتة والموثوقة والربطة الثابتة
عُرَى الصداقة,Bonds of friendship,روابط الصداقة
عَرِيَ عن ثيابه,"To take off one’s clothes, strip (naked)",أن يخلع المرء ملابسه ويتعرى (عاريًا)
ٍ عَر ِ يَ عن كل أساس,"To be completely unfounded, be without any foundation",أن تكون بلا أساس على الإطلاق، أن تكون بلا أي أساس
عريق في القِدَم,"Ancient, centuries old",قديمة، عمرها قرون
. . . عَز َّ عليه أن,He is sorry that...,إنه آسف لأن...
عَزَبَ عن األذهان,"To be forgotten, sink into oblivion",أن تُنسى، تغرق في النسيان
عزة الجانب,"Power, might",القوة والجبروت
عزة النفس,"Sense of honour, self-esteem",الإحساس بالشرف واحترام الذات
عز ّ ز جانبَه,"To strengthen, reinforce, make something strong",لتقوية شيء ما وتقويته وجعله قوياً
عزله عن منصبه,To depose someone of his office,عزل شخص ما من منصبه
عزها,Her Highness (title),صاحبة السمو (اللقب)
عزيز الجانب,Powerful,قوية
عزيزي,Dear!,عزيزي!
عسى أن,"It might be, it could be that, maybe, perhaps",قد يكون، قد يكون، ربما، ربما، ربما
عسى أن يكون,What might be...?!,ماذا يمكن أن يكون...؟
. . . ( عَسِيٌ بِـ )أن,"It befits him (them) to or that he (they), it is proper from him (them) to or that he (they)...",يَلِيقُ بِهِ أَوْ يَلِيقُ بِهِمْ، وَيَلِيقُ مِنْهُ أَوْ يَلِيقُ بِهِمْ، وَيَلِيقُ بِهِمْ
ّعشاء رسمي,A formal dinner,عشاء رسمي
عشرات األلوف مئات األلوف,Tens of thousands Hundreds of thousands,عشرات الآلاف مئات الآلاف
عَشِية أمس,Last night,الليلة الماضية
عصابات الخطف,Bands of robbers,عصابات اللصوص
عصب الريقُ فاه,"The saliva dried in his mouth, clogged his mouth",جف اللعاب في فمه، وانسداد فمه
العصر الحاضر,"The present (time), our time",الحاضر (الوقت الحاضر)، وقتنا الحاضر
عصفور في اليد خير من ألف على الشجرة,A bird in the hand is worth two in the bush (proverb),عصفور في اليد يساوي عصفورين في الشجرة (مثل)
عِصمة النكاح,The bond of marriage,رابطة الزواج
عَصِي النطق,"Unable to speak, incapable of speech",غير قادر على الكلام، غير قادر على الكلام
عض بالنواجذ,To grit one’s teeth,صرير الأسنان
عض بالنواجذ على,To cling stubbornly to,للتشبث بعناد
عض على ناجذيه,To have reached the age of manhood,بلوغ سن الرجولة
عضده المتين,He is an indispensable aid to him,إنه عون لا غنى عنه له
عضّه الزمان عضه الدهر بِنَابِهِ,"Time, or fate, gave him a raw deal, heaped trials and tribulations upon him, he suffered reverses",لقد أذاقه الزمن، أو القدر، مرارة المحن والمصائب، وعانى من الانتكاسات
عضو أصلي,Regular member,عضو عادي
عضو مزروع,A transplanted organ,عضو مزروع
عَط َ فَ به على,"To incline, dispose someone towards, make someone appreciate something, bring something close to someone’s heart",أن تميل شخصًا ما إلى شيء ما، أو أن تجعل شخصًا ما يقدّر شيئًا ما، أو أن تجعل شيئًا ما قريبًا من قلب شخص ما
عطف به عن,"To dissuade, alienate someone from",لإثناء أو تنفير شخص ما من
عُفاشة من الناس,Worthless people,أشخاص لا قيمة لهم
عفو الخاطر,"Spontaneously, unhesitatingly, casually",بشكل عفوي، غير متردد، بشكل عرضي
عفو عام (شامل) عن,Amnesty,منظمة العفو الدولية
عفيف النفس,"Unselfish, selfless, altruistic",عدم الأنانية والإيثار ونكران الذات والإيثار
عقب آثاره,To tread in someone’s footsteps,أن تخطو على خطى شخص ما
عَقَبَة كأداء,Insurmountable obstacle,عقبة لا يمكن التغلب عليها
عقد الخنصر (الخناصر) على,"To give something a top rating because of its excellence, put something above everything else",أن تعطي شيئًا ما تصنيفًا أعلى بسبب تميزه، وتضع شيئًا ما فوق كل شيء آخر
عقد الزواج,Marriage contract,عقد الزواج
عقد العزمَ (العزيمة) على,"To make up one’s mind to do something, be (firmly) determined to do something",أن يعقد المرء العزم على فعل شيء ما، أن يكون عازمًا (بحزم) على فعل شيء ما
عقد النيةَ على,"To determine on something, resolve to do something, direct one’s intention to, decide on something",العزم على شيء ما، العزم على فعل شيء ما، توجيه النية إلى شيء ما، اتخاذ قرار بشأن شيء ما
عقد أ َ مَال ً على,"To pin, or set, one’s hope(s) on",أن يعلق أو يعلق المرء أمله (آماله) على
عقد جبهتَه,"To knit, or wrinkle, one’s brows, frown",أن يقبض، أو يجعد حاجبيه، ويعبس
ًعقد جلسة,To convene a session,لعقد جلسة
عقد خطبتها على,She became engaged to,أصبحت مخطوبة لـ
ًعقد زواجا,To contract a marriage,لعقد الزواج
ًعقد صفقة,"To conclude a bargain, effect a transaction",لإبرام صفقة، تنفيذ الصفقة
عقد على المرأة,To marry a woman,الزواج من امرأة
عقد لسانَه,To silence someone,لإسكات شخص ما
(عقد له لواء المجد )النصر,He was awarded the laurel of fame (of victory),حصل على غار الشهرة (من النصر)
عقد لواء الشيء,"To found, start, originate, launch, produce, kindle, provoke something",تأسيس، بدء، إنشاء، إطلاق، إطلاق، إنتاج، إشعال فتيل شيء ما
ًعقد محادثة,To strike up a conversation,لبدء محادثة
عقد ناصيته,To form a cordon,لتشكيل طوق أمني
عقد نطاقا ً حوله,To form a cordon around someone,لتشكيل طوق حول شخص ما
عقل لسانه,To tongue-tie someone speechless,لربط اللسان على شخص لا يستطيع الكلام
عقل مَسْبُوه,Impaired mind (especially due to old age),ضعف العقل (خاصة بسبب الشيخوخة)
عكر الصفو,"To destroy the untroubled state, disturb",لتدمير الدولة غير المضطربة، والإزعاج
َ عكر عليه الصفو,"To kill someone’s good spirits, spoil someone’s good humour",قتل الروح المعنوية لشخص ما، وإفساد روح الدعابة لدى شخص ما
عكس ذلك,"In contrast with that, contrary to that",على النقيض من ذلك، على عكس ذلك
عل لسانه,"From his mouth, through him",من فمه، من خلاله
عال االداة الصدأ,Rust has covered his tool,غطى الصدأ أداته
َعال السطح,To climb the roof,لتسلق السطح
عال به,"To raise something, or s.o, to exalt, extol someone",رفع شيء ما، أو تمجيد شخص ما، أو تمجيد شخص ما
. . . عال صوت ُ ه,"His voice rang out with, he exclaimed, aloud...","صرخ بصوتٍ عالٍ بصوتٍ عالٍ: ""يا إلهي!"
عالج نهائي,Extreme remedy,العلاج الشديد
عالم؟,Wherefore? What for?,لماذا؟ لماذا؟
عالمات التنصيص,Quotation marks,علامات الاقتباس
عالوة على,In addition to,بالإضافة إلى
علة العلل في,"The principal cause of, the deeper reason underlying",السبب الرئيسي، السبب الأعمق الكامن وراء
علة متنقلة,Contagious disease,الأمراض المعدية
العلة والمعلول,Cause and effect,السبب والنتيجة
علت السآمة,He was overcome by fatigue,غلبه التعب والإرهاق
ُّعلت به السن,"He had attained great age, he was an old man",كان قد بلغ من العمر أرذله، وكان شيخًا كبيرًا في السن
علت شفتيه رغوة,Foam appeared on his lips,ظهرت الرغوة على شفتيه
علت وجهه صفرة األموات,Deathly pallor suffused his face,غطى الشحوب المميت وجهه
عل ّ ق اآلمال على,To set one’s hopes on,أن يعلق المرء آماله على
عل ّ ق أهمية (خطورة) على,To attach importance to something,إيلاء أهمية لشيء ما
عل ّ ل اآلمال بِـ,To cherish the hope of,للاعتزاز بالأمل في
عل ّ ل نفسَه,"To indulge in the hope that, entertain or cherish the hope of or that",أن تنغمس في أمل أو تتسلّى أو تعتز بالأمل أو أن
عل ّ ل نفسه بآمال,"To indulge in hopes, to entertain vain hopes",الانغماس في الآمال، والتسلية بالأماني الباطلة
عل ّ له بالوعود,To put someone off with promises,تأجيل شخص ما بوعود
علم اإللقاء,Elocution,الكلام
علم الكالم,Scholastic theology,اللاهوت المدرسي
علم الالهوت,Theology,علم اللاهوت
العلم اللدني,Mystic knowledge,المعرفة الصوفية
علم اللغة,"Lexicography, philology, linguistics",علم المعاجم، فقه اللغة، علم اللغة، علم اللغة
علم تقويم البلدان,Geography,الجغرافيا
علم حقَّ العلم,"To know exactly, know very well",أن تعرف بالضبط، تعرف جيدًا
ًعلماً وعمال,Theoretically and practically,نظرياً وعملياً
علو الصوت,"Sound volume, sound intensity",حجم الصوت، وشدة الصوت
علو الكعب,"High rank, outstanding position",رتبة عالية، مكانة متميزة
علو الكلمة,"Supremacy, hegemony",التفوق والهيمنة
علو شاهق,Tremendous height,ارتفاع هائل
على (في) مُحَاذاة,"Alongside, parallel to",إلى جانب، بالتوازي مع
على (من) غرار,"Like, similar to",مثل، على غرار
على (مع) طول التمادي,In the long run,على المدى الطويل
على اتصال بِـ,In touch with,على اتصال مع
على أتم استعداد,"Fully prepared, totally ready",على أتم الاستعداد، وجاهز تماماً
على أتم ما يكون,"In the most perfect manner conceivable, as perfect(ly) as possible",بأكثر طريقة مثالية يمكن تصورها، بأقصى ما يمكن تصوره من الكمال (قدر الإمكان)
على أحر من الجمر,"On pins and needles, on tenterhooks, in greatest suspense or excitement",على أحر من الجمر، على أحر من الجمر، في أقصى درجات التشويق والإثارة
على أحسن ما يرام,To be as well as one can possibly wish,أن تكون على أفضل ما يتمنى المرء
على اختالف أحزابهم,Whichever faction they may belong to,أيًا كان الفصيل الذي ينتمون إليه
على ارتفاع ألف قدم عن سطح البحر,A thousand feet above sea level,ألف قدم فوق مستوى سطح البحر
على إزاء,In the face of,في مواجهة
على أساس,"On the basis of, on account of",على أساس
على أطراف قدميه,On tiptoe,على رؤوس الأصابع
. . . على اعتبار أن,"Considering (the fact) that, with regard to the fact that, in view of the fact that, on the assumption that...",بِاعْتِبَارِ (الْحَقِيقَةِ) بِاعْتِبَارِ أَنَّهُ عَلَى تَقْدِيرِ أَنْ
على أعظم جانبي من الخطورة,Of utmost significance,ذات أهمية قصوى
على أقساط,"By instalments, gradually",بالتقسيط، بالتدريج
على أقل تقدير,"At the lowest estimate, at least",عند أدنى تقدير، على الأقل
على أكثر تقدير,At most,على الأكثر
على األبد، إلى األبد، أبد الدهر,Forever,إلى الأبد
على األبواب,"Near, imminent",قريب، وشيك
على اإلجمال,"On the whole, in general",بشكل عام، وبشكل عام
على األخص,Especially,على وجه الخصوص
على األرجح,"Probably, in all probability",ربما، في جميع الاحتمالات
على اإلطالق,"Absolutely, unrestrictedly, without exception, in any respect, under any circumstances, unfriendly",بشكل مطلق وغير مقيد وبدون أي استثناء وبأي شكل من الأشكال، وتحت أي ظرف من الظروف، غير ودي
على األقدام,On foot,سيراً على الأقدام
على األقل,At the very least,على أقل تقدير
على األكثر,"At most, latest",على الأكثر، أحدث
على االنفراد,"Alone, apart, in solitude, singly, by oneself",وحده، منفردًا، منفردًا، في عزلة، منفردًا، بمفرده
على البديهة,Offhand,مرتجلاً
على التحديد,"To be exact, strictly speaking",على وجه الدقة، على وجه الدقة
على التحقيق,"Strictly speaking, properly speaking",بالمعنى الدقيق للكلمة، بالمعنى الصحيح
على التقريب,"Approximately, almost, nearly, about",تقريبًا، تقريبًا، تقريبًا، تقريبًا، تقريبًا
على التوازي,"Side by side, parallel",جنباً إلى جنب، بالتوازي
على التوالي,"Continuously, incessantly",بشكل مستمر ومتواصل
على الجملة,"In short, in a word",باختصار، وباختصار، في كلمة واحدة
على الحافر,"On the spot, right away",على الفور، على الفور
على الحِياد,Neutral,محايد
على الخصوص,"Especially, in particular, specifically, particularly",على وجه الخصوص، على وجه الخصوص، على وجه التحديد، على وجه التحديد
على الرأس والعين,"Very gladly, with pleasure, just as you wish",بكل سرور، وبكل سرور، تمامًا كما تتمنى
على الرُّحب والسَّعة,Welcome,أهلاً وسهلاً بك
على الرغم من أنفه,In spite of himself,على الرغم من نفسه
على السك ْ ت,"Silently, in silence",بصمت، في صمت، في صمت
على ألسنة الخاص والعام,"To be the talk of the town, be on everyone’s lips",أن تكون حديث المدينة، وأن تكون على لسان الجميع
على الشوك,"On tenterhooks, on pins and needles",على أحر من الجمر، على أحر من الجمر
على الشيوع,"In common, jointly, in joint possession",مشتركة، بالتضامن، في حيازة مشتركة
على الطائر الميمون,"Happy journey, Godspeed",رحلة سعيدة، بالتوفيق والسداد
على الط َّ وَى,"On an empty stomach, without having eaten",على معدة فارغة، دون تناول الطعام
على العين والرأس,"Very gladly, with pleasure",بكل سرور وبكل سرور
على الفور,Immediately,على الفور
على القياس,By analogy,بالقياس
على المشهور,"According to general belief, as it was generally understood",وفقًا للاعتقاد العام، كما هو مفهوم بشكل عام
(على المكشوف )بالمكشوف,"Openly, publicly, overtly, for everyone to see",بشكل علني، علني، علني، علني ليراه الجميع
على المأل,"Publicly, in public",علناً، في الأماكن العامة
على المودة,"Of the latest fashion, fashionable, stylish",من أحدث صيحات الموضة والعصرية والأناقة
على النقيض,On the contrary,على العكس من ذلك
على الواقف,"Instantly, on the spot",على الفور، وعلى الفور
على الوجه التالي,"In the following manner, as follows",على النحو التالي، على النحو التالي
على امتداد,"Along, alongside of",على طول، إلى جانب
على أملٍ أن,In the hope that,على أمل أن
. . . على أن,"On the condition that, provided that...",بشرط أن، شريطة أن...
. . . ّ على أن,"However, but, on the other hand, nevertheless, yet, still...",ومع ذلك، ولكن، ولكن، من ناحية أخرى، ومع ذلك، ومع ذلك، ومع ذلك، لا يزال...
على أهبَة االستعداد,"Fully prepared, on the alert",على أتم الاستعداد، وعلى أهبة الاستعداد
على أ ُ هبَة الرحيل,Ready to set out,جاهز للانطلاق
على أي حال,"In any case, at any rate, anyhow, by all means",على أي حال، على أي حال، على أي حال، بكل الوسائل
على أيدي الناس,With the help of other people,بمساعدة أشخاص آخرين
على بصيرة من األمر,"In cognisance of the matter, knowing the matter",على بينة من الأمر، مع العلم بالأمر
على بُعْد,"In the distant, far off",في البعيد البعيد البعيد
على بعد مائة متر,At a distance of 100 meters,على مسافة 100 متر
على بَك ْ رَة أبيهم,"All without exception, all of them",جميعهم بدون استثناء، جميعهم
على تخصيص,Specifically,على وجه التحديد
على تخمين,"Approximately, roughly",تقريبًا، تقريبًا
على تعاقب العصور,In the course of centuries,على مر القرون
على تواتر,"Successively, one after another",على التوالي، واحدًا تلو الآخر
على توالي األيام,In the course of time,مع مرور الوقت
على تؤدة,"Slowly, deliberately",ببطء وتعمد
( على ثقةٍ )من,"Trusting in, relying on, certain, sure",الوثوق في، الاعتماد على، متأكد، متأكد، متأكد
. . . على ثقة من أنه,He is certain that he...,إنه متأكد من أنه...
على جانب عظيم من األهمية,Of great importance,ذات أهمية كبيرة
. . . على جانب كبير من,He is very...,إنه...
على جبين السماء,In the sky,في السماء
على جنب,"Aside, apart",بصرف النظر، بصرف النظر
على حافة الخراب,"On the brink of ruin, on the verge of destruction",على حافة الخراب، على حافة الدمار
على حافة الهاوية,"On the verge of an abyss, on the rime of a precipice",على حافة الهاوية، على حافة الهاوية، على حافة الهاوية
على حد,"According to, commensurate with",وفقًا لـ، بما يتناسب مع
على حد سَواء,"In the same manner, likewise",وبالطريقة نفسها، وبالمثل
على حد سوى,"In the same manner, likewise",وبالطريقة نفسها، وبالمثل
على حد ضيّق,"Within narrow confines, on a limited scope",ضمن حدود ضيقة، على نطاق محدود
على حد قوله,"According to his statement, in his own words",وفقًا لبيانه، على حد تعبيره
ٍعلى حِدَة,"Alone, by oneself, apart from others, detached, isolated",وحيدًا، بمفرده، منفردًا، بعيدًا عن الآخرين، منفصلاً، معزولًا
على حذر,"Cautiously, warily",بحذر، بحذر، بحذر
على حرف,"Irresolute, wavering, on the fence",غير حازم، متردد، متردد، على الحياد
على حساب فالن,At someone’s expense,على حساب شخص ما
على حسابه,At his expense,على نفقته
ِعلى حَسَب,"According to, in accordance with, commensurate with, depending on",وفقًا ل، وفقًا ل، وفقًا ل، بما يتناسب مع، اعتمادًا على
على حق,To be in the right,أن تكون على حق
ٍعلى حَيْدَة,"Aside, apart, to one side",جانبًا، بعيدًا، إلى جانب واحد
على حَيْلِه,"Upright, erect",مستقيماً ومنتصباً
على حين أن,"At the same time when, whereas",في نفس الوقت الذي
على حين غِرَّة,"Unexpectedly, inadvertently, surprisingly",بشكل غير متوقع وغير مقصود ومفاجئ
على حين غفلة,"Suddenly, all of a sudden, unexpectedly, surprisingly",فجأة، وبشكل مفاجئ، وبشكل غير متوقع، ومفاجئ، ومدهش
على حين هم يزعمون,"Whereas they, on the other hand, claim",في حين أنهم، من ناحية أخرى، يزعمون أن
على خاطرك,As you like,كما تحب
على خط مستقيم,"Straightaway, in a straight line, outright, out and out",مستقيم، في خط مستقيم، مستقيم، مستقيم، خارج وداخل
على خالف ذلك,"Unlike that, contrary to that, on the contrary",على العكس من ذلك، على العكس من ذلك، على العكس من ذلك
ٍعلى خلوة,"Alone, in seclusion",وحدك، في عزلة
على دراية,In full cognisance of the situation,في إدراك تام للوضع
على ذلك,"In this manner, thus",وبهذه الطريقة، فإن
على ذمّتي,On my honour,على شرفي
على رأي المثل,As the proverb says,كما يقول المثل
على رؤوس األشهاد,"In public, for all the world to see",على الملأ، ليراها العالم أجمع
على سبيل,"As, by way of, for",كما، عن طريق
على سبيل االحتياط,"As a precaution, to be on the safe side",وكإجراء احترازي، وللاحتياط، لكي تكون في الجانب الآمن
على سبيل االختبار,Experimentally,تجريبياً
على سبيل التجربة,"For a try, tentatively",للتجربة، مبدئياً
على سبيل الحصر,Exhaustively,على نحو شامل
على سبيل الفكاهة,For fun,للمتعة
على سبيل المجاز,"Figuratively, metaphorically",مجازيًا واستعاريًا
على سنه قوي,He bears his years well,يتحمل سنواته بشكل جيد
على شاكلة,"In the manner of, of the kind of, like",على نحو، من نوع، مثل، من نوع، مثل
على شاكلتهم,"Of their kind, like them",من نوعهم، مثلهم
. . . على شرط أن,On the condition that...,بشرط أن...
. . . على شريطة أن,On the condition that...,بشرط أن...
على شفا مجاعة,On the verge of a famine,على حافة المجاعة
على شَف ْ رَة الهاوية,On the brink of the abyss,على حافة الهاوية
على شيء كثير من,"Very, extremely",جداً جداً جداً
على شيء كثير من البساطة,Very simple,بسيط جداً
. . . على شيء من,To have certain...,للحصول على بعض...
على شيء من الذكاء,To have a good deal of intelligence,أن يكون لديك قدر كبير من الذكاء
على صحن الخد,On the (surface of the) cheek,على (سطح) الخد
على صعيد واحد,"Congenial, like-minded, kindred in spirit, agreed",ودود، متشابه في التفكير، متشابه في الروح، متفقون في الروح، متفقون
على صواب,He is right,إنه على حق
على صيحة,Within shouting distance,على مسافة قريبة
على ضوء,"In light of, under the circumstances of, as seen from, according to",في ضوء، في ظل ظروف، كما رأينا من، وفقًا لـ
على طرف الث ُّ مَام,"Within easy reach, handy",في متناول اليد، وفي متناول اليد
على طوع منها,"Her obeying, without opposition on her part",طاعتها، دون معارضة من جانبها
على طول,"Along, alongside of",على طول، إلى جانب
على طول الخط,All along the line,على طول الخط
(على ظهر )األرض، الماء,"On the ground, on the water...",على الأرض، على الماء...
على ظهر الباخرة,Aboard the steamer,على متن الباخرة
على ظهر الخيل,On horseback,على ظهور الخيل
على عادته,"According to his habit, as was his wont, as he used to do",وفقًا لعادته، كما كانت عادته، كما اعتاد أن يفعل
على عجل,"In a hurry, hurriedly, speedily",على عجل، على عجل، على عجل، بسرعة
. . . على عقب,Immediately after...,بعد ذلك مباشرة...
على عكس ذلك,"In contrast with that, contrary to that",على النقيض من ذلك، على عكس ذلك
على عالته,"In spite of his weaknesses, such as he is",على الرغم من نقاط ضعفه، كما هو حاله
على عندي,Against me,ضدي
على عهد,At the time of,في وقت
على عهده,At or in his time,في أو في عصره
على غرار,"In a hurry, hastily",في عجلة من أمرك، على عجل
على غرار واحد,"After one pattern, alike, likewise",بعد نمط واحد، على حد سواء، بالمثل
على غَرَارة,In the like manner,وبالمثل
على غرة,"Unexpectedly, inadvertently, surprisingly",بشكل غير متوقع وغير مقصود ومفاجئ
على غفلة,"Suddenly, all of a sudden, unexpectedly, surprisingly",فجأة، وبشكل مفاجئ، وبشكل غير متوقع، ومفاجئ، ومدهش
على غير انتظار,Unexpectedly,بشكل غير متوقع
على غير جدوى,"Of no avail, useless, futile, in vain",بلا فائدة، بلا جدوى، بلا فائدة، بلا جدوى، بلا جدوى
على غير شعور منه,Without his being aware of it,دون أن يكون على علم بذلك
على غير معرفة منه,"Without his knowing about it, without his knowledge, unwittingly",دون علمه بذلك، ودون علمه، وبدون قصد منه ودون قصد منه
على غير ميعاد,Untimely,في غير وقته
على غير هداية,"Without divine guidance, aimlessly, at random",بدون إرشاد إلهي، بلا هدف، وبشكل عشوائي
على غير هدي,"Aimlessly, at random",بلا هدف، بشكل عشوائي
على غير وجهه,"Improperly, incorrectly",بشكل غير صحيح، بشكل غير صحيح
. . . على فرض أن,"On the assumption that, supposing that, on the premise of...",على افتراض أنه، على افتراض أنه، على افتراض أن، على فرضية
على قاب قوسين,"Quite near, very close, imminent",قريب جداً، قريب جداً، وشيك جداً
على قارعة الطرق,On the open road,على الطريق المفتوح
على قدر اإلمكان,"As far as possible, as much as possible, in the best way possible, to the best of one’s abilities",بقدر المستطاع، وبأفضل طريقة ممكنة، وبأفضل طريقة ممكنة، وبأفضل ما يمكن للمرء أن يقوم به
على قدر المستطاع,"As far as possible, as much as possible, in the best way possible, to the best of one’s abilities",بقدر المستطاع، وبأفضل طريقة ممكنة، وبأفضل طريقة ممكنة، وبأفضل ما يمكن للمرء أن يقوم به
على قدر سَعتي,To the best of my abilities,على قدر استطاعتي
على قدر طاقته,According to his capability,وفقاً لقدرته
على قدر ما,"To a certain extent, relatively",إلى حد ما، نسبيًا
على قدم األهبة واالستعداد,In a state of extreme alertness,في حالة من اليقظة الشديدة
على قدم الحَذ َ ر,"Anxious, timid, fearful",القلق والخجل والخوف
على قدميه,On foot,سيراً على الأقدام
على قده,"Of the same size, of equal size, just as (large)",من نفس الحجم، متساويان في الحجم، تمامًا مثل (كبير)
على قرب لمحة,In a moment,في لحظة
على قيد ساعات معدودة,Within a few hours,في غضون ساعات قليلة
