Idiom,Meaning
فكيف بِـ,Just imagine how much more (or less)...!
فل حديده,"To weaken someone, to dampen, subdue someone"
فلّ غربَه,"To weaken someone, to dampen, subdue someone"
فلّ من حدّته,To weaken someone
فلّ من شَبَاه,To weaken someone
ِفالن في مَبَاذِلِه,So-and-so in his private life
فِلذة كبده,"His own blood, his own child"
فما فوقه,"And upwards, and more (than that)"
فما هي إال أن همّ حتى فعل,He had no sooner made his plan than he carried it out
فهم حق الفهم,"To fully understand, be fully aware"
فَهِمَ عنه,"To understand someone, understand what someone says or means"
فوات األجل,Expiration of the deadline
الفواكه على اختالفها,Fruits of every kind
فوائد جمة,"Numerous advantageous, ample benefits"
ًفورا,"At once, right away, instantly, immediately"
فوز نهائي,Ultimate triumph
فوق الحد,"Boundless, infinite, excessive"
فوق الطبيعة,Supernatural
فوق العادة,"Extraordinary, unusual, uncommon, exceptional"
. . . فوق أنه,"In addition to the fact that it, beyond its being..."
فوق ذلك,"Moreover, besides, in addition to that, furthermore"
فوق شهور ال ت ُ قَدِّم وال ت ُ ؤَخِّر,A difference of a few months which is of no consequence
في الغد,"Tomorrow, the following day"
في أثره، على أثره,"On his (its) track, immediately afterwards"
في أثناء,"During, in the course of, meanwhile, in the meantime"
في إجماله,"As a whole, in its entirety"
في أجواز,"Amid, in the middle of"
في أجواز الفضاء,In space
في أحشاء,"In the interior of, within, in"
في أحضان,"Amid, among, in the presence of someone"
في أحضان الصحراء,In the heart (or folds) of the desert
في أحيان كثيرة,"Frequently, often"
في آخر المطاف,"In the long run, finally"
في أصل األمر,"Originally, at first, actually"
في إطار,Within the scope of
في أطواء,In
في إعراض,Reluctantly
في أعقاب الشهر,At the end of the month
في أعقاب الليلة,"At daybreak, immediately after night was over"
في أغلب األحيان,"Mostly, most of the time, in most cases"
في أغلب الظن,"Most likely, most probably, in all probability"
في أفضل الحاالت,"In the best case, at best"
في أقرب وقت ممكن,"In the quickest time possible, in the earliest opportunity"
في أقلَّ من لمح البصر,"In the twinkling (blink) of an eye, in a moment, in a flash, instantly"
في أكثر الظن,"Most probably, most likely"
في أكنافه,"Under his protection, under his sponsorship"
في األحايين,"At times, once in a while"
في األصل,"Originally, at first, actually"
في األغلب,"In most cases, in general"
في األغلب واألعم,"In most cases, in general"
في األمر شيء,"There is something wrong, there is a fly in the ointment"
في األمر غلط,"There is a but in the case, there is a hitch somewhere"
في اإلمكان,In the realm of possibility
في اآلونة األخيرة,Recently
في التو,"Straight, directly"
في الحال,"On the spot, immediately"
في الحَل ْ قَة السادسة من عمره,"In the sixth decade of his life, in his fifties"
في الخارج,"Abroad, in foreign countries, outside"
في الخَفَاء,Secretly
في الخالء,"Under the open sky, outdoors, in the open air"
في الخلف,"To the back, at the back"
في الرابع من الحالي,On the fourth of the current month
في السابق,"Formerly, at one time, once"
في السراء والضراء,"In good and bad days, for better or for worse"
في الصباح الباكر,Early in the morning
في الصدر,In the foreground
. . . في الطاقة,It is possible to...
في الطليعة,"In front, at the head, in the lead"
في الظاهر,"Apparently, obviously, evidently"
في العاجل واآلجل,Now and in the future
في العَرَاء,"In the open air, outside, outdoors"
في الغالب,"Mostly, in most cases, in general, generally"
. . . في ألف شاغل عن,He had a thousand other things to think of than...
في الفترة بعد الفترة,"At certain intervals, now and then, off and on, once in a while"
في الفينة بعد الفينة,"From time to time, now and then, once in a while, sometimes"
في القاصية والدانية,Near and far
في القديم,In ancient times
في القريب العاجل,"In the near future, in the immediate future"
في المدى األخير,"After all, when all’s said and done, in the last analysis"
في المشرقين وفي المغربين,"All over the world, throughout the world"
في المصلحة والمفسدة,"In good and bad times, for better or for worse"
في المظهر,"Externally, in outward appearance, outwardly"
في المغربين وفي المشرقين,All over the world
في المُوَّفَى عشرين من الشهر,On the twentieth day of the month
في المئة,Per cent
في النادر,Rarely
في النعماء والبأساء,In good and bad days
في النهاية,"In the end, at last, finally, ultimately"
. . . في النية أن,It is intended to...
في الهواء الطلق,"Outdoors, in the open, under the open sky"
في الهوى,In love
في الوسط,"In the very centre, midway, of medium quality"
في الوقت الحاضر,"At present, now"
( في الوقت نفسه )في نفس الوقت,"At the same time, simultaneously"
في الوهلة األولى,"At first, first off"
في اليد,"In hand, on hand, available"
. . . في إمكانه أن,"It is in his power, he is in a position to..."
في انتظام,"Methodical, systematic"
في أنحاء األرض,All over the world
ٌفي أنفه وَرَم,He is stuck up
في أواخر,"Towards the end, at the end of"
في أواخر الشهر,The end of the month
في أواخر العشرينات,At the end of the twenties
في أواسط هذا األسبوع,In the middle of this week
في أوانه,At the right time
في أوائل الخمسينات,In the beginning of the fifties
في أوائل الشهر,In the beginning of the month
في أول األمر,"In the beginning, at first"
في أول وقت,"One these days, at the first opportunity"
في بادئ األمر,"At first, in the beginning"
في بادئ الرأي,"Beginning with the first impression, right away"
في باطن األمر,"At bottom, after all, really"
في بحبوبة من,Amidst
في بحر,"In the course of, during"
في بحر سنتين,In the course of two years
في بداية األمر,"In the beginning, at first"
في بطانة,"Among, amidst, within"
في بطن,"In, within, in the midst of"
في بطون,"Inside, within, in"
في بعض األحيان,"Sometimes, occasionally"
في بعض األوقات,"At times, sometimes"
في بعض الطريق,"On the way, after passing a certain stretch of the way"
في بعض النهار,"Sometime during the day, at a certain time of day"
في بعض الوقت,Sometimes
ِفي بُه ْ رَة,"Middle, centre, amidst"
في بيضة الصيف,In the heat of summer
في بيضة النهار,In broad daylight
في تالفيف الظالم,In the dark
في تالفيف سويدائها,In the depth of her heart
في تلك األثناء,"Meanwhile, in the course of"
في تمام الساعة السادسة,At six o’clock sharp
في ثنايا,"In, inside, among, between"
في ثنايا الكتب,In the books
في ثنايا نفسه,"In his heart, inwardly"
في ثوب بسيط,"In plain, homely form"
في جانب,"With regard to, as compared with"
في جَفَاف,"In a cold, unemotional tone"
في جنبات البيت,All over the house
في جنبات المدينة,Throughout the whole town
في جَنَبَاتِه,"In it, inside"
في جُن ْ ح الليل,"In the dark of night, under the cover of night"
في جوانب الدار,All over the house
في جوف,"Inside, in the middle of"
في جوف الليل,In the middle of the night
في حال من األحوال,"If occasion should arise, anyway"
في حالة,"In case of, in the event of"
في حالة الوفاة,In case of death
في حالة حرب,In a state of war
في حالة غيابه,In case of his absence
في حالة ما إذا,If
في حد ذاته,"In itself, as such"
ٍفي حِد َّ ة,"Sharply, keenly"
في حدود,"Within, within the framework"
في حركاته وسكناته,"In all his doings, in every situation"
في حِصَّةٍ وجيزة,In a short time
في حضرة,In the presence of
في حظيرة,"Inside of, within"
في حقيقة األمر,"In reality, actually"
في حكم العدم,"It is as good as nothing, it is practically non-existent"
في حكم,"As good as, all but"
في حنايا صدره,In his bosom
في حنايا نفسه,Deep inside him
في حوزة يده,In his possession
في حوزته,In his possession
ٍفي حَيْرَة,"Embarrassed, at a loss, helpless"
في حيز اإلمكان,"Within the realm of possibility, quite possible"
( في حين )يفعل,Whereas he does
في حين أن,"At the same time when, whereas"
في حينِه,"Then, at the time"
في خاصة أنفسهم,At the bottom of their hearts
في خدمة شيء,In the service of something
في خدمتكم,At your service
في خصوص,"As to, with respect to, as regards, concerning"
في خَط ْ فَة البَرْق,"Instantly, like a bolt of lightning"
في خَف ْ ضٍ من العيش,To live in ease and comfort
ٍفي خ ُ فية,"Covertly, secretly"
في خالل,"During, in the course of, within"
في خالل ذلك,"Meanwhile, in the meantime"
ٍفي خ ُ ل ْ سَة,"Unobtrusively, unnoticeably"
في خَل َ ل,"During, in the course of, within"
في ذلك مَقنَع له,"That is enough for him, he may content himself with that"
في رأيي,In my opinion
في ريعان النهار,In broad daylight
في ساعة مبكرة,At an early hour
في سبيل,"For the sake of, for, in behalf of, in the interest of"
في سبيل هللا,"For the cause of God, in behalf of God and His religion"
في سركم,To your health! Cheerio! Skoal!
في سره,"Secretly, inwardly, in his heart"
في شأن,To be concerned with a matter
في شبه عزلة تامة,"All but completely isolated, as good as completely isolated"
( في شغل )من,"Preoccupied with, concerned about"
في شغل بِـ,"Busy, occupied with"
في شيء، بشيء,"Not in any way, in no way, by no means, not at all, not in the least (in negative sentences)"
في صدد,"Concerning, regarding, with respect to"
في صعيد واحد,"On a common basis, on common ground, on equal footing, without distinction, indiscriminately"
ِفي صُلبِه,"At heart, in his innermost"
ٍفي صَمْت,"Silently, quietly"
في صميم,"Amid, in"
في صوت واجف,In a tremulous voice
في صورة آدميين,In human shape
. . . في صورة ما إذا,In case that...
في صورة مصغرة,"On a reduced or small scale, in miniature"
في طرْفةِ عين,"In the twinkling of an eye, instantly"
في طوايا,"Inside, within, in, amid"
في طول البالد وعرضها,"Throughout the country, all over the country"
في طي الغيب,"Secretly, covertly"
في ظاهر األمر,"Seen outwardly, externally"
في ظل,"Under the protection or patronage of, under the auspices of, under the sovereignty of"
في عاجله أو آجله,Sooner or later
في عارض الطريق,In the middle of the road
في عداد,Among
في عدادهم,"To be counted among them, he is one of them"
في عُرْضِ البحر,"At sea, on the high seas"
في عرض الناس,Amid the people
ِفي ع ُ ر ْ فِه,"As was his habit, according to this habit"
في عز شبابه,In the prime of his youth
في عُزل َ ة عن,"Secluded, segregated, detached, cut off, isolated from"
في عصمة فالن,"Under someone’s custody, protection or power, married to someone"
في عُق ْ ر الدار,Within the house itself
في عُق ْ ر داره,In his own house
في عقر ديارهم,"Within the country, in their own country, on their own ground"
في عموم القطر,Throughout the country
في عُنف ُ وَان شبابه,In the prime of his youth
في عهد فالن,During someone’s lifetime
في عُهدته,"In his care, custody, entrusted to him"
في غاية اإلتقان,"To greatest perfection, of excellent workmanship"
في غرة العام,At the beginning of the year
في غضون ذلك,"Meanwhile, in the meantime"
في غضون,"In the course of, during, within"
في غنى عنه,"To do without him, he can dispense with it"
في غير أوانه,"The wrong time, untimely"
في غير حاجة,Unnecessarily
في غير ما,Without
في غير ما تهيُّب,Without fear
في غير محله,"Improper, out of place"
في غير مظانه,In places where he couldn’t possibly be
( في غير مواربة )بدون مواربة,"Unequivocally, in no uncertain terms"
في غير موضعه,In the wrong place
في غير وعي,"Unnoticed, without being noticed"
في غير وقته,"At the wrong time, untimely"
في فترات متباعدة من الزمن,"At infrequent intervals, from time to time"
في قائم حياته,During his lifetime
في قبضة يده,"In someone’s possession, in someone’s hands, in someone’s power"
في قبضته,"In someone’s possession, in someone’s hands, in someone’s power"
في قرارة النفس,In the depth of the heart
في كثير من األوقات,"Frequently, often"
في كفالة فالن,"Under the protection or tutelage of someone, in someone’s custody"
في كل اعتبار,In every respect
(في كل المعمور )العالم,All over the world
( في كل أنحاء المعمور )المعمورة,"All over the world, throughout the world"
في كل جانب,"Everywhere, on all sides"
في كل صوب وحدب,"Every place, everywhere, all over, in all quarters"
في كل عصر ومصر,"Always and everywhere, at any time any place"
في كل متجه,"In all directions, all fields, in every respect."
في كل مكان,Everywhere
في كل مناسبة,Whenever an opportunity arises
ٍفي كل واد,"On all sides, everywhere"
في كَنَف,"Under cover of, in an atmosphere of"
في لحظة,"In a moment, instantly"
في لمح البصر,"In the twinkling (blink) of an eye, in a moment, in a flash, instantly"
في لمح البصر,"Like lightning, in a trice, instantly, in no time"
في ليلة ليالء,"In the dark of night, under the cover of night"
في مَبْرَقِ الصبح,The first rays of the morning sun
في متناول الجميع,Within everybody’s means
في متنوال كل األفهام,"Comprehensible to all, understood by all"
في متنواله,"Attainable to someone, within someone’s reach"
في مجلسه,"In someone’s presence, in someone’s company"
في محل ِّ ه,"In his place, in his stead"
في مختلف المجاالت,In various fields
في مدة,"Within the course of, during"
في مسيس الحاجة إلى,To be in urgent need of
في مصلحة فالن,In someone’s interest
في مطاوي,"Inside, within, in, amid"
في مطاويه,"Inwardly, at heart, in his bosom"
في مَعرِض,"In the form of, in... manner, on the occasion of, at the occurrence or appearance of"
ِفي مُعظمِه,"Mostly, for the most part, largely"
في مقتبَل العمر,In the prime of life
. . . في مقدوره أن,"To be able to, be capable of, be in a position to, have the possibility to..."
( في مناسبة )لمناسبة، بمناسبة,On the occasion of
في منتصف الطريق,"Halfway, midway"
في منصَرَف النهار,"At the parting of day, at day’s end"
في مهب الرياح,"Storm-swept, exposed to storms, threatened by storms"
في مهبط الغروب,At (the time of) sunset
في موضع واحد,In one and the same place
في موضعه,"In the right place, time, convenient"
( في ميعاده )في الميعاد,"On time, punctually"
في نجوة من,"Free from, far from, a long way from"
في نحو الساعة السابعة,Around seven o’clock
في نصابه,"In its proper place, in good order, perfectly all right"
في نظري,"In my eyes, in my opinion"
في نفس األمر,"In reality, actually, in fact"
في نَفَس من أموره,He acts according to his own desires
في هذا األمر نظر,"This matter calls for careful study, will have to be considered"
في هذا الباب,"About this, about this matter"
في هذا الصدد,"In this respect, with regard to this, with relation to this, on this occasion, in this connection"
في هذا المجال,In this connection
في هذا المقام,On this occasion
في هذا كفاية,"Enough of that, that’s enough"
في هذه األثناء,"In the meantime, meanwhile"
في هذه الحالة,In this case
في هذه اللحظة,At that moment
في واقع األمر,"In effect, indeed, as a matter of fact, actually"
في وَسَطٍ من,"In the middle or midst of, within"
في وسطنا,"In our midst, among us"
. . . في وُسعِهِ أن,"It is in his power to, he can..."
َفي وُسعِي أن أقول,I can say
في وضح النهار,In broad daylight
فياض الخاطر,"Brilliant, overflowing with ideas"
فيما,"While, in that, as"
فيما إذا,"In case that, if"
فيما اعتقد,As I believe
ُ فيما أعهَد,"To my knowledge, as far as I know"
فيما بعد,"Afterwards, later"
فيما بين ذلك,"Meanwhile, in the meantime"
فيما بينهم,"Among themselves, among them"
فيما بيني وبين نفسي,"In my heart, at heart, inwardly"
فيما عدا,"Except, save, with the exception of, excepting"
فيما عدا ذلك,Besides
فيما له مساس بِـ,"Concerning, regarding"
فيما لو,In case that
فيما مضى,"In the past, formerly, before"
فيما مضى من الزمان,"Formerly, previously, in the past"
فيما يتعلق بـ,"With regard to, as to, regarding, concerning"
فيما يلي,"In the following, in what follows, below"
الفَينة بعد األخرى,"From time to time, now and then, once in a while, sometimes"
الفَينة بعد الفَينة,"From time to time, now and then, once in a while, sometimes"
فيه (به) ل ُ وثة,"He is a little crazy, he has a bee in his bonnet"
فيه لمحة من أبيه,He looks like his father
فيه مالمح من أبيه,He has his father’s features
قابض على األمر,"Ruler, potentate, monarch"
قابل لِـ,"Subject to, liable, susceptible to"
قابل للرجوع,Irrevocable
قابل للشفاء,Curable
قابل للموت,Mortal
قابله بالمِثل,To return like for like
قابله على الرحب والسَّعَة,To welcome someone or something
قابلية القسمة,Divisibility
قاتله هللا,Damned bastard!
قادة الفكر,Leading thinkers
قاذفة النار,Flamethrower
قارب التنقيب عن األلغام,Minesweeper
قارب مسلح,Gunboat
قارب ناري,Motorboat
قارب نجاة,Lifeboat
قارعة الطريق,Middle of the road
قارن بين شيئين,"To compare two things, draw a parallel"
القارئ الكريم,The gentle reader
قاسى األلواء واللأ ّ واء,To die a thousand deaths
قاسى األمرين,"To go through the worst, be exposed to the greatest hardships"
قاسى بين شيئين,To compare two things
قاسي القلب,"Hard-hearted, callous, pitiless, cruel"
قاصر اليد,"Helpless, impotent, parsimonious, niggardly"
قاصرة الطرف,"Chaste, demure, modest (of a woman)"
قاصمة الظهر,"Mortal blow, catastrophe"
القاصي والداني,"Everybody, all people ( lit. the distant one and the near one)"
قاطع الطريق,"Brigand, waylayer, highway robber"
قاطعه الحديث,"To interrupt someone, cut someone short, cut in on someone’s talk"
قاع النهر,Riverbed
قاعد عن العمل,"Slacker, inactive, idle"
قاعدة البالد,Capital of the country
قاعدة مطردة,General rule
قال برأسه,"To motion with the head, signal, beckon"
. . . قال بصوت ملؤه الشفقة,He said in a voice full of mercy...
. . . قال في جملةِ ما قاله,"Among other things, he said..."
قال في مِعْرَاض كالمه,"To mention casually, say among other things"
قال كلمته,"He said what he had to say, he had his say"
قال وهو يبتسم,He said with a smile
قالب جُبن,Chunk of cheese
قالب سكر,Sugar loaf
قالب صابون,Bar of soap
قام البرهان على,Proof had been furnished for
قام الحق,Truth became or was manifest
قام إلى,To go to
قام بِـ,"To consist in, be founded on, be based, to carry out, execute, perform"
قام بأعباء الحكم,To assume the burdens of government
قام بالتزاماته,To meet one’s obligations
قام بالمصاريف,"To defray the costs, pay the expenses"
قام بالواجب عليه,To do one’s duty
ِقام بأوَدِه,"To provide for someone’s needs, stand by someone in time of need"
ٍ قام بدور,To play a part
قام بشأنه,"To take care of someone, look after someone, take someone under one’s wing"
قام بوعده,To keep one’s word
قام على,"To be built on, to manage, tend, guard"
قام على قدم وساق,"To become fully effective, be in full progress, be in full swing"
قام عليه,To rise or turn against someone
قام في وجه فالن,"To stand up to someone, take a stand against someone"
قام في وجهه,"To resist, oppose, defy someone"
قام له,To rise in honour of someone
قام مقامَه,"To replace someone, substitute for someone, take someone’s place, replace something"
قام منه مقامَه,To take the place of something with someone
قام وقعد,"To be in a state of great anxiety, be seriously upset, be very agitated"
قام يفعل,To begin to do something
ٍ قامت الحرب على ساق,"The war was or became violent, war broke out"
قامت الصالة,Time of prayer has come
قامت قيامته,"To get excited, get angry, become furious, all hell broke loose in it"
( قامت قيامته لِـ )عن,"To be upset, be shocked, be violently agitated by something"
( قامت قيامته لِـ )مِن,"To be upset, be shocked, be violently agitated by something"
قامر على,"To bet, speculate on"
قامر على الجواد الخاسر,To bet on the wrong horse
قاموا قومة رجل واحد,They rose to a man
قاموا لمعاونتِنَا,They set out in our support
قانون األساسي,Constitutional law
قائم الزاوية,"Rectangular, right-angled"
قائم بالذات,Self-existent
قائم بذاته,Self-existent
قائم برأسه,Self-existent
قائم بنفسه,Self-existent
قائم على,"Revolting, rebelling against, vertical to, perpendicular to"
قائم وحصيد,Everything without exception
قائمة الطعام,Menu
قبّح عليه فعل َ ه,"To denounce someone’s action as ugly, ignominious, shameful"
َقبض البطن,To constipate the bowels
(قبض الصدرَ )النفس,"To oppress, deject, dishearten, dispirit, depress"
(قبض هللا روحه )قبضه هللا,God made him die
قبض على أزمة األمر,To hold the reins of power
القبض والدفع,Revenues and expenditures
قبض يدَه عن,"To keep oneself from seizing someone or something, to be stingy towards"
قبضة اليد,Fist
ق ُ بِضَت روحُه,To die
قبقاب االنزالق,Skates
َقبل,"Before, prior to"
ق ُ بُل,"Fore part, front"
قِبَل,"Power, ability"
قِبَل,"In the presence of, near, in the direction of"
قبل اآلن,"Before, previously, formerly"
قَبِلَ الذهابَ معي,He was willing to go with me
قبل الظهر,"In the forenoon, a.m."
قبل أن,Before
قبل أوانه,Prematurely
قَبِلَ شَك ّ ا,To admit doubt
قبل فوات الوقت,Before it is too late
قبل كل شيء,"First of all, above all"
قبل مجيئه بساعة,An hour before his arrival
قِبلة األنظار,"Focus of attention, target of all eyes, ideal, goal sought after and aspired to"
قِبلة االهتمام,"Object of widespread interest, focus of attention"
ِ قَب ِ لَهُ بالح ِ ضْن,He received him with open arms
ٍقبلئذ,"Previously, in former times"
( ق ُ بَيلَ )أن,"Shortly before, prior to"
َقتل البرد,To alleviate the cold
َقتل الجوع,To alleviate hunger
ًقتل الدهرَ خِبرة,"To have long experience with life, be worldly-wise"
القتل العمد مع سَبق اإلصرار,Premeditated murder
ًقتل الموضوعَ بحثا,"To study a topic most thoroughly, treat a subject exhaustively"
( ً قتله خ ُ برا ً )علما,To know or master something thoroughly
ًقتله درساً وبحثا,To know or master something thoroughly
ًقتله صبرا,To kill someone in captivity
ًقتله غيلة,To assassinate someone
قتله في مهده,To nip something in the bud
قتلوا عن آخرهم,They were killed to the last man
. . . قد اتصل بنا أن,It has come to our knowledge that...
قد انبت َّ األمر بينه وبينهم,"It’s all over between him and them, they are through with each other"
ق ُ دَّ قلبُه من حجر,To have a heart of stone
َقدح النار,To strike fire (with a flint)
قدح زنادَ الفكر,"To ponder, think hard, rack one’s brain"
ًقدح شررا,To strike or emit sparks
قدح فكرَه,To think hard
قدح في,"To reprove, censure, belittle"
قدرَ اإلمكان,"As far as possible, as much as possible, in the best way possible, to the best of one’s abilities"
قدرَ الطاقة,"As far as possible, as much as possible, in the best way possible, to the best of one’s abilities"
قدر المستطاع,"As far as possible, as far as it is feasible"
َق ُ دِّر فكَان,The inevitable happened
قدر من,"A certain extent of, a certain degree of"
قدرة ردعيّة,Deterring power
القدرة على االشتعال,"Inflammability, flammability"
قدّس هللا سرّه,May God sanctify his secret (eulogy used when mentioning the name of a deceased Muslim saint)
قدّم التعازي,To offer condolences
قدّم الشكرَ له,To extend one’s thanks to someone
قدّم بيد يديه,"To send something ahead of something else, let something precede something else"
ًقدّم خدمة,To render a service
ًقدّم خطوة,To make a step forwards
قدّم عطاء,To make an offer or tender
قِدَمُ عهدهِ بِـ,His long-standing familiarity with
َقدّم له الثمن,To pay the price to someone in advance
قدم مكعب,Cubic foot
قدّم نفسه إلى الشرطة,To give oneself up to the police
قدّم وساطتَه لِـ,To offer one’s good offices for
ًقِدما,"In old(en) times, of yore"
قدّمه باليد,"To hand something over personally, deliver something in person"
قدير على,Having mastery over
قديم الطراز,Old fashion
قديم العهد,"Of an early date, long past, long- standing"
قديم العهد بِـ,"Of long experience in, long acquainted with"
القديم الغابر,"Old times, ancient times"
ًقديما,In ancient times
القذف بالقنابل,Bombardment
قذف عليه الشتائم,To hurl abusive language at someone
قذفه بالقنابل,To bomb something strafe something with bombs
قذىً في عينه,"An odious thing, an eyesore, a thorn in the flesh"
. . . قر الرأي على,"It was decided to, a resolution was passed on something, the decision was reached to..."
قر رأيه على,"To resolve, determine on something, decide"
ًقَرَّ عينا,To be of good character
قرأ الفأل,"To tell fortunes, predict the future"
قرأ حسابَه لـ,"To reckon with something, take something into account"
قرأ عليه,To study something under someone
َ قرأ عليه السالم,"To greet, salute someone, to extend greetings to someone"
قرأ له ألفَ حساب,To have a thousand apprehensions about something
قراءة الكف,Palmistry
قرابة ثالثة أعوام,Almost three years
ًقرأت له كتابا,"I read a book by him, I read one of his books"
ق ُ ربَ الظهر,Towards noon
قرّب بينَهم,"To bring people together, make peace, reconcile"
قرة العين,"Joy, pleasure, consolation for the eye, delight for the eye, darling"
قرّت عين ُ ه,"To be glad, be delighted"
ق ُ رص األرقام,Dial (of a telephone)
قرّص العجين,"To shape (dough) into round, flat loaves"
قرص عسل,Honeycomb
قرصه بلسانه,To hurt someone with words
ق ُ رصي الشكل,"Disk-like, discoid"
قرض رباط َ ه,To die
قرض شعرَه,"To write poetry, make verses"
َقرع الجرس,To ring the bell
(ِ قرع الكأسَ )لـ,"To touch glasses, drink to someone’s health"
قرع سمعَه,To reach someone’s ear
(قرع سِنَّ الندم لِـ )على,To repent something
قرع سِن َّ ه,To gnash one’s teeth
قرعة عسكرية,"Enlistment, draft recruitment"
قرعه ضميرُه,"His conscience tormented or smote him, he had a guilty conscience, he felt grave compunctions"
قرقع بسوطه,To crack the whip
( قرقع ضاحكا ً )بالضحك,"To burst into loud laughter, guffaw"
قرن البحر,Coral
القرون الخالية,The past centuries
القرون الوسطى,The Middle Ages
قريب الشَبَهِ إلى,Very similar to
قريب العهد,"New, recent, young"
قريب العهد بِـ,"Having adopted or acquired (something) recently, inexperienced at (something), new at (something)"
قريب المأخذ,Easy to handle or to use
قريب المتناول,Easy to understand
قريب المنال,Easy to understand
قريب عهد بالفطام,Newly weaned
قريب من الحسن,Fairly good
ًقريبا,"Soon, shortly, in the near future"
قرير العين,"Happy, delighted, glad"
قريع الدهر,The greatest hero of his time
قساوة القلب,"Callousness, hard-heartedness, cruelty"
ًقسما,I swear
قسما ً بِـ,I swear by
قشر الرأس,Dandruff
قص أثرَه,"To follow someone’s tracks, track someone"
قص عليه,"To relate, narrate, tell"
قص عليه طرفا ً (أطرافا ً ) من حياته,To tell someone an episode(s) of one’s life
قصاراك أن تفعل هذا,"The most you can accomplish is to do this, you must limit yourself to doing this"
قصارى األمر,"In short, in brief, to make a long story short"
قصارى القول,"In brief, in short"
. . . قصة هذا الشيء أن,"The matter is so that, the thing is best described by saying that..."
قصد شطرَه,"To move towards someone, walk up to someone"
ًقصدا,"Intentionally, purposely, advisedly, deliberately"
قصدك,"He is in front of you, before you, opposite you"
قصرك أن تفعل هذا,"The most you can hope to accomplish is to do this, you must limit yourself to doing this"
قصم ظهرَه,To be a mortal blow to someone
قصور الباع,"Powerlessness, impotence, helplessness"
قصير األجل,"Short-term, short-lived"
قصير األمد,Short-lived
قصير البصر,"Short-sighted, myopic"
قصير النظر,Short-sighted
قصير اليد,"Powerless, helpless"
القضاء الشرعي,"Jurisdiction based on the Sharia, canonical law"
قضاء هللا,Death
قضاء على,"Condemnation, sentencing, extermination, foiling, thwarting"
قضاء مُبرَم,Inescapable fate
القضاء والقدر,Fate and divine decree
قضايا التلبس,Criminal cases in which the perpetrator was caught in the act
قضى أجل َ ه,To die
َقضى الحاجة,"To relieve oneself, answer the call of nature"
قضى العجبَ من,"To be full of amazement at, be very astonished at"
قضى حاجتَه,To fulfil someone’s wish
قضى نحبَه,"To fulfil one’s vow, to pass away, die"
قضى وطرَه,"To attain one’s aim or end, see one’s wish fulfilled"
ُق ُ ضِيَ األمر,"The matter is decided and done with, the die is cast"
ق ُ ضِي القضاء,"The divine decree was fulfilled, i.e. death came with God’s will"
ق ُ ضِيَ أمرُه,It’s all over with him
ق ُ ضيَ عليه,"It’s all over with him, he’s done for"
ق ُ طب الرَّحَى,Pivot (of something)
قَط َ بَ حاجبيه,"To frown, scowl, knit the brows, glower"
الق ُ ط ْ ر الشقيق,The brother country
(ق ُ طِعَ )الحبل,"To break apart, become interrupted, to snap (rope, string of a musical instrument)"
قطع أشواط ً ا,To make progress
قطع أشواطا شاسعة,To make good progress
(َ قطع األملَ )الرجاء,"To give up hope, to despair"
َقطع الثمن,"To fix the price, agree on the price"
قطع الحسابات,Settlement of accounts
قطع الرَحِم,"To break with one’s relatives, to violate the rules of consanguinity, to sever the bonds of kinship"
قطع الطريق,"Highway robbery, brigandage"
قط َ ع الطريق,To commit highway robbery
قطع الطريق على,"Forcible prevention of something, radical stop to something"
قطع النظر عن,"To take no account of, disregard something"
قطع الوعدَ على نفسه بِـ,"To vow something, pledge oneself or bind oneself to do something"
َقطع الوقت,"To while away the time, kill time"
. . . قطع بأن,"To affirm confidently, aver, to prove that..."
قطع برأي,"To express a firm opinion, to decide in favour of an opinion"
قطع برأيه,"To be guided in one’s decisions by someone, proceed in accordance with someone’s opinion or decision"
( قطع تذكرة )بطاقة,To buy a ticket
ًقطع دورا,"To pass through a phase or period, go through a phase or period, go through a stage"
( قطع شوطا ً كبيرا ً (بعيدا ً ) )الرُّقِي في التقدم,"To make good progress or headway, advance in great strides"
قطع على نفسه عهدا ً بِـ,"To vow something, pledge oneself or bind oneself to do something"
َقطع عليه الطريق,"To cut off someone’s way, interrupt someone, to engage in highway robbery, to rob someone"
قطع عليه حديث َ ه,"To interrupt someone’s talk, cut someone short, cut in on someone’s talk"
ًقطع عهدا,"To conclude a treaty, make a contract"
( قطع عهدا ً )لِـ,"To make a contract, to make a promise, vow or pledge"
ًقطع في ميدان الرقي أشواطا,"To make good progress or headway, advance in great strides"
قطع لسانَه,"To silence someone, seal someone’s lips"
قطع نفسه عهدا ً على,"To assume an obligation, commit oneself, obligate oneself"
قطع نياط القلوب,To break the heart
ًقطعا,"Decidedly, definitely, for certain"
قطعا ً للوقت,"As a pastime, just to kill time"
قطعي,"Decided, definite, definitive, final"
ًقطعيا,"Definite, definitive"
قعد به,"To make someone sit, seat someone"
قعد به عن,"To hold back, restrain, discourage, or prevent someone from"
قعد عن,"To desist, refrain from, renounce"
قعد عن الذهاب,He decided not to go
قعد لِـ,To be very alarmed by
قعدت به ركبتاه,His knees buckled under him
قعر في كالمه,To speak gutturally
قعيد المنزل,Confined to one’s house or to one’s quarters
قفر أثره,"To follow someone’s tracks, track someone"
قَفر من,"Destitute, devoid (of)"
قفز طويل,Long jump
قفز عال,High jump
