Idiom,Meaning
사람은 열 번 된다,"「1」사람은 자라면서, 또는 평생 동안 자꾸 변해 감을 이르는 말. 「2」사람의 개성이나 신세란 고정된 것이 아니므로 얼마든지 고칠 수 있음을 이르는 말. "
사람은 인정에 막히고 귀신은 경문에 막힌다,사람은 인정이 있어서 사정하는 사람에게는 어쩔 수 없음을 비유적으로 이르는 말. 
사람은 일생을 속아서 산다,"사람들은 온갖 곤란과 고통을 겪으면서도 그래도 다음번에는 좀 나아지겠거니 하는 막연한 기대 속에서 일생 동안 속으며 살아 나간다는 뜻으로, 기대와 희망과는 전혀 동떨어진 세상살이를 비유적으로 이르는 말. "
사람은 일을 해야 입맛이 난다,"사람은 몸을 놀리며 활동을 해야 소화도 잘되고 입맛도 나서 아무것이나 당기는 법이란 뜻으로, 일을 한 뒤에 밥맛이 당길 때나 놀면서 밥맛이 없다고 하는 사람을 비꼬는 말. "
사람은 입성이 날개라,"옷을 잘 입으면 사람의 품격이 돋보인다는 뜻으로, 옷을 품위 있게 잘 입어야 함을 비유적으로 이르는 말. "
사람은 작게 낳아서 크게 길러야 한다,"「1」사람은 교육을 잘하여 키워야 큰 사람이 된다는 뜻으로, 어려서부터 교육을 잘해야 함을 이르는 말. 「2」아이는 작게 낳아도 잘 먹여 기르면 크게 자라는 법임을 이르는 말. "
사람은 잡기를 해 보아야 마음을 안다,사람은 속임수를 쓰며 이익을 다투는 노름을 해 보아야 그 본성을 알 수 있음을 이르는 말. 
사람은 조석으로 변한다,사람의 마음이란 아주 변하기 쉬움을 이르는 말. 
사람은 죽으면 이름을 남기고 범은 죽으면 가죽을 남긴다,"호랑이가 죽은 다음에 귀한 가죽을 남기듯이 사람은 죽은 다음에 생전에 쌓은 공적으로 명예를 남기게 된다는 뜻으로, 인생에서 가장 중요한 것은 생전에 보람 있는 일을 해놓아 후세에 명예를 떨치는 것임을 비유적으로 이르는 말. "
사람은 지내봐야 안다,사람의 마음이란 겉으로 언뜻 보아서는 알 수 없으며 함께 오랫동안 지내보아야 알 수 있음을 이르는 말. 
사람은 키 큰 덕을 입어도 나무는 키 큰 덕을 못 입는다,훌륭한 사람에게는 음으로나 양으로나 덕을 입게 됨을 비유적으로 이르는 말. 
사람은 하늘을 이긴다,"사람은 하늘의 조화라고 하는 가뭄, 홍수 따위의 자연재해를 능히 이겨 낼 수 있다는 뜻으로, 사람의 힘이 큼을 비유적으로 이르는 말. "
사람은 헌[때 묻은] 사람이 좋고 옷은 새 옷이 좋다,물건은 새것이 좋고 사람은 오래 사귀어 서로를 잘 알고 정분이 두터워진 사람이 좋다는 말. 
사람을 알자면 하루 길을 같이 가 보라,사람의 마음이란 겉으로 언뜻 보아서는 알 수 없으며 함께 오랫동안 지내보아야 알 수 있음을 이르는 말. 
사람을 왜 윷으로 보나,"윷놀이에서 윷가락 네 쪽이 다 엎어졌을 때를 ‘모’라고 하는 데서, 사람을 왜 바로 보지 않고 모로 보나 하는 뜻을 놀림조로 이르는 말. "
사람의 눈은 속여도 땅은 속이지 못한다,"사람은 거짓말로 속여 넘길 수 있으나 농사는 품을 들인 만큼 결과가 나타나기 때문에 속일 수 없다는 뜻으로, 농사일이란 실속 있게 해야지 형식적으로 해서는 안 된다는 말. "
사람의 마음은 하루에도 열두 번,사람의 마음이란 아주 변하기 쉬움을 이르는 말. 
사람의 새끼는 서울로 보내고 마소 새끼는 시골[제주]로 보내라,"망아지는 말의 고장인 제주도에서 길러야 하고, 사람은 어릴 때부터 서울로 보내어 공부를 하게 하여야 잘될 수 있다는 말. "
사람의 속은 눈을 보아야 안다,"눈에는 그 사람의 마음이 그대로 반영되므로, 눈을 보면 그 사람의 속마음을 짐작할 수 있음을 이르는 말. "
사람의 얼굴은 열[열두] 번 변한다,사람은 일생 동안에 모습이 많이 변한다는 것을 비유적으로 이르는 말. 
사람의 혀는 뼈가 없어도 사람의 뼈를 부순다,"뼈가 없는 혀를 놀려서 하는 말이 굳은 뼈도 부술 수 있다는 뜻으로, 말이란 무서운 힘을 가지고 있음을 비유적으로 이르는 말. "
사람이 곱나 일이 곱지,"사람에게서 진실로 아름다운 것은 얼굴에 있는 것이 아니라 얼마나 일을 성실하게 하는가에 있다는 뜻으로, 일을 잘하는 사람을 칭찬하거나 일을 잘 못하는 사람을 비난할 때에 이르는 말. "
사람이 굶어 죽으란 법은 없다,"거미가 사람의 입안에 거미줄을 치자면 사람이 아무것도 먹지 않아야 한다는 뜻으로, 아무리 살림이 어려워 식량이 떨어져도 사람은 그럭저럭 죽지 않고 먹고 살아가기 마련임을 비유적으로 이르는 말. "
사람이 궁할 때는 대 끝에서도 삼 년을 산다,"헤어날 수 없는 궁지에 빠지면 한 발 옮길 자리가 없는 대 끝에서조차도 삼 년을 견뎌 살아 나갈 수 있다는 뜻으로, 아무리 어려운 처지에 놓이더라도 사람은 스스로 살아 나갈 방도를 마련함을 비유적으로 이르는 말. "
사람이 돈이 없어서 못 사는 게 아니라 명이 모자라서 못 산다,"돈은 없다가도 생기기 마련이지만 목숨은 일정한 한도가 있다는 뜻으로, 사람에게는 돈이나 물질보다도 생명이 더 중요함을 이르는 말. "
사람이 많으면 길이 열린다,사람의 지혜와 힘을 합치면 그 어떤 큰일도 할 수 있는 방도를 찾게 됨을 이르는 말. 
사람이면 다 사람인가 사람이라야 사람이지,"사람이라고 해서 다 사람인 것이 아니라 사람답게 행동하여야 진짜 사람이라고 할 수 있다는 뜻으로, 사람답지 않은 짓을 하는 사람은 짐승과 다를 바 없음을 이르는 말. "
사람이 세상에 나면 저 먹을 것은 가지고 나온다,사람은 잘났든 못났든 누구나 다 살아 나갈 수 있는 방도를 가지고 있음을 비유적으로 이르는 말. 
사람이 오래면 지혜요 물건이 오래면 귀신이다,"사람은 오래 살면 살수록 경험을 많이 쌓아 사물의 이치를 깨닫고 지혜를 얻게 되지만 물건은 오래되면 될수록 쓸데없게 되고 만다는 뜻으로, 경험 많은 늙은이의 지혜로움을 비유적으로 이르는 말. "
사람이 자지 돈이야 자나,「1」자본이나 빚돈은 가만두어도 끊임없이 이자가 붙어 새끼를 쳐 나감을 비유적으로 이르는 말. 「2」금융 자본은 잠시도 쉬는 일 없이 끊임없이 활동함을 비유적으로 이르는 말. 
사람이 죽으란 법은 없다,아무리 어려운 경우에 처하더라도 살아 나갈 방도가 생긴다는 말. 
사람이 천 냥이면 눈이 팔백 냥이다,사람에게서 눈이 매우 중요함을 강조하여 이르는 말. 
사람 죽여 놓고 초상 치러 준다,"사람을 죽여 놓고 나서 뻔뻔스럽게 초상 치르는 데 돕겠다고 나선다는 뜻으로, 일은 제가 그르쳐 놓고 뒤늦게 도와준다고 나서는 짓을 비꼬아 이르는 말. "
사람 죽은 줄 모르고 팥죽 생각만 한다,"사람이 죽었는데 경우에 맞지 않게 팥죽 먹고 싶은 생각만 한다는 뜻으로, 경우는 돌아보지 않고 먹을 궁리만 하는 경우를 비유적으로 이르는 말. "
사람 죽이다,「1」너무 힘겨운 경우를 당하여 매우 힘들고 고달프다. 「2」사람을 어이없게 만들다. 「3」사람의 마음을 황홀하게 하거나 녹이다. 
사람 칠 줄 모르는 것이 코피만 낸다,"사람 치는 일에 아주 서투른 사람이 사람을 치겠다고 나서다가 제 코피만 터뜨린다는 뜻으로, 서투른 일에 섣불리 나서다가는 큰코다치게 됨을 이르는 말. "
사람 팔자 시간문제,사람의 팔자는 순식간에 달라질 수도 있으므로 그 앞날이 어떻게 될지 알 수 없음을 이르는 말. 
사람 한평생이 물레바퀴 돌듯 한다,사람의 일생이란 물레바퀴 돌듯 무상하게 지나가 버림을 비유적으로 이르는 말. 
사랑은 내려가고 걱정은 올라간다,사랑은 언제나 윗사람이 아랫사람에게 베풀어 주게 되고 걱정은 아랫사람이 윗사람에게 끼치는 법임을 이르는 말. 
사랑은 내리사랑,윗사람이 아랫사람을 사랑하기는 하여도 아랫사람이 윗사람을 사랑하기는 좀처럼 어렵다는 말. 
사랑은 마음속에서 자란다,사랑은 생활을 같이하는 가운데 마음속에서 움트고 자라남을 이르는 말. 
사랑을 속삭이다,「1」이성 간에 사랑의 말을 주고받다. 「2」이성 간에 애정 관계를 맺고 사귀다. 
사랑의 보금자리,서로 사랑하는 사람끼리 만드는 새 가정을 이르는 말. 
사랑하는 사람은 미움이 없고 미워하는 사람은 사랑이 없다,"한번 좋게 보면 그 사람이 하는 일이 다 좋게만 보이고, 한번 밉게 보면 그 사람이 하는 일이 다 밉게만 보인다는 말. "
사랑하는 자식일수록 매로 다스리라,자식이 귀할수록 매로 때려서라도 버릇을 잘 가르쳐야 한다는 말. 
사를 보다[두다],일 처리에서 어떤 사람에게 이롭도록 안면을 보거나 정실(情實)에 흐르다. 
사를 쓰다,일 처리에서 공정하지 못하게 안면이나 정실(情實) 관계를 이용하다. 
사명당사첫방 (같다),매우 추운 방을 비유적으로 이르는 말. 사명당이 임진왜란 때 일본에 갔었는데 사명당을 죽이려고 쇠로 만든 방에 가두고 불로 달구었으나 오히려 얼어 있었다는 전설에서 유래한다. 
사명당이 월참하겠다,"추위에 잘 견디던 사명당조차 쉬어 가지 않고 지나쳐 버릴 것이라는 뜻으로, 방이 몹시 추움을 비유적으로 이르는 말. "
사모 바람에 거드럭거린다,나쁜 짓을 하고도 벼슬아치라는 배짱으로 도리어 남을 야단치고 뽐내며 횡포를 부린다는 말. 
사모 쓴 도둑놈,갖가지 세금과 뇌물 따위로 남의 재물을 탐하는 벼슬아치나 양반을 욕하는 말. 
사모에 갓끈[영자],"끈이 필요 없는 사모에 갓끈이나 영자를 달았다는 뜻으로, 차림새가 제격에 어울리지 아니함을 비유적으로 이르는 말. "
사발 안의 고기도 놔주겠다,"사발 안에 든 고기는 이미 자기 차지이나 그것도 못 먹고 놓아준다는 뜻으로, 자기 몫도 제대로 찾아 먹지 못할 만큼 어리석음을 비유적으로 이르는 말. "
사발에 든 고기나 잡겠다,"사발에 담아 놓은 물고기나 잡을 만하다는 뜻으로, 무능하여 일을 처리하기는커녕 주는 밥이나 겨우 찾아 먹는 사람을 놀림조로 이르는 말. "
사발 이 빠진 것,쓸모없이 되어 그대로 두기도 불편한 물건을 비유적으로 이르는 말. 
사복 물어미냐 지절거리기도 한다,사복시의 물 긷는 어미처럼 상말을 마구 지절거리는 경우를 비난조로 이르는 말. 
사복 어미냐 지껄이기도 한다,사복시의 물 긷는 어미처럼 상말을 마구 지절거리는 경우를 비난조로 이르는 말. 
사색없다,태연하여 말과 얼굴빛에 변함이 없다. 
사서 고생하다,고생하지 아니하여도 될 일을 제 스스로 만들어 고생하다. 
사서삼경을 다 읽어도 누울 와자가 제일,게으른 자가 누워서 뒹굴 때 핑계로 이르는 말. 
사성보내다,혼담이 결정되어 사주단자를 적어 보내다. 
사성가다,혼담이 결정되어 사주단자를 가지고 가다. 
사성오다,혼담이 결정되어 사주단자가 오다. 
사시나무 떨듯,몸을 몹시 떠는 모양을 비유적으로 이르는 말. 
사십 먹은 아이 없다,"「1」마흔 살이 되도록 아이 노릇하는 사람은 없다는 뜻으로, 나이가 많아지면 어른답게 행동하게 된다는 것을 비유적으로 이르는 말. 「2」마흔 살이 지나면 젊었을 때처럼 힘을 쓸 수 없다는 것을 비유적으로 이르는 말. "
사십에 첫 버선,오래 기다리던 일을 마침내 이루게 됨을 비유적으로 이르는 말. 
사월 없는 곳에 가서 살면 좋겠다,4월 춘궁기의 고달픔을 이르던 말. 
사월 파일 등대 감듯,"석가모니가 태어난 날인 음력 4월 8일에 관등놀이를 준비하기 위하여 등을 달 장대를 꾸미느라 치렛감을 솜씨 있게 감아 나가듯 한다는 뜻으로, 무엇을 휘휘 익숙하게 감아 매는 모양을 이르는 말. "
사월 파일 등 올라가듯,여럿이 조롱조롱 올라가는 모양을 비유적으로 이르는 말. 
사위가 고우면 요강 분지를 쓴다,사위는 처가에서 극진한 대접을 받음을 비유적으로 이르는 말. 
사위가 무던하면 개 구유를 씻는다,"처가에서 사위는 극진히 대접받기 마련이기 때문에 가만히 앉아 있어도 아무도 탓할 사람이 없는데도, 개 밥통을 씻는 궂은일까지도 마다하지 않을 만큼 그 사람됨이 무던한 경우를 비유적으로 이르는 말. "
사위는 백년손이라,"사위는 영원한 손님이라는 뜻으로, 사위는 장인ㆍ장모에게 언제나 소홀히 대할 수 없는 존재임을 비유적으로 이르는 말. "
사위는 백년손이요 며느리는 종신 식구라,"사위와 며느리는 모두 남의 자식으로서 제 자식뻘이 되나 며느리는 제집 식구처럼 되는 반면에 사위는 영원한 손님이라는 뜻으로, 며느리와 달리 사위는 장인ㆍ장모에게 언제나 소홀히 대할 수 없는 존재임을 비유적으로 이르는 말. "
사위도 반자식,"「1」사위도 절반 제 자식이 된다는 뜻으로, 장인ㆍ장모에게 있어 사위에 대한 정이 자식에 대한 정에 못지아니함을 이르는 말. 「2」사위도 때로 자식 노릇을 할 때는 한다는 말. "
사위 반찬은 장모 눈썹 밑에 있다,장모는 사위를 대접하려고 보는 대로 찾아서 차려 주려 함을 비유적으로 이르는 말. 
사위 사랑은 장모 며느리 사랑은 시아버지,"흔히 며느리는 시아버지에게서 귀염을 받고, 사위는 장모에게 더 사랑을 받는다는 말. "
사위와 씨아는 먹어도 안 먹는다,"목화씨 뽑는 씨아는 잘 먹어도 잘 안 먹는다고 하듯이 사위가 먹을 만큼 먹어도 왜 안 먹느냐고 자꾸 권한다는 뜻으로, 사위에 대한 처가의 사랑을 비유적으로 이르는 말. "
사위 자식 개자식,사위는 결국 장인ㆍ장모에게 효도하지 아니함을 이르는 말. 
사위 집 더부살이,장인이나 장모가 출가한 딸네 집에서 더부살이하기란 떳떳하지 못하고 어려움을 이르는 말. 
사이뜨다,사람 사이의 관계가 친밀하지 않거나 벌어지다. 
사자가 눈깔이 멀었다,"죽은 사람을 데려간다는 저승사자가 눈이 멀어서 잡아가지 않는다는 뜻으로, 못되게 구는 사람을 욕하는 말. "
사자는 불가부생라,"죽은 사람은 다시 살아날 수 없다는 뜻으로, 단념할 수밖에 없음을 이르는 말. "
사자어금니 같다,아주 든든하고 믿음직한 것을 비유적으로 이르는 말. 
사자어금니같이 아끼다,몹시 아끼고 귀중히 여긴다는 말. 
사자 없는 산에 토끼가 왕[대장] 노릇 한다,뛰어난 사람이 없는 곳에서 보잘것없는 사람이 득세함을 비유적으로 이르는 말. 
사잣밥싸 가지고 다닌다,언제 어디서 죽을지 모를 위험한 처지에 놓여 있음을 비유적으로 이르는 말. 
사잣밥을 목에 매달고 다닌다,언제 어디서 죽을지 모를 위험한 처지에 놓여 있음을 비유적으로 이르는 말. 
사잣밥인 줄 알고도 먹는다,언제 죽을지 모르는 위험한 일인 줄 알면서도 다른 방도가 없어서 할 수 없이 하게 됨을 비유적으로 이르는 말. 
사정두다,남의 형편을 헤아려 생각하다. 
사정이 많으면 한 동리에 시아비가 아홉,"「1」사사로운 정이 많아 정절을 지키지 못하다가는 망칙스럽게도 한동네에 아홉 남편과 아홉 시아버지를 두게 된다는 뜻으로, 정조 관념이 희박한 여자를 비웃는 말. 「2」일정한 주관 없이 남을 덩달아 좇는 사람을 비유적으로 이르는 말. "
사정이 사촌보다 낫다,사정만 잘하면 웬만한 것은 통할 수 있음을 이르는 말. 
사족못 쓰다,무슨 일에 반하거나 혹하여 꼼짝 못 하다. 
사족 성한 병신,아무 일도 안 하고 빈둥빈둥 놀고먹는 사람을 욕으로 이르는 말. 
사주세다,타고난 나쁜 운수 때문에 살아가는 데에 파란곡절이 많다. 
사주에 없는 관을 쓰면 이마가 벗어진다,"「1」타고난 운명에 없는 벼슬을 하면 이마가 벗어진다는 뜻으로, 제 분수에 넘치는 벼슬을 하게 되면 도리어 괴롭다는 것을 비유적으로 이르는 말. 「2」제 분수에 넘치는 일을 억지로 이루어 놓으면 나중에 도리어 해가 될 수 있음을 비유적으로 이르는 말. "
사주팔자는 날 때부터 타고난다,운명은 아무리 피하려 해도 피할 수 없는 것임을 이르는 말. 
사지를 못 쓰다,무슨 일에 반하거나 혹하여 꼼짝 못 하다. 
사지를 펴다,근심이나 걱정 없이 마음을 놓다. 
사촌네 집도 부엌부터 들여다본다,"친한 사이인 사촌네 집조차도 먹을 것이 있어야 찾아다닌다는 뜻으로, 남을 만날 때 얻어먹을 것만 바라는 경우를 비유적으로 이르는 말. "
사촌 영장도 부엌부터 들여다보아야 한다,"사촌의 장례를 지내는 경우에도 먹을 것이 있는가를 알아보아야 한다는 뜻으로, 경황없는 환경에서도 먹을 것을 알아보고 대책을 세워야 하는 경우를 비유적으로 이르는 말. "
사촌이 땅을 사면 배가 아프다,남이 잘되는 것을 기뻐해 주지는 않고 오히려 질투하고 시기하는 경우를 비유적으로 이르는 말. 
사춤치다,담이나 벽 따위의 벌어진 틈을 진흙 따위로 메우다. 
사침에도 용수가 있다,"아무리 바삐 방아를 찧는 속에서도 손으로 방아확 안의 낟알을 고루 펴 줄 만한 시간적 여유는 있다는 뜻으로, 아무리 분주한 때라도 틈을 낼 수 있음을 비유적으로 이르는 말. "
사타구니를 긁다,알랑거리며 남에게 아첨하다. 
사타구니에 방울 소리가 나도록,아주 급하게 뛰어가는 모습을 비유적으로 이르는 말. 
사탕붕어의 겅둥겅둥이라,겉만 그럴듯하고 실속이 없음을 비유적으로 이르는 말. 
사태 만난 공동묘지 같다,사태로 무너진 공동묘지처럼 정경이 삭막하고 황량한 모양을 비유적으로 이르는 말. 
사후 술 석 잔 말고 생전에 한 잔 술이 달다,「1」죽은 다음에 제사상에 이것저것 차리지 말고 살아 있는 동안에 한 가지라도 더 대접하라는 말. 「2」눈앞에 부닥친 현실 문제를 해결하여 주는 것이 일이 다 틀어진 뒤에 쓸데없는 공을 들이며 애쓰는 것보다 중요함을 비유적으로 이르는 말. 
사후 약방문[청심환],"사람이 죽은 다음에야 약을 구한다는 뜻으로, 때가 지나 일이 다 틀어진 후에야 뒤늦게 대책을 세움을 비유적으로 이르는 말. "
사흘굶으면 포도청의 담도 뛰어넘는다,아무리 착한 사람이라도 몹시 궁하게 되면 못하는 짓이 없게 됨을 비유적으로 이르는 말. 
사흘 굶어 담 아니 넘을 놈 없다,아무리 착한 사람이라도 몹시 궁하게 되면 못하는 짓이 없게 됨을 비유적으로 이르는 말. 
사흘 굶어 도둑질 아니 할 놈 없다,아무리 착한 사람이라도 몹시 궁하게 되면 못하는 짓이 없게 됨을 비유적으로 이르는 말. 
사흘 굶어 아니 날 생각 없다,"몹시 굶게 되면 여러 가지 옳지 못한 생각도 들고, 못 할 일이 없게 됨을 이르는 말. "
사흘 굶으면 못할 노릇이 없다,아무리 착한 사람이라도 몹시 궁하게 되면 못하는 짓이 없게 됨을 비유적으로 이르는 말. 
사흘 굶으면 양식 지고 오는 놈 있다,"사람이 양식이 떨어져 굶어 죽게 되면 도와주는 사람이 생기게 마련이라는 뜻으로, 사람이 아무리 어렵게 지내더라도 여간하여서는 굶어 죽지는 않음을 비유적으로 이르는 말. "
사흘 굶은 개는 몽둥이를 맞아도 좋다 한다,"몹시 굶주린 개는 먹지 못하는 음식이라도 매를 맞아 가며 먹는다는 뜻으로, 몹시 굶주리게 되면 비록 먹지 못할 것이라도 다 좋아함을 이르는 말. "
사흘 굶은 범이 원님을 안다더냐,다급해지면 무엇이든지 가릴 여지가 없어짐을 비유적으로 이르는 말. 
사흘 길에 하루쯤 가서 열흘씩 눕는다,"「1」사흘이나 걸리는 길을 급히 가려다가 열흘씩 앓아눕는다는 뜻으로, 일을 처음부터 너무 급히 서두르면 도리어 더디게 됨을 비유적으로 이르는 말. 「2」성미가 게을러서 일을 도저히 이루지 못함을 비유적으로 이르는 말. "
사흘 길 하루도 아니 가서,오래 두고 할 일에 처음부터 싫증을 내거나 배반하는 경우를 비유적으로 이르는 말. 
사흘 살고 나올 집이라도 백 년 앞을 보고 짓는다,무슨 일을 하든지 형식적으로 건성건성 할 것이 아니라 앞날을 생각하여 최선을 다하여야 함을 비유적으로 이르는 말. 
사흘에 피죽 한 그릇도 못 얻어먹은 듯하다,사람이 초췌하여 풀이 죽고 기운이 없어 보임을 비유적으로 이르는 말. 
사흘에 한 끼도 못 먹은 듯하다,사람이 초췌하여 풀이 죽고 기운이 없어 보임을 비유적으로 이르는 말. 
사흘에 한 끼 입에 풀칠하기도 어렵다,늘 굶고 살 정도로 살림이 매우 가난함을 비유적으로 이르는 말. 
사흘이 멀다 하고,일의 횟수가 매우 잦게. 
사흘 책을 안 읽으면 머리에 곰팡이가 슨다,짧은 기간이라도 책을 안 읽고 지내면 머리가 둔하게 됨을 비유적으로 이르는 말. 
삭단에 떡 맛보듯,"매달 음력 초하룻날 삭다례를 지내고 나서 조금밖에 없는 음식을 맛보듯 한다는 뜻으로, 음식의 양이 너무 적어서 먹은 둥 만 둥 함을 비유적으로 이르는 말. "
삭은 바자 구멍에 노란 개 주둥이 ,"삭을 대로 삭아서 다치기만 하여도 구멍이 펑펑 나는 바자 틈에 난데없이 쑥 나온 누렁개의 주둥이와 같다는 뜻으로, 당찮은 일에 끼어들어 주제넘게 말참견을 하는 것을 비꼬는 말. "
삯내다,「1」삯을 주어 일을 시키다. 「2」세를 내다. 
삯매 모으듯,삯을 받고 남의 매를 대신 맞는 일을 구하듯 마음에 내키지 않는 일을 마지못하여 함을 비유적으로 이르는 말. 
산 입에 거미줄 치랴,"거미가 사람의 입안에 거미줄을 치자면 사람이 아무것도 먹지 않아야 한다는 뜻으로, 아무리 살림이 어려워 식량이 떨어져도 사람은 그럭저럭 죽지 않고 먹고 살아가기 마련임을 비유적으로 이르는 말. "
산보다,"천신굿에서, 무당이 그릇에 대추알이나 잣알 따위를 놓고 흔들어서 떨어지는 수효로 점을 치다. "
산 개 새끼가 죽은 정승보다 낫다,"「1」아무리 천하더라도 살아 있는 것이 죽은 것보다는 낫다는 뜻으로, 세상을 비관하지 말고 살아가라는 말. 「2」아무리 존귀했던 몸이라도 한번 죽으면 거들떠보지 않는 것이 세상인심임을 비유적으로 이르는 말. "
산골 부자는 해변가 개보다 못하다,"물고기 반찬을 먹는 데는 산골의 부자가 바닷가의 개보다 못하다는 뜻으로, 보잘것없는 산골 부자의 처지를 비유적으로 이르는 말. "
산골 중놈 같다,의뭉스러운 사람을 비유적으로 이르는 말. 
산 까마귀 염불한다,"산에 있는 까마귀가 산에 있는 절에서 염불하는 것을 하도 많이 보고 들어서 염불하는 흉내를 낸다는 뜻으로, 무엇을 전혀 모르던 사람도 오랫동안 보고 듣노라면 제법 따라 할 수 있게 됨을 비유적으로 이르는 말. "
산 넘어 산이다,갈수록 더욱 어려운 지경에 처하게 되는 경우를 비유적으로 이르는 말. 
산 놈의 계집은 범도 안 물어 간다,외딴 산속에 사는 여자는 버릇도 없고 몹시 드세 만만치 않음을 비유적으로 이르는 말. 
산 눈깔 빼 먹을 놈,"살아 있는 사람의 눈알을 빼 먹을 만큼 지독한 놈이라는 뜻으로, 남을 속이고 자기의 이익만 차리려는 악독하고 교활한 사람을 낮잡아 이르는 말. "
산 닭 길들이기는 사람마다 어렵다,"여간해서 말을 잘 듣지 않는 산 닭을 길들이기는 누구에게나 어렵다는 뜻으로, 제멋대로 버릇없이 자라난 사람을 교육하기는 몹시 어려운 일임을 비유적으로 이르는 말. "
산 닭 주고 죽은 닭 바꾸기도 어렵다,"「1」산 닭을 가지고도 죽은 닭 구하기가 어렵다는 뜻으로, 대수롭지 않은 것도 정작 필요하여 구하려고 하면 구하기가 어려움을 비유적으로 이르는 말. 「2」원래 변변하지 못한 것을 구하여 오는 사람은 귀한 것을 가지고도 변변하지 못한 것조차 구하지 못하여 결국 귀한 것의 값어치만 천하여짐을 비유적으로 이르는 말. "
산도 못 놓다,수량이 지나치게 적어 셈할 수도 없다. 
산도 허물고 바다도 메울 기세,그 어떤 어려운 일도 해내려는 왕성한 기세를 비유적으로 이르는 말. 
산돼지를 잡으려다가 집돼지까지 잃는다,"「1」산돼지를 잡겠다고 욕심을 부리던 나머지 집돼지를 잘못 간수한 탓으로 잃어버리게 되었다는 뜻으로, 지나치게 욕심을 부리다가 이미 차지한 것까지 잃어버리게 됨을 비유적으로 이르는 말. 「2」새로운 일을 자꾸만 벌여 놓으면서 이미 있는 것을 챙기는 데에 소홀하면 도리어 손해를 봄을 비유적으로 이르는 말. "
산림도 청으로 하는 수가 있다,추천제로 오를 수 있는 자리에 자기가 스스로 청을 하며 돌아다녀서 강제로 추천을 받아 감을 비꼬는 말. 
산 밑 집에 방앗공이논다[귀하다],"「1」산과 같이 나무가 많은 고장에서 방앗공이가 없다는 뜻으로, 그 고장의 산물이 도리어 그 산지에서는 더 귀함을 비유적으로 이르는 말. 「2」무엇이 마땅히 있어야 할 곳에 없음을 비유적으로 이르는 말. "
산 밖에 난 범이요 물 밖에 난 고기라,"「1」범이 자기의 터전인 산에서 나와 옴짝달싹 못 하게 되고 물고기가 물 밖으로 나와 옴짝달싹 못 하게 되었다는 뜻으로, 의지할 곳을 잃어 옴짝달싹 못 하게 됨을 비유적으로 이르는 말. 「2」자기 능력을 발휘할 수 없는 처지에 빠짐을 비유적으로 이르는 말. "
산 범의 눈썹을 뽑는다,"「1」살아 있는 범의 눈썹을 뽑는다는 뜻으로, 감히 손댈 수 없는 위험한 짓을 목숨 걸고 함을 비유적으로 이르는 말. 「2」도저히 이룰 수 없는 헛된 망상을 함을 비유적으로 이르는 말. "
산보다 골이 더 크다,"주가 되는 산보다 부차적인 골이 더 크다는 뜻으로, 사리에 맞지 않음을 비유적으로 이르는 말. "
산보다 호랑이가 더 크다,"주가 되는 산보다 부차적인 골이 더 크다는 뜻으로, 사리에 맞지 않음을 비유적으로 이르는 말. "
산 사람 눈 빼 먹겠다,살아 있는 사람의 눈까지도 빼 먹을 수 있을 만큼 인심이 몹시 야박하고 험악함을 비유적으로 이르는 말. 
산 사람은 아무 때나 만난다,"사람은 죽지 않고 살아 있으면 언젠가는 만나게 된다는 뜻으로, 다시 안 볼 것처럼 야박하게 끊지 말라는 말. "
산 설고 물 설다,타향이라서 모든 것이 매우 낯설고 서먹서먹하다. 
산소 등에 꽃이 피었다,"조상의 무덤 위에 꽃이 피었다는 뜻으로, 자손이 번성하고 부귀공명하게 되었음을 비유적으로 이르는 말. "
산속에 있는 열 놈의 도둑은 잡아도 맘속에 있는 한 놈의 도둑은 못 잡는다,일단 제 마음속에 자리 잡은 좋지 못한 생각을 스스로 고치기는 매우 어렵다는 말. 
산신 제물에 메뚜기 뛰어들듯,"산신에게 제사를 지내는데 메뚜기가 뛰어들었다는 뜻으로, 자기에게는 당치도 않은 일에 참여함을 비꼬는 말. "
산에 가야 범을 잡지,"꿩은 산에 가야 잡을 수 있고, 고기는 바다에 가야 잡을 수 있다는 뜻으로, 목적하는 방향을 제대로 잡아 노력하여야만 그 목적을 제대로 이룰 수 있음을 비유적으로 이르는 말. "
산에 들어가 호랑이를 피하랴,이미 피할 수 없는 일이나 피하여서는 안 되는 일을 피하려고 무모하게 행동함을 이르는 말. 
산에서 물고기 잡기,물에서 사는 물고기를 산에서 구한다는 뜻으로 도저히 불가능한 일을 하려고 애쓰는 어리석음을 비유적으로 이르는 말. 
산엘 가야 꿩을 잡고 바다엘 가야 고기를 잡는다,"「1」꿩은 산에 가야 잡을 수 있고, 고기는 바다에 가야 잡을 수 있다는 뜻으로, 목적하는 방향을 제대로 잡아 노력하여야만 그 목적을 제대로 이룰 수 있음을 비유적으로 이르는 말. 「2」무슨 일이든지 가만히 앉아 있어서는 이루어지지 않고 발 벗고 나서서 힘을 들여야 이루어짐을 비유적으로 이르는 말. "
산으로 들어가다,「1」비합법적인 투쟁이나 유격전을 하기 위하여 산속으로 몸을 피하다. 「2」승려가 되다. 
산은 오를수록 높고 물은 건널수록 깊다,갈수록 더욱 어려운 지경에 처하게 되는 경우를 비유적으로 이르는 말. 
